dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41001,0,1.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41001,2,21.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41001,4,41.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41001,6,61.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,8,86.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,10,106.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41001,12,126.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,14,146.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,16,171.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,18,191.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,20,211.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41001,22,231.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,0,1.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,2,21.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,4,41.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,6,61.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,8,86.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,10,106.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,12,126.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,14,146.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41002,16,171.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,18,191.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,20,211.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41002,22,231.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41003,0,1.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,2,21.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,4,41.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,6,61.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,8,86.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,10,106.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,12,126.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,14,146.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,16,171.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,18,191.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,20,211.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41003,22,231.0 ns RISE,159,159,0,0,000000000000000000000000111111,0,0
healthy_rise,41004,0,1.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,2,21.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,4,41.0 ns RISE,204,187,17,17,000000000000000000000011111111,0,0
healthy_rise,41004,6,61.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
