T_POS,rule,healthy_rise_samples,healthy_positive_false_alarms,healthy_positive_false_alarm_rate,D01_samples,D01_detected,D01_coverage,D02_samples,D02_detected,D02_coverage,diagnostic_only,formal_margin_unchanged
0,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
1,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
2,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
3,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
4,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
5,signed_e > T_POS,360,50,0.1388888888888889,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
6,signed_e > T_POS,360,10,0.027777777777777776,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
7,signed_e > T_POS,360,10,0.027777777777777776,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
8,signed_e > T_POS,360,10,0.027777777777777776,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
9,signed_e > T_POS,360,10,0.027777777777777776,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
10,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
11,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
12,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
13,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
14,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
15,signed_e > T_POS,360,6,0.016666666666666666,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
16,signed_e > T_POS,360,5,0.013888888888888888,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
17,signed_e > T_POS,360,2,0.005555555555555556,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
18,signed_e > T_POS,360,0,0.0,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
19,signed_e > T_POS,360,0,0.0,30,30,1.0,30,30,1.0,True,"RISE=22,FALL=24"
20,signed_e > T_POS,360,0,0.0,30,29,0.9666666666666667,30,30,1.0,True,"RISE=22,FALL=24"
21,signed_e > T_POS,360,0,0.0,30,23,0.7666666666666667,30,30,1.0,True,"RISE=22,FALL=24"
22,signed_e > T_POS,360,0,0.0,30,22,0.7333333333333333,30,30,1.0,True,"RISE=22,FALL=24"
23,signed_e > T_POS,360,0,0.0,30,21,0.7,30,30,1.0,True,"RISE=22,FALL=24"
24,signed_e > T_POS,360,0,0.0,30,21,0.7,30,30,1.0,True,"RISE=22,FALL=24"
25,signed_e > T_POS,360,0,0.0,30,21,0.7,30,30,1.0,True,"RISE=22,FALL=24"
26,signed_e > T_POS,360,0,0.0,30,20,0.6666666666666666,30,30,1.0,True,"RISE=22,FALL=24"
27,signed_e > T_POS,360,0,0.0,30,16,0.5333333333333333,30,30,1.0,True,"RISE=22,FALL=24"
28,signed_e > T_POS,360,0,0.0,30,15,0.5,30,30,1.0,True,"RISE=22,FALL=24"
29,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
30,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
31,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
32,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
33,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
34,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
35,signed_e > T_POS,360,0,0.0,30,13,0.43333333333333335,30,30,1.0,True,"RISE=22,FALL=24"
36,signed_e > T_POS,360,0,0.0,30,12,0.4,30,30,1.0,True,"RISE=22,FALL=24"
37,signed_e > T_POS,360,0,0.0,30,12,0.4,30,30,1.0,True,"RISE=22,FALL=24"
38,signed_e > T_POS,360,0,0.0,30,9,0.3,30,30,1.0,True,"RISE=22,FALL=24"
39,signed_e > T_POS,360,0,0.0,30,9,0.3,30,30,1.0,True,"RISE=22,FALL=24"
40,signed_e > T_POS,360,0,0.0,30,7,0.23333333333333334,30,30,1.0,True,"RISE=22,FALL=24"
41,signed_e > T_POS,360,0,0.0,30,7,0.23333333333333334,30,29,0.9666666666666667,True,"RISE=22,FALL=24"
42,signed_e > T_POS,360,0,0.0,30,7,0.23333333333333334,30,29,0.9666666666666667,True,"RISE=22,FALL=24"
43,signed_e > T_POS,360,0,0.0,30,2,0.06666666666666667,30,29,0.9666666666666667,True,"RISE=22,FALL=24"
44,signed_e > T_POS,360,0,0.0,30,2,0.06666666666666667,30,29,0.9666666666666667,True,"RISE=22,FALL=24"
45,signed_e > T_POS,360,0,0.0,30,0,0.0,30,28,0.9333333333333333,True,"RISE=22,FALL=24"
46,signed_e > T_POS,360,0,0.0,30,0,0.0,30,28,0.9333333333333333,True,"RISE=22,FALL=24"
47,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
48,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
49,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
50,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
51,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
52,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
53,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
54,signed_e > T_POS,360,0,0.0,30,0,0.0,30,24,0.8,True,"RISE=22,FALL=24"
55,signed_e > T_POS,360,0,0.0,30,0,0.0,30,23,0.7666666666666667,True,"RISE=22,FALL=24"
56,signed_e > T_POS,360,0,0.0,30,0,0.0,30,23,0.7666666666666667,True,"RISE=22,FALL=24"
57,signed_e > T_POS,360,0,0.0,30,0,0.0,30,22,0.7333333333333333,True,"RISE=22,FALL=24"
58,signed_e > T_POS,360,0,0.0,30,0,0.0,30,19,0.6333333333333333,True,"RISE=22,FALL=24"
59,signed_e > T_POS,360,0,0.0,30,0,0.0,30,19,0.6333333333333333,True,"RISE=22,FALL=24"
60,signed_e > T_POS,360,0,0.0,30,0,0.0,30,14,0.4666666666666667,True,"RISE=22,FALL=24"
61,signed_e > T_POS,360,0,0.0,30,0,0.0,30,12,0.4,True,"RISE=22,FALL=24"
62,signed_e > T_POS,360,0,0.0,30,0,0.0,30,12,0.4,True,"RISE=22,FALL=24"
63,signed_e > T_POS,360,0,0.0,30,0,0.0,30,6,0.2,True,"RISE=22,FALL=24"
64,signed_e > T_POS,360,0,0.0,30,0,0.0,30,6,0.2,True,"RISE=22,FALL=24"
65,signed_e > T_POS,360,0,0.0,30,0,0.0,30,6,0.2,True,"RISE=22,FALL=24"
66,signed_e > T_POS,360,0,0.0,30,0,0.0,30,2,0.06666666666666667,True,"RISE=22,FALL=24"
67,signed_e > T_POS,360,0,0.0,30,0,0.0,30,2,0.06666666666666667,True,"RISE=22,FALL=24"
68,signed_e > T_POS,360,0,0.0,30,0,0.0,30,2,0.06666666666666667,True,"RISE=22,FALL=24"
69,signed_e > T_POS,360,0,0.0,30,0,0.0,30,1,0.03333333333333333,True,"RISE=22,FALL=24"
70,signed_e > T_POS,360,0,0.0,30,0,0.0,30,1,0.03333333333333333,True,"RISE=22,FALL=24"
71,signed_e > T_POS,360,0,0.0,30,0,0.0,30,1,0.03333333333333333,True,"RISE=22,FALL=24"
72,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
73,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
74,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
75,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
76,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
77,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
78,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
79,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
80,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
