policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,-153,360,30/30,30/30,30/30,155,176,155,18,18,0
A_TRACK_SOURCE,18,-152,360,30/30,30/30,30/30,154,175,154,18,18,0
A_TRACK_SOURCE,18,-151,360,30/30,30/30,30/30,153,174,153,18,18,0
A_TRACK_SOURCE,18,-150,360,30/30,30/30,30/30,152,173,152,18,18,0
A_TRACK_SOURCE,18,-149,360,30/30,30/30,30/30,151,172,151,18,18,0
A_TRACK_SOURCE,18,-148,360,30/30,30/30,30/30,150,171,150,18,18,0
A_TRACK_SOURCE,18,-147,360,30/30,30/30,30/30,149,170,149,18,18,0
A_TRACK_SOURCE,18,-146,360,30/30,30/30,30/30,148,169,148,18,18,0
A_TRACK_SOURCE,18,-145,360,30/30,30/30,30/30,147,168,147,18,18,0
A_TRACK_SOURCE,18,-144,360,30/30,30/30,30/30,146,167,146,18,18,0
A_TRACK_SOURCE,18,-143,360,30/30,30/30,30/30,145,166,145,18,18,0
A_TRACK_SOURCE,18,-142,360,30/30,30/30,30/30,144,165,144,18,18,0
A_TRACK_SOURCE,18,-141,360,30/30,30/30,30/30,143,164,143,18,18,0
A_TRACK_SOURCE,18,-140,360,30/30,30/30,30/30,142,163,142,18,18,0
A_TRACK_SOURCE,18,-139,360,30/30,30/30,30/30,141,162,141,18,18,0
A_TRACK_SOURCE,18,-138,360,30/30,30/30,30/30,140,161,140,18,18,0
A_TRACK_SOURCE,18,-137,360,30/30,30/30,30/30,139,160,139,18,18,0
A_TRACK_SOURCE,18,-136,360,30/30,30/30,30/30,138,159,138,18,18,0
A_TRACK_SOURCE,18,-135,360,30/30,30/30,30/30,137,158,137,18,18,0
A_TRACK_SOURCE,18,-134,360,30/30,30/30,30/30,136,157,136,18,18,0
A_TRACK_SOURCE,18,-133,360,30/30,30/30,30/30,135,156,135,18,18,0
A_TRACK_SOURCE,18,-132,360,30/30,30/30,30/30,134,155,134,18,18,0
A_TRACK_SOURCE,18,-131,360,30/30,30/30,30/30,133,154,133,18,18,0
A_TRACK_SOURCE,18,-130,360,30/30,30/30,30/30,132,153,132,18,18,0
A_TRACK_SOURCE,18,-129,360,30/30,30/30,30/30,131,152,131,18,18,0
A_TRACK_SOURCE,18,-128,360,30/30,30/30,30/30,130,151,130,18,18,0
A_TRACK_SOURCE,18,-127,360,30/30,30/30,30/30,129,150,129,18,18,0
A_TRACK_SOURCE,18,-126,360,30/30,30/30,30/30,128,149,128,18,18,0
A_TRACK_SOURCE,18,-125,360,30/30,30/30,30/30,127,148,127,18,18,0
A_TRACK_SOURCE,18,-124,360,30/30,30/30,30/30,126,147,126,18,18,0
A_TRACK_SOURCE,18,-123,360,30/30,30/30,30/30,125,146,125,18,18,0
A_TRACK_SOURCE,18,-122,360,30/30,30/30,30/30,124,145,124,18,18,0
A_TRACK_SOURCE,18,-121,360,30/30,30/30,30/30,123,144,123,18,18,0
A_TRACK_SOURCE,18,-120,360,30/30,30/30,30/30,122,143,122,18,18,0
A_TRACK_SOURCE,18,-119,360,30/30,30/30,30/30,121,142,121,18,18,0
A_TRACK_SOURCE,18,-118,360,30/30,30/30,30/30,120,141,120,18,18,0
A_TRACK_SOURCE,18,-117,360,30/30,30/30,30/30,119,140,119,18,18,0
A_TRACK_SOURCE,18,-116,360,30/30,30/30,30/30,118,139,118,18,18,0
A_TRACK_SOURCE,18,-115,360,30/30,30/30,30/30,117,138,117,18,18,0
A_TRACK_SOURCE,18,-114,360,30/30,30/30,30/30,116,137,116,18,18,0
A_TRACK_SOURCE,18,-113,360,30/30,30/30,30/30,115,136,115,18,18,0
A_TRACK_SOURCE,18,-112,360,30/30,30/30,30/30,114,135,114,18,18,0
A_TRACK_SOURCE,18,-111,360,30/30,30/30,30/30,113,134,113,18,18,0
A_TRACK_SOURCE,18,-110,360,30/30,30/30,30/30,112,133,112,18,18,0
A_TRACK_SOURCE,18,-109,360,30/30,30/30,30/30,111,132,111,18,18,0
A_TRACK_SOURCE,18,-108,360,30/30,30/30,30/30,110,131,110,18,18,0
A_TRACK_SOURCE,18,-107,360,30/30,30/30,30/30,109,130,109,18,18,0
A_TRACK_SOURCE,18,-106,360,30/30,30/30,30/30,108,129,108,18,18,0
A_TRACK_SOURCE,18,-105,360,30/30,30/30,30/30,107,128,107,18,18,0
A_TRACK_SOURCE,18,-104,360,30/30,30/30,30/30,106,127,106,18,18,0
A_TRACK_SOURCE,18,-103,360,30/30,30/30,30/30,105,126,105,18,18,0
A_TRACK_SOURCE,18,-102,360,30/30,30/30,30/30,104,125,104,18,18,0
A_TRACK_SOURCE,18,-101,360,30/30,30/30,30/30,103,124,103,18,18,0
A_TRACK_SOURCE,18,-100,360,30/30,30/30,30/30,102,123,102,18,18,0
A_TRACK_SOURCE,18,-99,360,30/30,30/30,30/30,101,122,101,18,18,0
A_TRACK_SOURCE,18,-98,360,30/30,30/30,30/30,100,121,100,18,18,0
A_TRACK_SOURCE,18,-97,360,30/30,30/30,30/30,99,120,99,18,18,0
A_TRACK_SOURCE,18,-96,360,30/30,30/30,30/30,98,119,98,18,18,0
A_TRACK_SOURCE,18,-95,360,30/30,30/30,30/30,97,118,97,18,18,0
A_TRACK_SOURCE,18,-94,360,30/30,30/30,30/30,96,117,96,18,18,0
A_TRACK_SOURCE,18,-93,360,30/30,30/30,30/30,95,116,95,18,18,0
