threshold_T,rule,healthy_rise_samples,healthy_rise_false_alarms,healthy_rise_false_alarm_rate,d01_samples,d01_detected,d01_coverage,simulator_calls,margin_selection
0,D_M > T,360,176,0.4888888888888889,30,30,1.0,0,diagnostic_only
1,D_M > T,360,176,0.4888888888888889,30,30,1.0,0,diagnostic_only
2,D_M > T,360,176,0.4888888888888889,30,30,1.0,0,diagnostic_only
3,D_M > T,360,176,0.4888888888888889,30,30,1.0,0,diagnostic_only
4,D_M > T,360,176,0.4888888888888889,30,30,1.0,0,diagnostic_only
5,D_M > T,360,110,0.3055555555555556,30,30,1.0,0,diagnostic_only
6,D_M > T,360,70,0.19444444444444445,30,30,1.0,0,diagnostic_only
7,D_M > T,360,70,0.19444444444444445,30,30,1.0,0,diagnostic_only
8,D_M > T,360,70,0.19444444444444445,30,30,1.0,0,diagnostic_only
9,D_M > T,360,70,0.19444444444444445,30,30,1.0,0,diagnostic_only
10,D_M > T,360,58,0.16111111111111112,30,30,1.0,0,diagnostic_only
11,D_M > T,360,58,0.16111111111111112,30,30,1.0,0,diagnostic_only
12,D_M > T,360,58,0.16111111111111112,30,30,1.0,0,diagnostic_only
13,D_M > T,360,58,0.16111111111111112,30,30,1.0,0,diagnostic_only
14,D_M > T,360,58,0.16111111111111112,30,30,1.0,0,diagnostic_only
15,D_M > T,360,51,0.14166666666666666,30,30,1.0,0,diagnostic_only
16,D_M > T,360,25,0.06944444444444445,30,30,1.0,0,diagnostic_only
17,D_M > T,360,15,0.041666666666666664,30,30,1.0,0,diagnostic_only
18,D_M > T,360,8,0.022222222222222223,30,30,1.0,0,diagnostic_only
19,D_M > T,360,8,0.022222222222222223,30,30,1.0,0,diagnostic_only
20,D_M > T,360,8,0.022222222222222223,30,29,0.9666666666666667,0,diagnostic_only
21,D_M > T,360,6,0.016666666666666666,30,23,0.7666666666666667,0,diagnostic_only
22,D_M > T,360,0,0.0,30,22,0.7333333333333333,0,diagnostic_only
23,D_M > T,360,0,0.0,30,21,0.7,0,diagnostic_only
24,D_M > T,360,0,0.0,30,21,0.7,0,diagnostic_only
25,D_M > T,360,0,0.0,30,21,0.7,0,diagnostic_only
26,D_M > T,360,0,0.0,30,20,0.6666666666666666,0,diagnostic_only
27,D_M > T,360,0,0.0,30,16,0.5333333333333333,0,diagnostic_only
28,D_M > T,360,0,0.0,30,15,0.5,0,diagnostic_only
29,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
30,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
31,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
32,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
33,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
34,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
35,D_M > T,360,0,0.0,30,13,0.43333333333333335,0,diagnostic_only
36,D_M > T,360,0,0.0,30,12,0.4,0,diagnostic_only
37,D_M > T,360,0,0.0,30,12,0.4,0,diagnostic_only
38,D_M > T,360,0,0.0,30,9,0.3,0,diagnostic_only
39,D_M > T,360,0,0.0,30,9,0.3,0,diagnostic_only
40,D_M > T,360,0,0.0,30,7,0.23333333333333334,0,diagnostic_only
41,D_M > T,360,0,0.0,30,7,0.23333333333333334,0,diagnostic_only
42,D_M > T,360,0,0.0,30,7,0.23333333333333334,0,diagnostic_only
43,D_M > T,360,0,0.0,30,2,0.06666666666666667,0,diagnostic_only
44,D_M > T,360,0,0.0,30,2,0.06666666666666667,0,diagnostic_only
45,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
46,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
47,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
48,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
49,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
50,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
51,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
52,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
53,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
54,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
55,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
56,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
57,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
58,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
59,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
60,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
61,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
62,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
63,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
64,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
65,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
66,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
67,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
68,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
69,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
70,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
71,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
72,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
73,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
74,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
75,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
76,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
77,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
78,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
79,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
80,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
81,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
82,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
83,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
84,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
85,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
86,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
87,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
88,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
89,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
90,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
91,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
92,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
93,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
94,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
95,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
96,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
97,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
98,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
99,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
100,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
101,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
102,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
103,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
104,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
105,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
106,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
107,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
108,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
109,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
110,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
111,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
112,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
113,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
114,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
115,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
116,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
117,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
118,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
119,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
120,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
121,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
122,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
123,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
124,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
125,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
126,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
127,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
128,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
129,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
130,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
131,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
132,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
133,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
134,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
135,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
136,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
137,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
138,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
139,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
140,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
141,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
142,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
143,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
144,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
145,D_M > T,360,0,0.0,30,0,0.0,0,diagnostic_only
