seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,M_REF_FALL,D_M_D04,H_D_D04,D04_detected,locked_rise_margin,locked_fall_margin,pre_attack_alarm_count,pre_attack_polarities,pre_attack_D_M,pre_attack_margin_selected,pre_attack_alarm_vector,first_alarm_latency_ns,first_alarm_latency_basis,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,21 ns RISE,000000000000000000000111111111,225,198,176,27,5,1,22,24,0,RISE;FALL,16;17,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,a4b03aa7070860405fc4a4e2114fd6b8f52a12d0aefa26c7d2f40e1e644cf865,4dcd44f2e0f1bfd63451cf0490b954be158e361d62d4d736bb002b1367e1f384,a2ee2fc7e184701d0cf12ec5186c85fb20a9380d6922c4876e3f46a15d47a096
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,21 ns RISE,000000000000000000000111111111,225,198,182,27,5,1,22,24,0,RISE;FALL,16;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,8a8bc031194886d840d514b592ff9ab0e4d8471f493ee9f4a921175c79b4f295,ff2b7554c20ded9e98826238631c97f3d09b5920005b9b638f59f712f2324b24,12f58517b4161baae6f71d5ea6863fddd84e02947f658c24cac3d3843b5aa8ae
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,21 ns RISE,000000000000000000000011111111,204,159,128,45,23,1,22,24,0,RISE;FALL,0;18,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,b0201f9b076dcba78e99a952e9ba5ffe0c4a2376b8bc60ed5b16b5ee7e0f7046,68e958325bb263c09ed7bbbdbd855c10cc86cd20c110bc0811f283466786c680,1cc9df4ffb4e119a7b7779f3603ecb1ee31833c68b480f7485cd218a6767fa92
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,2711119ab9b69c17124a06bc992dc1c1c204e0d28e565beedb82fc2d4f6c2f87,38a3a98bdb3a7e563ff6d15d4de2fde2625c5e5fc3c641890f395456300169f8,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,21 ns RISE,000000000000000000001111111111,245,204,176,41,19,1,22,24,0,RISE;FALL,0;17,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,599303948d88cb542378611bbca86f9d77d7005ee879766e19b4360c4c943f43,d3f01f2596f7edfa2b24ccfa868ee0668e0847095972fd9fdfa341c237188b0f,22cc1693cd2b377f54aa19ee07337ac549f526a19363bfde0b3dd51fc15935f3
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,21 ns RISE,000000000000000000000111111111,225,182,182,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,67ce3fee7d03196234cd726f717d97059c26945159ac006cf6b61132357cdf09,384bd6e8ccc58771eb15c1b2e0ca70dcf6cf07662a073484f0871ef99415fdfd,12f58517b4161baae6f71d5ea6863fddd84e02947f658c24cac3d3843b5aa8ae
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,21 ns RISE,000000000000000000000111111111,225,204,182,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,9fa665991af1919cfeb266984f0d45c3f6d7f19b392fd2bd5bfbe5a0d67a2015,bb2961d8c0334cf7dcc3526c661d60510f86bec2e8fc6a7199e05ffa53ead4ea,48d7359f97b2126be87e11439488742037533e492d20ac21cf86002c3a82d5d8
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,e0d8a355fbc31bbb64d05d7f84422008d4aa45b43c473f18acbb036e51316a56,77b2e0f7cf9ba49804e9a0e36bd18e2502bdcda08ffe1b0991b83a61281cb530,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,8e3507425c97eac422ab0fb3c418c568470823ce6738366609c2876d8515637f,2861a4d38ab3dee4ba20c5c898e67e1a2b308606cc7bc374021e5e369c4a28da,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,faa76a01acb18939562af4057eddcf214d9f6591d2999026269f19fa988d67fa,73e1da230aef0959432bf8ccbff51d4e384f00393965eb06c45cd88daaf49077,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,21 ns RISE,000000000000000000000011111111,204,176,159,28,6,1,22,24,0,RISE;FALL,17;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,707a0a1126c9096aa73f6ca18843bf06dd0367108a88ff071b2da9b51b8b663a,3bf91d4d572844370d06cc1ab276e9514fcaebb396a03b8c8ae210e1f38ba0e8,48c9e54c40c2334824f006f006b59ec3c11fe601c9663256c3a3ccfbbde4fb6b
