dataset,seed,polarity,m_ff,m_ref,arch0_margin,signed_e,abs_e,expected_arch0_alarm,expected_sign0_t18_alarm,expected_sign0_t19_alarm,source_artifact,source_sha256
healthy_fpr,41001,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,FALL,182,176,24,6,6,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,FALL,159,176,24,-17,17,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,FALL,159,176,24,-17,17,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,RISE,204,198,22,6,6,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41001,FALL,182,176,24,6,6,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41002,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41002,FALL,182,182,24,0,0,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41002,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41002,FALL,182,182,24,0,0,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
healthy_fpr,41002,RISE,182,198,22,-16,16,0,0,0,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/analysis/b_fe_frontend/bfe8_d02_arch0_pilot/BFE8_D02_HEALTHY_FPR.csv,4a50c05e752ff384a586bdb682af6b2e7c68dba69c92d9251bcfa3332321258a
