dataset_code,seed,polarity,m_ff,m_ref,margin,arch0,sign0_off,sign0_18,sign0_19,abs_term_18,signed_term_18,signed_term_19
0,41001,0,204,198,0,0,0,0,0,0,0,0
0,41001,0,204,198,0,0,0,0,0,0,0,0
0,41001,0,204,198,0,0,0,0,0,0,0,0
0,41001,0,182,198,0,0,0,0,0,0,0,0
0,41001,1,182,176,0,0,0,0,0,0,0,0
0,41001,1,159,176,0,0,0,0,0,0,0,0
0,41001,1,182,176,0,0,0,0,0,0,0,0
0,41001,1,182,176,0,0,0,0,0,0,0,0
1,41001,0,182,198,22,0,0,0,0,0,0,0
1,41001,1,182,176,24,0,0,0,0,0,0,0
1,41001,0,182,198,22,0,0,0,0,0,0,0
1,41001,1,159,176,24,0,0,0,0,0,0,0
1,41001,0,182,198,22,0,0,0,0,0,0,0
1,41001,1,159,176,24,0,0,0,0,0,0,0
1,41001,0,204,198,22,0,0,0,0,0,0,0
1,41001,1,182,176,24,0,0,0,0,0,0,0
2,41001,0,204,198,22,0,0,0,0,0,0,0
2,41001,0,204,198,22,0,0,0,0,0,0,0
2,41001,0,204,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,204,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,182,198,22,0,0,0,0,0,0,0
2,41001,0,204,198,22,0,0,0,0,0,0,0
3,41001,0,225,198,22,1,1,1,1,1,1,1
4,41001,0,245,198,22,1,1,1,1,1,1,1
5,41001,0,225,198,22,1,1,1,1,1,1,1
0,41002,0,204,198,0,0,0,0,0,0,0,0
0,41002,0,204,198,0,0,0,0,0,0,0,0
0,41002,0,204,198,0,0,0,0,0,0,0,0
0,41002,0,182,198,0,0,0,0,0,0,0,0
0,41002,1,182,182,0,0,0,0,0,0,0,0
0,41002,1,182,182,0,0,0,0,0,0,0,0
0,41002,1,182,182,0,0,0,0,0,0,0,0
0,41002,1,182,182,0,0,0,0,0,0,0,0
1,41002,0,182,198,22,0,0,0,0,0,0,0
1,41002,1,182,182,24,0,0,0,0,0,0,0
1,41002,0,182,198,22,0,0,0,0,0,0,0
1,41002,1,182,182,24,0,0,0,0,0,0,0
1,41002,0,182,198,22,0,0,0,0,0,0,0
1,41002,1,182,182,24,0,0,0,0,0,0,0
1,41002,0,204,198,22,0,0,0,0,0,0,0
1,41002,1,182,182,24,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,182,198,22,0,0,0,0,0,0,0
2,41002,0,204,198,22,0,0,0,0,0,0,0
3,41002,0,225,198,22,1,1,1,1,1,1,1
4,41002,0,245,198,22,1,1,1,1,1,1,1
5,41002,0,225,198,22,1,1,1,1,1,1,1
0,41003,0,159,159,0,0,0,0,0,0,0,0
0,41003,0,159,159,0,0,0,0,0,0,0,0
0,41003,0,159,159,0,0,0,0,0,0,0,0
0,41003,0,159,159,0,0,0,0,0,0,0,0
0,41003,1,135,128,0,0,0,0,0,0,0,0
0,41003,1,110,128,0,0,0,0,0,0,0,0
0,41003,1,135,128,0,0,0,0,0,0,0,0
0,41003,1,135,128,0,0,0,0,0,0,0,0
1,41003,0,159,159,22,0,0,0,0,0,0,0
1,41003,1,135,128,24,0,0,0,0,0,0,0
1,41003,0,159,159,22,0,0,0,0,0,0,0
1,41003,1,110,128,24,0,0,0,0,0,0,0
1,41003,0,159,159,22,0,0,0,0,0,0,0
1,41003,1,110,128,24,0,0,0,0,0,0,0
1,41003,0,159,159,22,0,0,0,0,0,0,0
1,41003,1,135,128,24,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
2,41003,0,159,159,22,0,0,0,0,0,0,0
3,41003,0,204,159,22,1,1,1,1,1,1,1
4,41003,0,225,159,22,1,1,1,1,1,1,1
5,41003,0,204,159,22,1,1,1,1,1,1,1
0,41004,0,182,187,0,0,0,0,0,0,0,0
0,41004,0,182,187,0,0,0,0,0,0,0,0
0,41004,0,204,187,0,0,0,0,0,0,0,0
0,41004,0,182,187,0,0,0,0,0,0,0,0
0,41004,1,159,159,0,0,0,0,0,0,0,0
0,41004,1,159,159,0,0,0,0,0,0,0,0
0,41004,1,159,159,0,0,0,0,0,0,0,0
0,41004,1,159,159,0,0,0,0,0,0,0,0
1,41004,0,182,187,22,0,0,0,0,0,0,0
1,41004,1,159,159,24,0,0,0,0,0,0,0
1,41004,0,182,187,22,0,0,0,0,0,0,0
1,41004,1,159,159,24,0,0,0,0,0,0,0
1,41004,0,182,187,22,0,0,0,0,0,0,0
1,41004,1,135,159,24,0,0,0,0,0,0,0
1,41004,0,182,187,22,0,0,0,0,0,0,0
1,41004,1,159,159,24,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,204,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
2,41004,0,182,187,22,0,0,0,0,0,0,0
3,41004,0,225,187,22,1,1,1,1,1,1,1
4,41004,0,245,187,22,1,1,1,1,1,1,1
5,41004,0,225,187,22,1,1,1,1,1,1,1
0,41005,0,204,204,0,0,0,0,0,0,0,0
0,41005,0,204,204,0,0,0,0,0,0,0,0
0,41005,0,204,204,0,0,0,0,0,0,0,0
0,41005,0,204,204,0,0,0,0,0,0,0,0
0,41005,1,182,176,0,0,0,0,0,0,0,0
0,41005,1,159,176,0,0,0,0,0,0,0,0
0,41005,1,182,176,0,0,0,0,0,0,0,0
0,41005,1,182,176,0,0,0,0,0,0,0,0
1,41005,0,204,204,22,0,0,0,0,0,0,0
1,41005,1,182,176,24,0,0,0,0,0,0,0
1,41005,0,204,204,22,0,0,0,0,0,0,0
1,41005,1,159,176,24,0,0,0,0,0,0,0
1,41005,0,204,204,22,0,0,0,0,0,0,0
1,41005,1,159,176,24,0,0,0,0,0,0,0
1,41005,0,204,204,22,0,0,0,0,0,0,0
1,41005,1,182,176,24,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
2,41005,0,204,204,22,0,0,0,0,0,0,0
3,41005,0,225,204,22,0,0,1,1,0,1,1
