seed,mc_process_signature,temperature_c,background_stimulus_signature,event_index,polarity,q_ff,M_FF,M_REF_STARTUP_RISE,M_REF_STARTUP_FALL,source_run,capture_status,e_anchor,D_start,signed_alarm_18,signed_alarm_19
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,0,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,1,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,2,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,3,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,4,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,5,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,6,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,7,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,8,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,9,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,10,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,11,FALL,000000000000000000000000111111,159,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-17,17,0,0
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,12,RISE,000000000000000000000001111111,182,198,176,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice,VALID,-16,16,0,0
