seed,mc_process_signature,M_REF_STARTUP_RISE,M_REF_STARTUP_FALL,temperatures_c,event_count,temperature_-40_M_FF,temperature_-40_max_D_start,temperature_125_M_FF,temperature_125_max_D_start
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,198,176,"[-40, 125]",48,"[182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 135, 182, 159]",41,"[204, 204, 204, 204, 225, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 182, 204, 204]",28
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,198,182,"[-40, 125]",48,"[182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159]",23,"[204, 204, 204, 204, 225, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204]",27
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,159,128,"[-40, 125]",48,"[135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84, 135, 84]",44,"[204, 159, 204, 159, 204, 159, 182, 159, 182, 159, 204, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 204, 159]",45
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,187,159,"[-40, 125]",48,"[182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 182, 135, 159, 135, 182, 135]",28,"[204, 182, 204, 182, 225, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182]",38
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,204,176,"[-40, 125]",48,"[182, 159, 182, 135, 204, 159, 182, 159, 182, 159, 182, 159, 182, 135, 182, 159, 182, 159, 182, 159, 182, 135, 182, 159]",41,"[225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 204, 225, 182, 225, 204]",28
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,182,182,"[-40, 125]",48,"[159, 159, 159, 159, 182, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 159, 135, 159, 159]",47,"[204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204]",22
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,204,182,"[-40, 125]",48,"[182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 159, 182, 135, 182, 159]",47,"[204, 204, 204, 204, 225, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204, 204]",22
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,182,159,"[-40, 125]",48,"[182, 159, 159, 135, 182, 159, 159, 159, 159, 159, 182, 135, 159, 135, 159, 135, 159, 159, 159, 135, 159, 135, 182, 159]",24,"[204, 204, 204, 182, 204, 204, 204, 204, 204, 204, 204, 182, 204, 182, 204, 182, 204, 204, 204, 182, 204, 182, 204, 204]",45
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,187,159,"[-40, 125]",48,"[182, 135, 182, 135, 182, 135, 159, 135, 182, 135, 182, 135, 159, 135, 182, 135, 159, 135, 159, 135, 159, 135, 182, 135]",28,"[204, 204, 204, 182, 225, 182, 204, 182, 204, 204, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182, 204, 182]",45
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,182,159,"[-40, 125]",48,"[159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 135, 159, 110, 159, 135]",49,"[204, 204, 204, 182, 204, 204, 204, 182, 204, 204, 204, 182, 204, 182, 204, 182, 204, 204, 204, 182, 204, 182, 204, 182]",45
