seed,mc_process_signature,temperature_c,background_stimulus_signature,event_index,polarity,q_ff,M_FF,M_REF_STARTUP_RISE,M_REF_STARTUP_FALL,source_run,capture_status,e_anchor,D_start,signed_alarm_18,signed_alarm_19
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,0,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,1,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,2,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,3,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,4,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,5,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,6,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,7,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,8,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,9,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,10,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,11,FALL,000000000000000000000000001111,110,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-25,25,0,0
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,-40,a47522d223ca7148c306a44da11f67079a1cfe671bedd6fc8652c5821fa55af5,12,RISE,000000000000000000000000011111,135,153,135,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41027/t_-040C/source_hspice,VALID,-18,18,0,0
