seed,temperature_c,event_index,polarity,M_FF,M_REF_STARTUP_SELECTED,e_anchor,D_anchor,signed_alarm_18,signed_alarm_19,startup_abs_alarm,outside_T_TRACK_5,outside_B_TRACK_2,q_ff,source_run
41001,-40,0,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,1,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,2,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,3,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,4,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,5,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,6,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,7,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,8,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,9,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,10,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,11,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,12,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,13,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,14,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,15,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,16,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,17,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,18,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,19,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,20,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,21,FALL,135,176,-41,41,0,0,1,1,1,000000000000000000000000011111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,22,RISE,182,198,-16,16,0,0,0,1,1,000000000000000000000001111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,-40,23,FALL,159,176,-17,17,0,0,0,1,1,000000000000000000000000111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_-040C/source_hspice
41001,125,0,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,1,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,2,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,3,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,4,RISE,225,198,27,27,1,1,1,1,1,000000000000000000000111111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,5,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,6,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,7,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,8,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,9,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,10,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,11,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,12,RISE,204,198,6,6,0,0,0,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
41001,125,13,FALL,204,176,28,28,0,0,1,1,1,000000000000000000000011111111,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe14_arch1_benign_temp_drift/physical/seed_41001/t_+125C/source_hspice
