seed,temperature_c,event_index,polarity,m_ff,calibration,alarm_a18,alarm_b18,alarm_a19,alarm_b19,sticky_a18,sticky_b18,sticky_a19,sticky_b19,before_a18_rise,before_a18_fall,before_b18_rise,before_b18_fall,before_a19_rise,before_a19_fall,before_b19_rise,before_b19_fall,after_a18_rise,after_a18_fall,after_b18_rise,after_b18_fall,after_a19_rise,after_a19_fall,after_b19_rise,after_b19_fall,lock_a18,lock_b18,lock_a19,lock_b19,event_count
41001,-40,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41001,-40,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41001,-40,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41001,-40,-1,0,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,0,0,0,0,3
41001,-40,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,4
41001,-40,-1,1,159,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,5
41001,-40,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,6
41001,-40,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,176,198,176,198,176,198,176,1,1,1,1,7
41001,-40,0,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,8
41001,-40,1,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,9
41001,-40,2,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,10
41001,-40,3,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,11
41001,-40,4,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,12
41001,-40,5,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,13
41001,-40,6,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,14
41001,-40,7,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,15
41001,-40,8,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,16
41001,-40,9,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,17
41001,-40,10,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,18
41001,-40,11,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,19
41001,-40,12,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,20
41001,-40,13,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,21
41001,-40,14,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,22
41001,-40,15,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,23
41001,-40,16,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,24
41001,-40,17,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,25
41001,-40,18,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,26
41001,-40,19,1,159,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,27
41001,-40,20,0,182,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,28
41001,-40,21,1,135,0,1,1,1,1,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,29
41001,-40,22,0,182,0,0,0,0,0,1,1,1,1,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,30
41001,-40,23,1,159,0,0,0,0,0,1,1,1,1,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,31
41001,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
41001,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
41001,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
41001,125,-1,0,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,0,0,0,0,35
41001,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,36
41001,125,-1,1,159,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,37
41001,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,38
41001,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,176,198,176,198,176,198,176,1,1,1,1,39
41001,125,0,0,204,0,0,0,0,0,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,40
41001,125,1,1,204,0,1,1,1,1,0,0,0,0,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,41
41001,125,2,0,204,0,0,0,0,0,1,1,1,1,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,42
41001,125,3,1,204,0,1,1,1,1,1,1,1,1,198,176,198,176,198,176,198,176,198,176,198,176,198,176,198,176,1,1,1,1,43
