capture_index,g_fall_ps,sample_time_ps,tail_time_ps,nearest_system_edge_ps,system_edge_polarity,time_from_nearest_system_edge_ps,designated,q_raw_tap0_to_tap29,q_raw_29_to_0,N,M,T,mid_rail_taps,unstable_tail_taps,safe_supply_bad_taps,g_not_closed_taps,source_free_post_close_events,rail_tail_stable
0,1534.5246185669998,1635.0,2535.0,1000.0,rise,534.5246185669998,True,000000000000001111111111111100,001111111111111100000000000000,14,287,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 28]",[],[],[],False
1,4034.524618567,4135.0,5035.0,1000.0,rise,3034.524618567,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[],[],[],False
2,6534.524618567,6635.0,7535.0,11000.0,fall,-4465.475381433,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
3,9034.524618567,9135.0,10035.0,11000.0,fall,-1965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
4,11534.524618567,11635.0,12535.0,11000.0,fall,534.5246185670003,True,000000000000000111111111111000,000111111111111000000000000000,12,246,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19, 26, 27]",[],[],[],False
5,14034.524618567,14135.0,15035.0,11000.0,fall,3034.5246185670003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[],[],[],False
6,16534.524618567,16635.0,17535.0,21000.0,rise,-4465.475381433,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
7,19034.524618567,19135.0,20035.0,21000.0,rise,-1965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
8,21534.524618567,21635.0,22535.0,21000.0,rise,534.5246185670003,True,000000000000001111111111111100,001111111111111100000000000000,14,287,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 28]",[],[],[],False
9,24034.524618567,24135.0,25035.0,21000.0,rise,3034.5246185670003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[],[],[],False
10,26534.524618567,26635.0,27535.0,31000.0,fall,-4465.475381433,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
11,29034.524618567,29135.0,30035.0,31000.0,fall,-1965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
12,31534.524618567,31635.0,32535.0,31000.0,fall,534.5246185670003,True,000000000000000111111111111000,000111111111111000000000000000,12,246,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19, 26, 27]",[],[],[],False
13,34034.524618567,34135.0,35035.0,31000.0,fall,3034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[],[],[],False
14,36534.524618567,36635.0,37535.0,41000.0,rise,-4465.475381433003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
15,39034.524618567,39135.0,40035.0,41000.0,rise,-1965.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
16,41534.524618567,41635.0,42535.0,41000.0,rise,534.5246185669967,True,000000000000001111111111111100,001111111111111100000000000000,14,287,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 28]",[],[],[],False
17,44034.524618567,44135.0,45035.0,41000.0,rise,3034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[],[],[],False
18,46534.524618567,46635.0,47535.0,51000.0,fall,-4465.475381433003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
19,49034.524618567,49135.0,50035.0,51000.0,fall,-1965.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
20,51534.524618567,51635.0,52535.0,51000.0,fall,534.5246185669967,True,000000000000000111111111111000,000111111111111000000000000000,12,246,2,[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19, 26, 27]",[],[],[],False
21,54034.524618567,54135.0,55035.0,51000.0,fall,3034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[],[],[],False
22,56534.524618567,56635.0,57535.0,51000.0,fall,5534.524618566997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
23,59034.524618567,59135.0,60035.0,51000.0,fall,8034.524618566997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,0,[],[],[],[],[],True
