sample_index,sample_edge_ps,sample_time_ps,nearest_system_edge_ps,system_edge_polarity,time_from_nearest_system_edge_ps,designated,q_ff_raw_tap0_to_tap29,q_ff_raw_29_to_0,M_FF,N_FF,latq_mid_rail_taps,dff_mid_rail_taps,dff_rail_resolved,latq_rail_resolved_at_sample,normal_rise_reference,normal_fall_reference
0,2534.524618567,2634.524618567,1000.0,rise,1534.5246185669998,True,000000000000001111111111111100,001111111111111100000000000000,287,14,[],[],True,True,True,False
1,5034.524618567,5134.524618567,1000.0,rise,4034.5246185670003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
2,7534.524618567,7634.524618567,11000.0,fall,-3465.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
3,10034.524618567,10134.524618567,11000.0,fall,-965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
4,12534.524618567,12634.524618567,11000.0,fall,1534.5246185670003,True,000000000000000111111111111000,000111111111111000000000000000,246,12,[],[],True,True,False,True
5,15034.524618567,15134.524618567,11000.0,fall,4034.5246185670003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
6,17534.524618567,17634.524618567,21000.0,rise,-3465.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
7,20034.524618567,20134.524618567,21000.0,rise,-965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
8,22534.524618567,22634.524618567,21000.0,rise,1534.5246185670003,True,000000000011111111111110000000,000000011111111111110000000000,208,13,[],[],True,True,False,False
9,25034.524618567,25134.524618567,21000.0,rise,4034.5246185670003,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
10,27534.524618567,27634.524618567,31000.0,fall,-3465.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
11,30034.524618567,30134.524618567,31000.0,fall,-965.4753814329997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
12,32534.524618567,32634.524618567,31000.0,fall,1534.5246185670003,True,000000000000000111111111111000,000111111111111000000000000000,246,12,[],[],True,True,False,True
13,35034.524618567,35134.524618567,31000.0,fall,4034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
14,37534.524618567,37634.524618567,41000.0,rise,-3465.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
15,40034.524618567,40134.524618567,41000.0,rise,-965.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
16,42534.524618567,42634.524618567,41000.0,rise,1534.5246185669967,True,000000000000001111111111111100,001111111111111100000000000000,287,14,[],[],True,True,True,False
17,45034.524618567,45134.524618567,41000.0,rise,4034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
18,47534.524618567,47634.524618567,51000.0,fall,-3465.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
19,50034.524618567,50134.524618567,51000.0,fall,-965.4753814330033,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
20,52534.524618567,52634.524618567,51000.0,fall,1534.5246185669967,True,000000000000000111111111111000,000111111111111000000000000000,246,12,[],[],True,True,False,True
21,55034.524618567,55134.524618567,51000.0,fall,4034.5246185669967,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
22,57534.524618567,57634.524618567,51000.0,fall,6534.524618566997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
23,60034.524618567,60134.524618567,51000.0,fall,9034.524618566997,False,000000000000000000000000000000,000000000000000000000000000000,0,0,[],[],True,True,False,False
