HD_vs_nominal,M_FF,N_FF,delta_M,designated,dff_mid_rail_taps,dff_rail_resolved,latq_mid_rail_taps,latq_rail_resolved_at_sample,nearest_system_edge_ps,q_ff_raw_29_to_0,q_ff_raw_tap0_to_tap29,sample_index,sample_time_ps,system_edge_polarity,time_from_nearest_system_edge_ps,voltage_v
,287,14,,True,[],True,[],True,1000.0,001111111111111100000000000000,000000000000001111111111111100,0,2634.524618567,rise,1534.5246185669998,0.47
,0,0,,False,[],True,[],True,1000.0,000000000000000000000000000000,000000000000000000000000000000,1,5134.524618567,rise,4034.5246185670003,0.47
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,2,7634.524618567,fall,-3465.4753814329997,0.47
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,3,10134.524618567,fall,-965.4753814329997,0.47
,246,12,,True,[],True,[],True,11000.0,000111111111111000000000000000,000000000000000111111111111000,4,12634.524618567,fall,1534.5246185670003,0.47
,0,0,,False,[],True,[],True,11000.0,000000000000000000000000000000,000000000000000000000000000000,5,15134.524618567,fall,4034.5246185670003,0.47
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,6,17634.524618567,rise,-3465.4753814329997,0.47
,0,0,,False,[],True,[],True,21000.0,000000000000000000000000000000,000000000000000000000000000000,7,20134.524618567,rise,-965.4753814329997,0.47
18,6,4,-281,True,[],True,[],True,21000.0,000000000000000000000000001111,111100000000000000000000000000,8,22634.524618567,rise,1534.5246185670003,0.47
,65,10,,False,[],True,[],True,21000.0,000000000000000000111111111100,001111111111000000000000000000,9,25134.524618567,rise,4034.5246185670003,0.47
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,10,27634.524618567,fall,-3465.4753814329997,0.47
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,11,30134.524618567,fall,-965.4753814329997,0.47
,246,12,,True,[],True,[],True,31000.0,000111111111111000000000000000,000000000000000111111111111000,12,32634.524618567,fall,1534.5246185670003,0.47
,0,0,,False,[],True,[],True,31000.0,000000000000000000000000000000,000000000000000000000000000000,13,35134.524618567,fall,4034.5246185669967,0.47
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,14,37634.524618567,rise,-3465.4753814330033,0.47
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,15,40134.524618567,rise,-965.4753814330033,0.47
,287,14,,True,[],True,[],True,41000.0,001111111111111100000000000000,000000000000001111111111111100,16,42634.524618567,rise,1534.5246185669967,0.47
,0,0,,False,[],True,[],True,41000.0,000000000000000000000000000000,000000000000000000000000000000,17,45134.524618567,rise,4034.5246185669967,0.47
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,18,47634.524618567,fall,-3465.4753814330033,0.47
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,19,50134.524618567,fall,-965.4753814330033,0.47
,246,12,,True,[],True,[],True,51000.0,000111111111111000000000000000,000000000000000111111111111000,20,52634.524618567,fall,1534.5246185669967,0.47
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,21,55134.524618567,fall,4034.5246185669967,0.47
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,22,57634.524618567,fall,6534.524618566997,0.47
,0,0,,False,[],True,[],True,51000.0,000000000000000000000000000000,000000000000000000000000000000,23,60134.524618567,fall,9034.524618566997,0.47
