margin,rule,normal_count,normal_alarm_count,fpr,droop_count,droop_alarm_count,tpr,fnr
0,D_M > margin,30,1,0.03333333333333333,30,29,0.9666666666666667,0.033333333333333326
1,D_M > margin,30,1,0.03333333333333333,30,29,0.9666666666666667,0.033333333333333326
2,D_M > margin,30,1,0.03333333333333333,30,28,0.9333333333333333,0.06666666666666665
3,D_M > margin,30,1,0.03333333333333333,30,28,0.9333333333333333,0.06666666666666665
4,D_M > margin,30,1,0.03333333333333333,30,28,0.9333333333333333,0.06666666666666665
5,D_M > margin,30,1,0.03333333333333333,30,28,0.9333333333333333,0.06666666666666665
6,D_M > margin,30,1,0.03333333333333333,30,28,0.9333333333333333,0.06666666666666665
7,D_M > margin,30,0,0.0,30,28,0.9333333333333333,0.06666666666666665
8,D_M > margin,30,0,0.0,30,28,0.9333333333333333,0.06666666666666665
9,D_M > margin,30,0,0.0,30,27,0.9,0.09999999999999998
10,D_M > margin,30,0,0.0,30,27,0.9,0.09999999999999998
11,D_M > margin,30,0,0.0,30,27,0.9,0.09999999999999998
12,D_M > margin,30,0,0.0,30,26,0.8666666666666667,0.1333333333333333
13,D_M > margin,30,0,0.0,30,24,0.8,0.19999999999999996
14,D_M > margin,30,0,0.0,30,22,0.7333333333333333,0.2666666666666667
15,D_M > margin,30,0,0.0,30,21,0.7,0.30000000000000004
16,D_M > margin,30,0,0.0,30,20,0.6666666666666666,0.33333333333333337
17,D_M > margin,30,0,0.0,30,20,0.6666666666666666,0.33333333333333337
18,D_M > margin,30,0,0.0,30,19,0.6333333333333333,0.3666666666666667
19,D_M > margin,30,0,0.0,30,19,0.6333333333333333,0.3666666666666667
20,D_M > margin,30,0,0.0,30,19,0.6333333333333333,0.3666666666666667
21,D_M > margin,30,0,0.0,30,19,0.6333333333333333,0.3666666666666667
22,D_M > margin,30,0,0.0,30,17,0.5666666666666667,0.43333333333333335
23,D_M > margin,30,0,0.0,30,17,0.5666666666666667,0.43333333333333335
24,D_M > margin,30,0,0.0,30,17,0.5666666666666667,0.43333333333333335
25,D_M > margin,30,0,0.0,30,17,0.5666666666666667,0.43333333333333335
26,D_M > margin,30,0,0.0,30,15,0.5,0.5
27,D_M > margin,30,0,0.0,30,14,0.4666666666666667,0.5333333333333333
28,D_M > margin,30,0,0.0,30,12,0.4,0.6
29,D_M > margin,30,0,0.0,30,12,0.4,0.6
30,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
31,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
32,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
33,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
34,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
35,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
36,D_M > margin,30,0,0.0,30,10,0.3333333333333333,0.6666666666666667
37,D_M > margin,30,0,0.0,30,8,0.26666666666666666,0.7333333333333334
38,D_M > margin,30,0,0.0,30,8,0.26666666666666666,0.7333333333333334
39,D_M > margin,30,0,0.0,30,6,0.2,0.8
40,D_M > margin,30,0,0.0,30,3,0.1,0.9
41,D_M > margin,30,0,0.0,30,2,0.06666666666666667,0.9333333333333333
42,D_M > margin,30,0,0.0,30,2,0.06666666666666667,0.9333333333333333
43,D_M > margin,30,0,0.0,30,0,0.0,1.0
44,D_M > margin,30,0,0.0,30,0,0.0,1.0
45,D_M > margin,30,0,0.0,30,0,0.0,1.0
46,D_M > margin,30,0,0.0,30,0,0.0,1.0
47,D_M > margin,30,0,0.0,30,0,0.0,1.0
48,D_M > margin,30,0,0.0,30,0,0.0,1.0
49,D_M > margin,30,0,0.0,30,0,0.0,1.0
50,D_M > margin,30,0,0.0,30,0,0.0,1.0
51,D_M > margin,30,0,0.0,30,0,0.0,1.0
52,D_M > margin,30,0,0.0,30,0,0.0,1.0
53,D_M > margin,30,0,0.0,30,0,0.0,1.0
54,D_M > margin,30,0,0.0,30,0,0.0,1.0
55,D_M > margin,30,0,0.0,30,0,0.0,1.0
56,D_M > margin,30,0,0.0,30,0,0.0,1.0
57,D_M > margin,30,0,0.0,30,0,0.0,1.0
58,D_M > margin,30,0,0.0,30,0,0.0,1.0
59,D_M > margin,30,0,0.0,30,0,0.0,1.0
60,D_M > margin,30,0,0.0,30,0,0.0,1.0
61,D_M > margin,30,0,0.0,30,0,0.0,1.0
62,D_M > margin,30,0,0.0,30,0,0.0,1.0
63,D_M > margin,30,0,0.0,30,0,0.0,1.0
64,D_M > margin,30,0,0.0,30,0,0.0,1.0
65,D_M > margin,30,0,0.0,30,0,0.0,1.0
66,D_M > margin,30,0,0.0,30,0,0.0,1.0
67,D_M > margin,30,0,0.0,30,0,0.0,1.0
68,D_M > margin,30,0,0.0,30,0,0.0,1.0
69,D_M > margin,30,0,0.0,30,0,0.0,1.0
70,D_M > margin,30,0,0.0,30,0,0.0,1.0
71,D_M > margin,30,0,0.0,30,0,0.0,1.0
72,D_M > margin,30,0,0.0,30,0,0.0,1.0
73,D_M > margin,30,0,0.0,30,0,0.0,1.0
74,D_M > margin,30,0,0.0,30,0,0.0,1.0
