seed,M_CAL_FALL,M_REF_FALL,M_NORMAL_FALL,D_NORMAL_FALL,q_ff_normal_fall,raw_xa,raw_xa_sha256
41001,"[180, 180, 180, 180]",180,180,0,000001111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41001/normal/vcs_xa/xa_dff_samples.csv,01a2da4e8df17bb83194b72a9e7841644f9fbc80bfe548749543ae46b3a7e0a1
41002,"[273, 273, 273, 273]",273,273,0,001111111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41002/normal/vcs_xa/xa_dff_samples.csv,21169120533c85e05d3b1383a8e36f6ad0a94f6dd3dd59304f086cea30c0a2f3
41003,"[242, 242, 242, 242]",242,242,0,001111111111100000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41003/normal/vcs_xa/xa_dff_samples.csv,341c187d79df79ac62c21634d3dd248de0bfeb9eb181d68870fb12f4ea1682fe
41004,"[315, 315, 315, 315]",315,315,0,111111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41004/normal/vcs_xa/xa_dff_samples.csv,990fcc1d6348d53cec24da5676bb61489efed94ad904b7630ec2afb5bd21d7a4
41005,"[273, 273, 273, 273]",273,273,0,001111111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41005/normal/vcs_xa/xa_dff_samples.csv,21169120533c85e05d3b1383a8e36f6ad0a94f6dd3dd59304f086cea30c0a2f3
41006,"[148, 148, 148, 148]",148,148,0,000000011111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41006/normal/vcs_xa/xa_dff_samples.csv,91beeefcba4c6d16007c6e12e62b9fb831aae8356e0d5d9e784a83200893d3db
41007,"[246, 246, 246, 246]",246,246,0,000111111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41007/normal/vcs_xa/xa_dff_samples.csv,2448eb6a37755c265bc264645e7793fbcd0660c85748819b268278e16ad320a6
41008,"[246, 246, 246, 246]",246,246,0,000111111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41008/normal/vcs_xa/xa_dff_samples.csv,460ce9e15b32adba856aa3bf201dc93fb494ced723b4f1b00d640e653f571b7d
41009,"[286, 286, 286, 286]",286,286,0,011111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41009/normal/vcs_xa/xa_dff_samples.csv,d93c7f56576002b8275f47be736b4f3350d16ed3f5f0229ffc1397c3b80c122b
41010,"[286, 286, 286, 286]",286,286,0,011111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41010/normal/vcs_xa/xa_dff_samples.csv,d93c7f56576002b8275f47be736b4f3350d16ed3f5f0229ffc1397c3b80c122b
41011,"[258, 258, 258, 258]",258,258,0,001111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41011/normal/vcs_xa/xa_dff_samples.csv,bab4553b2991aab074d3540c2f389c8e80b09290d43abacc0288d33647462a0e
41012,"[246, 246, 246, 246]",246,246,0,000111111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41012/normal/vcs_xa/xa_dff_samples.csv,abafccf90de5e2431a6deab0c3710da8dc6970ef9c58c90165186b76be356a4f
41013,"[209, 209, 209, 209]",209,209,0,000001111111111100000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41013/normal/vcs_xa/xa_dff_samples.csv,67f0492d7cda2ea6afbfd0e2e55b8f8f5c179a7097c0b83be9c00874e27c4838
41014,"[286, 286, 286, 286]",286,286,0,011111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41014/normal/vcs_xa/xa_dff_samples.csv,d93c7f56576002b8275f47be736b4f3350d16ed3f5f0229ffc1397c3b80c122b
41015,"[258, 258, 258, 258]",258,258,0,001111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41015/normal/vcs_xa/xa_dff_samples.csv,780b22bb37ea23c09b72562808fb2bdc8b1fca95d92c363ee4d58eb4f728b615
41016,"[258, 258, 258, 258]",258,258,0,001111111111110000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41016/normal/vcs_xa/xa_dff_samples.csv,7d9c71db5f7444433a67e14dd081306d2ef0c8b3d00366d6fc39b0cb152cc008
41017,"[220, 220, 220, 220]",220,220,0,000011111111111000000000000000,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/b_fe_frontend/bfe4_caln0_self_calibration/instances/seed_41017/normal/vcs_xa/xa_dff_samples.csv,7eabce12713fddb275dd6fb55220fecd2e837be4b87d245c8855f2362960868a
