scenario_id,short_name,group,attack_kind,nominal_depth_v,attack_breakpoints_ps,reference_edges_ps,purpose
D01,SHALLOW_CANONICAL,A,rect,3.000000000000e-02,"[[19490,0.0],[19500,0.03],[22500,0.03],[22510,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",shallow single-event canonical challenge
D02,MEDIUM_CANONICAL,A,rect,6.000000000000e-02,"[[19490,0.0],[19500,0.06],[22500,0.06],[22510,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",medium single-event control
D03,STRONG_CANONICAL,A,rect,1.400000000000e-01,"[[19490,0.0],[19500,0.14],[22500,0.14],[22510,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",strong positive-control attack
D04,SHORT_MEDIUM,B,rect,6.000000000000e-02,"[[20690,0.0],[20700,0.06],[21300,0.06],[21310,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",same medium depth with short exposure
D05,DEEP_V_SHAPE,B,v,1.400000000000e-01,"[[20250,0.0],[21000,0.14],[21750,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",deep transient with no low-voltage dwell
D06,SLOW_FALL_FAST_RECOVERY,B,slow,6.000000000000e-02,"[[18500,0.0],[20900,0.06],[21100,0.06],[21110,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",slow sag crossing the meaningful edge
D07,DOUBLE_SHALLOW,C,double,3.000000000000e-02,"[[20590,0.0],[20600,0.03],[21400,0.03],[21410,0.0],[30590,0.0],[30600,0.03],[31400,0.03],[31410,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",two weak events on consecutive edges
D08,FOUR_PULSE_SHALLOW_BURST,C,burst,3.000000000000e-02,"[[20590,0.0],[20600,0.03],[21400,0.03],[21410,0.0],[30590,0.0],[30600,0.03],[31400,0.03],[31410,0.0],[40590,0.0],[40600,0.03],[41400,0.03],[41410,0.0],[50590,0.0],[50600,0.03],[51400,0.03],[51410,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",four weak events across four edges
D09,STAIRCASE_SAG,C,staircase,4.000000000000e-02,"[[0,0.0],[21000,0.0],[21010,0.01],[31000,0.01],[31010,0.02],[41000,0.02],[41010,0.03],[51000,0.03],[51010,0.04],[58000,0.04],[58010,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",four cumulative finite-ramp depth steps
D10,PRE_EDGE_MEDIUM,D,pre,6.000000000000e-02,"[[17990,0.0],[18000,0.06],[21000,0.06],[21010,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",medium droop concentrated before the edge
D11,POST_EDGE_MEDIUM,D,post,6.000000000000e-02,"[[20990,0.0],[21000,0.06],[24000,0.06],[24010,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",medium droop concentrated after the edge
D12,DUAL_EDGE_SHALLOW_SPAN,D,span,3.000000000000e-02,"[[19990,0.0],[20000,0.03],[32000,0.03],[32010,0.0]]","{""T_E"":21000,""T_E1"":31000,""T_E2"":41000,""T_E3"":51000}",one shallow event spanning two edges
