time_s,n_slow_v,n_fast_v,n_bg_v,vdd_healthy_v
0.000000000000e+00,3.703309326350e-03,-2.250780672282e-03,1.452528654068e-03,1.101452528654e+00
2.500000000000e-10,3.399854173885e-03,2.916787018141e-03,6.316641192026e-03,1.106316641192e+00
5.000000000000e-10,3.096399021421e-03,2.288076665365e-03,5.384475686785e-03,1.105384475687e+00
7.500000000000e-10,2.792943868956e-03,-1.910851378051e-03,8.820924909051e-04,1.100882092491e+00
1.000000000000e-09,2.489488716491e-03,2.907493929293e-04,2.780238109420e-03,1.102780238109e+00
1.250000000000e-09,2.186033564026e-03,2.999916876991e-03,5.185950441017e-03,1.105185950441e+00
1.500000000000e-09,1.882578411562e-03,-2.876278740948e-03,-9.937003293861e-04,1.099006299671e+00
1.750000000000e-09,1.579123259097e-03,-2.819822063174e-03,-1.240698804077e-03,1.098759301196e+00
2.000000000000e-09,1.275668106632e-03,1.709103756930e-03,2.984771863562e-03,1.102984771864e+00
2.250000000000e-09,9.722129541674e-04,-2.312037982812e-03,-1.339825028645e-03,1.098660174971e+00
2.500000000000e-09,6.687578017026e-04,-1.301379005096e-03,-6.326212033930e-04,1.099367378797e+00
2.750000000000e-09,9.019119953338e-04,5.879981126508e-04,1.489910107985e-03,1.101489910108e+00
3.000000000000e-09,1.135066188965e-03,-1.890943296406e-03,-7.558771074413e-04,1.099244122893e+00
3.250000000000e-09,1.368220382596e-03,1.799598581256e-03,3.167818963852e-03,1.103167818964e+00
3.500000000000e-09,1.601374576227e-03,-2.542283111413e-03,-9.409085351853e-04,1.099059091465e+00
3.750000000000e-09,1.834528769859e-03,1.824622739414e-03,3.659151509272e-03,1.103659151509e+00
4.000000000000e-09,2.067682963490e-03,1.038969843659e-03,3.106652807149e-03,1.103106652807e+00
4.250000000000e-09,2.300837157121e-03,-2.031086232413e-03,2.697509247081e-04,1.100269750925e+00
4.500000000000e-09,2.533991350752e-03,2.114913196637e-03,4.648904547390e-03,1.104648904547e+00
4.750000000000e-09,2.767145544383e-03,9.047692485652e-04,3.671914792949e-03,1.103671914793e+00
5.000000000000e-09,3.000299738015e-03,-1.433656782442e-03,1.566642955573e-03,1.101566642956e+00
5.250000000000e-09,2.428260069234e-03,3.000000000000e-03,5.428260069234e-03,1.105428260069e+00
5.500000000000e-09,1.856220400453e-03,2.274462675751e-03,4.130683076204e-03,1.104130683076e+00
5.750000000000e-09,1.284180731672e-03,-8.241512397025e-05,1.201765607702e-03,1.101201765608e+00
6.000000000000e-09,7.121410628914e-04,2.799250169078e-03,3.511391231969e-03,1.103511391232e+00
6.250000000000e-09,1.401013941106e-04,-4.771411828801e-04,-3.370397887695e-04,1.099662960211e+00
6.500000000000e-09,-4.319382746702e-04,-2.553479464812e-03,-2.985417739482e-03,1.097014582261e+00
6.750000000000e-09,-1.003977943451e-03,-2.363262368570e-03,-3.367240312021e-03,1.096632759688e+00
7.000000000000e-09,-1.576017612232e-03,-3.000924283234e-05,-1.606026855064e-03,1.098393973145e+00
7.250000000000e-09,-2.148057281013e-03,-2.494436638384e-03,-4.642493919397e-03,1.095357506081e+00
7.500000000000e-09,-2.720096949793e-03,2.609828359507e-03,-1.102685902864e-04,1.099889731410e+00
7.750000000000e-09,-2.661010828107e-03,4.451727051372e-04,-2.215838122969e-03,1.097784161877e+00
8.000000000000e-09,-2.601924706420e-03,1.681090979322e-03,-9.208337270979e-04,1.099079166273e+00
8.250000000000e-09,-2.542838584733e-03,1.855132337013e-03,-6.877062477200e-04,1.099312293752e+00
8.500000000000e-09,-2.483752463046e-03,1.708706356274e-03,-7.750461067717e-04,1.099224953893e+00
8.750000000000e-09,-2.424666341359e-03,1.011859032980e-03,-1.412807308378e-03,1.098587192692e+00
9.000000000000e-09,-2.365580219672e-03,-1.022666855670e-03,-3.388247075342e-03,1.096611752925e+00
9.250000000000e-09,-2.306494097985e-03,6.316807178834e-04,-1.674813380101e-03,1.098325186620e+00
9.500000000000e-09,-2.247407976298e-03,1.442847228615e-05,-2.232979504012e-03,1.097767020496e+00
9.750000000000e-09,-2.188321854611e-03,-1.109410097139e-03,-3.297731951750e-03,1.096702268048e+00
1.000000000000e-08,-2.129235732924e-03,1.415030053551e-03,-7.142056793733e-04,1.099285794321e+00
1.025000000000e-08,-1.552347608496e-03,-2.539959486129e-03,-4.092307094624e-03,1.095907692905e+00
1.050000000000e-08,-9.754594840678e-04,-1.050865759071e-03,-2.026325243138e-03,1.097973674757e+00
1.075000000000e-08,-3.985713596398e-04,1.759321592671e-03,1.360750233031e-03,1.101360750233e+00
1.100000000000e-08,1.783167647883e-04,-3.625343931493e-04,-1.842176283610e-04,1.099815782372e+00
1.125000000000e-08,7.552048892163e-04,1.687443106953e-04,9.239491999116e-04,1.100923949200e+00
1.150000000000e-08,1.332093013644e-03,6.106883597667e-04,1.942781373411e-03,1.101942781373e+00
1.175000000000e-08,1.908981138072e-03,-2.047985665631e-03,-1.390045275581e-04,1.099860995472e+00
1.200000000000e-08,2.485869262501e-03,-7.668586501651e-04,1.719010612335e-03,1.101719010612e+00
1.225000000000e-08,3.062757386929e-03,2.306129295791e-03,5.368886682719e-03,1.105368886683e+00
1.250000000000e-08,3.639645511357e-03,1.725753418636e-03,5.365398929992e-03,1.105365398930e+00
1.275000000000e-08,2.938182170550e-03,2.373062904139e-03,5.311245074689e-03,1.105311245075e+00
1.300000000000e-08,2.236718829744e-03,-2.033086939993e-03,2.036318897514e-04,1.100203631890e+00
1.325000000000e-08,1.535255488938e-03,1.053347114291e-03,2.588602603228e-03,1.102588602603e+00
1.350000000000e-08,8.337921481313e-04,2.275537314654e-03,3.109329462785e-03,1.103109329463e+00
1.375000000000e-08,1.323288073250e-04,1.246688143099e-04,2.569976216348e-04,1.100256997622e+00
1.400000000000e-08,-5.691345334814e-04,-1.673849534560e-04,-7.365194869374e-04,1.099263480513e+00
1.425000000000e-08,-1.270597874288e-03,1.840469440007e-03,5.698715657191e-04,1.100569871566e+00
1.450000000000e-08,-1.972061215094e-03,-2.595833566586e-04,-2.231644571753e-03,1.097768355428e+00
1.475000000000e-08,-2.673524555900e-03,2.208995499728e-03,-4.645290561722e-04,1.099535470944e+00
1.500000000000e-08,-3.374987896707e-03,-8.232584303689e-04,-4.198246327076e-03,1.095801753673e+00
1.525000000000e-08,-3.101049710109e-03,1.046672574871e-03,-2.054377135237e-03,1.097945622865e+00
1.550000000000e-08,-2.827111523511e-03,9.591747609655e-04,-1.867936762545e-03,1.098132063237e+00
1.575000000000e-08,-2.553173336913e-03,1.696566929558e-03,-8.566064073545e-04,1.099143393593e+00
1.600000000000e-08,-2.279235150314e-03,1.288470201909e-03,-9.907649484051e-04,1.099009235052e+00
1.625000000000e-08,-2.005296963716e-03,-2.444046813371e-03,-4.449343777087e-03,1.095550656223e+00
1.650000000000e-08,-1.731358777118e-03,-7.828904965382e-04,-2.514249273657e-03,1.097485750726e+00
1.675000000000e-08,-1.457420590520e-03,2.335793028814e-03,8.783724382933e-04,1.100878372438e+00
1.700000000000e-08,-1.183482403922e-03,7.445934830172e-04,-4.388889209050e-04,1.099561111079e+00
1.725000000000e-08,-9.095442173241e-04,9.799409976305e-04,7.039678030640e-05,1.100070396780e+00
1.750000000000e-08,-6.356060307261e-04,-2.889574268988e-03,-3.525180299714e-03,1.096474819700e+00
1.775000000000e-08,-5.464909873386e-04,2.143862449529e-03,1.597371462191e-03,1.101597371462e+00
1.800000000000e-08,-4.573759439511e-04,-2.693394328334e-03,-3.150770272285e-03,1.096849229728e+00
1.825000000000e-08,-3.682609005637e-04,1.566836858068e-03,1.198575957504e-03,1.101198575958e+00
1.850000000000e-08,-2.791458571762e-04,-2.476921652333e-03,-2.756067509509e-03,1.097243932490e+00
1.875000000000e-08,-1.900308137888e-04,-5.680522429506e-06,-1.957113362183e-04,1.099804288664e+00
1.900000000000e-08,-1.009157704013e-04,-1.539946089700e-03,-1.640861860101e-03,1.098359138140e+00
1.925000000000e-08,-1.180072701385e-05,2.727484892914e-03,2.715684165900e-03,1.102715684166e+00
1.950000000000e-08,7.731431637361e-05,2.499771373892e-04,3.272914537629e-04,1.100327291454e+00
1.975000000000e-08,1.664293597611e-04,-4.787846251209e-04,-3.123552653598e-04,1.099687644735e+00
2.000000000000e-08,2.555444031485e-04,-2.482525147980e-03,-2.226980744831e-03,1.097773019255e+00
2.025000000000e-08,-2.397643918069e-04,-1.163212828709e-03,-1.402977220516e-03,1.098597022779e+00
2.050000000000e-08,-7.350731867624e-04,1.186032411104e-03,4.509592243420e-04,1.100450959224e+00
2.075000000000e-08,-1.230381981718e-03,5.355350160686e-04,-6.948469656491e-04,1.099305153034e+00
2.100000000000e-08,-1.725690776673e-03,-1.870439693840e-03,-3.596130470514e-03,1.096403869529e+00
2.125000000000e-08,-2.220999571629e-03,2.983660988868e-03,7.626614172393e-04,1.100762661417e+00
2.150000000000e-08,-2.716308366584e-03,-2.930458569668e-04,-3.009354223551e-03,1.096990645776e+00
2.175000000000e-08,-3.211617161540e-03,-1.781770338040e-03,-4.993387499579e-03,1.095006612500e+00
2.200000000000e-08,-3.706925956495e-03,2.873812947630e-03,-8.331130088650e-04,1.099166886991e+00
2.225000000000e-08,-4.202234751450e-03,-2.696281167603e-03,-6.898515919053e-03,1.093101484081e+00
2.250000000000e-08,-4.697543546406e-03,2.781356467464e-03,-1.916187078942e-03,1.098083812921e+00
2.275000000000e-08,-4.019661784903e-03,-2.339119003715e-03,-6.358780788617e-03,1.093641219211e+00
2.300000000000e-08,-3.341780023399e-03,-2.549091767502e-03,-5.890871790901e-03,1.094109128209e+00
2.325000000000e-08,-2.663898261896e-03,2.101417810545e-03,-5.624804513512e-04,1.099437519549e+00
2.350000000000e-08,-1.986016500393e-03,-3.272162072018e-04,-2.313232707595e-03,1.097686767292e+00
2.375000000000e-08,-1.308134738889e-03,3.955414169192e-05,-1.268580597198e-03,1.098731419403e+00
2.400000000000e-08,-6.302529773862e-04,1.537168678809e-03,9.069157014231e-04,1.100906915701e+00
2.425000000000e-08,4.762878411709e-05,-2.224847859620e-04,-1.748560018449e-04,1.099825143998e+00
2.450000000000e-08,7.255105456204e-04,9.162651515903e-04,1.641775697211e-03,1.101641775697e+00
2.475000000000e-08,1.403392307124e-03,2.825355239471e-03,4.228747546595e-03,1.104228747547e+00
2.500000000000e-08,2.081274068627e-03,-2.637205868379e-03,-5.559317997522e-04,1.099444068200e+00
2.525000000000e-08,1.882245344755e-03,8.954749424594e-04,2.777720287214e-03,1.102777720287e+00
2.550000000000e-08,1.683216620882e-03,2.694207452929e-03,4.377424073811e-03,1.104377424074e+00
2.575000000000e-08,1.484187897010e-03,2.181076354578e-03,3.665264251588e-03,1.103665264252e+00
2.600000000000e-08,1.285159173138e-03,-2.362787548457e-03,-1.077628375319e-03,1.098922371625e+00
2.625000000000e-08,1.086130449265e-03,-1.608306946204e-03,-5.221764969391e-04,1.099477823503e+00
2.650000000000e-08,8.871017253930e-04,-1.998377138224e-03,-1.111275412831e-03,1.098888724587e+00
2.675000000000e-08,6.880730015207e-04,6.309698777942e-05,7.511699893001e-04,1.100751169989e+00
2.700000000000e-08,4.890442776484e-04,7.280983714301e-04,1.217142649078e-03,1.101217142649e+00
2.725000000000e-08,2.900155537760e-04,2.223467620989e-03,2.513483174765e-03,1.102513483175e+00
2.750000000000e-08,9.098682990373e-05,8.555020428209e-04,9.464888727246e-04,1.100946488873e+00
2.775000000000e-08,9.255735061645e-05,7.108746685623e-04,8.034320191787e-04,1.100803432019e+00
2.800000000000e-08,9.412787132918e-05,-2.237140952173e-03,-2.143013080844e-03,1.097856986919e+00
2.825000000000e-08,9.569839204191e-05,-2.356461340065e-03,-2.260762948023e-03,1.097739237052e+00
2.850000000000e-08,9.726891275464e-05,1.208375119341e-03,1.305644032096e-03,1.101305644032e+00
2.875000000000e-08,9.883943346737e-05,2.610573872000e-03,2.709413305467e-03,1.102709413305e+00
2.900000000000e-08,1.004099541801e-04,1.104364725056e-03,1.204774679236e-03,1.101204774679e+00
2.925000000000e-08,1.019804748928e-04,1.628801742381e-03,1.730782217273e-03,1.101730782217e+00
2.950000000000e-08,1.035509956056e-04,-6.943596639288e-04,-5.908086683232e-04,1.099409191332e+00
2.975000000000e-08,1.051215163183e-04,-1.971811914887e-03,-1.866690398569e-03,1.098133309601e+00
3.000000000000e-08,1.066920370310e-04,-2.517204656316e-03,-2.410512619285e-03,1.097589487381e+00
3.025000000000e-08,1.068167403139e-04,2.019809618784e-04,3.087977021923e-04,1.100308797702e+00
3.050000000000e-08,1.069414435968e-04,5.930632830061e-04,7.000047266029e-04,1.100700004727e+00
3.075000000000e-08,1.070661468796e-04,2.630390242817e-04,3.701051711613e-04,1.100370105171e+00
3.100000000000e-08,1.071908501625e-04,7.073539208172e-04,8.145447709797e-04,1.100814544771e+00
3.125000000000e-08,1.073155534454e-04,-2.155032820869e-03,-2.047717267423e-03,1.097952282733e+00
3.150000000000e-08,1.074402567282e-04,-8.664482664359e-05,2.079543008465e-05,1.100020795430e+00
3.175000000000e-08,1.075649600111e-04,1.224241111978e-03,1.331806071990e-03,1.101331806072e+00
3.200000000000e-08,1.076896632940e-04,-1.959522271735e-03,-1.851832608441e-03,1.098148167392e+00
3.225000000000e-08,1.078143665769e-04,1.163732827428e-03,1.271547194005e-03,1.101271547194e+00
