seed,segment,event_index,polarity,M_FF,M_REF,D_M,margin,healthy_alarm
41001,FPR,16,RISE,182,198,16,22,0
41001,FPR,17,FALL,182,176,6,24,0
41001,FPR,18,RISE,182,198,16,22,0
41001,FPR,19,FALL,159,176,17,24,0
41001,FPR,20,RISE,182,198,16,22,0
41001,FPR,21,FALL,159,176,17,24,0
41001,FPR,22,RISE,204,198,6,22,0
41001,FPR,23,FALL,182,176,6,24,0
41002,FPR,16,RISE,182,198,16,22,0
41002,FPR,17,FALL,182,182,0,24,0
41002,FPR,18,RISE,182,198,16,22,0
41002,FPR,19,FALL,182,182,0,24,0
41002,FPR,20,RISE,182,198,16,22,0
41002,FPR,21,FALL,182,182,0,24,0
41002,FPR,22,RISE,204,198,6,22,0
41002,FPR,23,FALL,182,182,0,24,0
41003,FPR,16,RISE,159,159,0,22,0
41003,FPR,17,FALL,135,128,7,24,0
41003,FPR,18,RISE,159,159,0,22,0
41003,FPR,19,FALL,110,128,18,24,0
41003,FPR,20,RISE,159,159,0,22,0
41003,FPR,21,FALL,110,128,18,24,0
41003,FPR,22,RISE,159,159,0,22,0
41003,FPR,23,FALL,135,128,7,24,0
41004,FPR,16,RISE,182,187,5,22,0
41004,FPR,17,FALL,159,159,0,24,0
41004,FPR,18,RISE,182,187,5,22,0
41004,FPR,19,FALL,159,159,0,24,0
41004,FPR,20,RISE,182,187,5,22,0
41004,FPR,21,FALL,135,159,24,24,0
41004,FPR,22,RISE,182,187,5,22,0
41004,FPR,23,FALL,159,159,0,24,0
41005,FPR,16,RISE,204,204,0,22,0
41005,FPR,17,FALL,182,176,6,24,0
41005,FPR,18,RISE,204,204,0,22,0
41005,FPR,19,FALL,159,176,17,24,0
41005,FPR,20,RISE,204,204,0,22,0
41005,FPR,21,FALL,159,176,17,24,0
41005,FPR,22,RISE,204,204,0,22,0
41005,FPR,23,FALL,182,176,6,24,0
41006,FPR,16,RISE,182,182,0,22,0
41006,FPR,17,FALL,182,182,0,24,0
41006,FPR,18,RISE,182,182,0,22,0
41006,FPR,19,FALL,182,182,0,24,0
