seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,D_M,locked_rise_margin,H_D,detected,pre_attack_alarm_count,first_alarm_latency_ns,first_alarm_latency_basis,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,21 ns RISE,000000000000000000001111111111,245,198,47,22,25,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,f01dfd73a1ae02345e0057f9e0df762fba006a7131cb9fba4fae1025efe1aa6a,137b703a9869cf0d8e379259eb6a91cd5bcb3226e4b5f85d3b7f713ed771cf5b,24fc3bfefcb7321379e3304d33abb48eaccda44a2d7dc1afd552a2908f007cd3
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,21 ns RISE,000000000000000000001111111111,245,198,47,22,25,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,5cf9ce196aa31488181685c58f7b6c680905dad4340fa74fe74774b2c9e840d4,fc542f5fa3475f810b1d1db41010c2b21044ea6d00697b28ef845d592560b57b,ee7770ff0861de8414f53449ffe6fcb9abbda728a13547112eaa1ebe22b83ffc
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,21 ns RISE,000000000000000000000111111111,225,159,66,22,44,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,4fae1963b4c16b298220c2f950ebf2ee9d3f01b9b5db0b73b5cd8eac245e9ccc,f0491ec4f59441dbba83e113981ca891bb2cc5076bd7185efa3fa1f8c9a1f77f,54f2a32592dbed89d5fde889a7ba1bf7d7465add3d5c1cd8e0617bfa5198e599
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,21 ns RISE,000000000000000000001111111111,245,187,58,22,36,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,8142bcd3de75236a6712ae52bacbf579b7b475b7f68d67897e830c6dc5af7936,3ebc06c2661ed883ab6bb10ceaf5bb3466372637418b8ef50bd1c15ea8f88057,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,21 ns RISE,000000000000000000011111111111,264,204,60,22,38,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,d1e1e44116221609f50ecd4b90a0829eaf3990d03211023e330c2cac2fc58a3a,4f6212fdf73a7b28cda0c38436ea281a2353758e4ba8df0eca1a2f89bd46d6c6,4d24a75647733c9dbb717f54f9446968c656cee1cdb5f39c30d719ede7747a0e
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,c0ddbf65b5723ace72d8d2ee28c23fb1b7332246834a4b93a61542f2e4875558,26ee4a31cc2d0e59ac7602a15c387289a79af056ea1ee189725470f6f81f07ff,ee7770ff0861de8414f53449ffe6fcb9abbda728a13547112eaa1ebe22b83ffc
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,21 ns RISE,000000000000000000011111111111,264,204,60,22,38,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,ce6054dd1275f9cacb4634293ef9f0128f5aa0fc430f32480f89b30ce5683eb0,22f347d78c15f40a4df6ad87ade23d900f6737420ffd3d7375c9d5702427194f,e90255eef2259a7d3471f2e5fe2a930b82eb3f2449f687dd01f5ea9581c391b2
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,0d7d14bab52c2a51cc61f66f36063b19100fbba09236d7ce51880c8e6f9b804b,78ccbc17b3028b45bf03d04e539216bab1c4b61a48abfdd41a322182706b92f4,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,21 ns RISE,000000000000000000001111111111,245,187,58,22,36,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,53335f9eeb9401eb69c700ed187a88256e1034b7f5630671672f2b4500837876,4b6a80e57a8f17da58dcd4b434a8458ad7fb7c243c2d60eb8945e1e7ecec137b,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,7bed55f30449c501ab3cc0e7d25561f9707131ea9eb4b06cc56f239983d5a374,ca79dceb6ec18f679737b91fa04d701d3f582b82c2797a5651e8f0af23d9943a,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,21 ns RISE,000000000000000000001111111111,245,176,69,22,47,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,d946edb5a2ea166a55a6eebf82753a738b09d18a5442705075fc1101cd4aaa87,f3e62379b5d0c7f3ac61af88fe2f63e36ae6c5c78c94b4d2290e1b62eb5e7097,f31a9ed4bafd2bd7c21456401926739e5f68ba79b5319ce31a4a667ebb1514fd
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,21 ns RISE,000000000000000000011111111111,264,204,60,22,38,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,c34e4f3234f29db86eaca0bd3c9729bb47fb3d0d8abfd9bd91dc7557ec8f2722,fb2710138852c7a25893b80819dd2952d79d17817754acf5693b242d8f98bbcc,feb960612b3aa40f45a76ade639d51350f62b2e94437d84df8ede4596468a76b
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,21 ns RISE,000000000000000000111111111111,282,235,47,22,25,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,9f2a759c1e661a5fef6ea82c4b7410668f529e315c0a6e94fdad78d51708eca2,d361e057754291eb179e58afb2e090277f00a5f4f48119a6115688faee0bb573,ba184a4c7cd3ee038db60338cc17a836a1bd157538eb3c22ba50068c4e9891f8
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,d74069c96b686e2a5e105ce310757fa64fa3dde4dac14c3ba63857cbc0a055f4,6cccfd39f4af105588775b2c336e39db53a47f88099ef6e2b9227226169dbd73,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,21 ns RISE,000000000000000000011111111111,264,204,60,22,38,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,f6d071cea22ea5132b5e3d0c96573f9c3e67598e80c79bfe6f86d22186583406,b4493cf853cdedbefdd521a77fbd2c8ade71a98c7efcf2a896dc59c5ce96af69,fe9356723473969109d2b8d5e6a9211392293a663c101feec93f9f2e1128cea4
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,bd1ff13acf67e5395c06993231db58355ed0e414f5242926a71eb468b9f8d959,58322c3c4eb10a46d866d79436b6ae541c19f023c57b18b417c22df851dadb63,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,21 ns RISE,000000000000000000001111111111,245,198,47,22,25,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,e4867b59b9c13ba5a5641ccb11b2de9fc866f1f61ddaadc006beb471642e3cb8,c6a1385472919ea348d091bc3246be590fa1c08276af467e3e0e52cc73258dd2,613d9c58b1c74588e8c8dbc294cae353f94d5e3b40b035844b097cfc3031fc6d
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,21 ns RISE,000000000000000000011111111111,264,219,45,22,23,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,0634df4d667bfaf2c870c7686568908102835f742944f72f9e25dc35dcf82d63,dba2b90e95ede212337aba1e284f0008c84fc6b8c41950d01c3407f7eb118996,ace8c32518ab09f70983421570ae4275a16beea869fc98600014afe6617d231a
