seed,mc_random_signature,M_CAL_RISE,M_CAL_FALL,M_REF_RISE,M_REF_FALL,M_MARGIN_DEV_RISE,M_MARGIN_DEV_FALL,FPR_M_FF,source_measurements_sha256,source_mc0_sha256,capture_sha256
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,204;204;204;182,182;159;182;182,198,176,16;6;16;16,6;17;17;17,182;182;182;159;182;159;204;182,b09b6dd8e37b1a5b2b2d4ecff712e6bd3fc4c548e444708119ffa523408c4aef,15418443d44b7b275de1812c2133a261995ae805ae622e78f4dd79647423ab0b,c09c7a860d98bf39f14c6161136f64d40968e3b75216c4190c311c3b1cc1476d
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,204;204;204;182,182;182;182;182,198,182,16;6;16;6,0;0;0;0,182;182;182;182;182;182;204;182,a943a9004178cf719f6935f42f177ecccc6571882794f8cf69ce88fb6c29ca23,7ceaf5fbe4890aa45f96755d5d3c835a3ae4ed5405ceaf16657c88c48c88b8a4,c66c90832a2dd052a4987d8fc8de92a4e63ec956c643a6d976bc057fae3423f2
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,159;159;159;159,135;110;135;135,159,128,0;0;0;0,7;18;18;18,159;135;159;110;159;110;159;135,cf079d39ad18771fa4f7caf859ca643a07a557152a0d78a9b1d5f6b8f64f101b,d8e324fbc2e5d38eeda83bf341d7aff543344bfa36056e0a1f8531413b728aab,91f49fc1eba6ebb582516028261d58527bbe80ceff64f4137a1b0a4abe66396e
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,182;182;204;182,159;159;159;159,187,159,5;5;5;5,0;0;0;0,182;159;182;159;182;135;182;159,69a00bd157e78b0cafe721ac594a18501e283323c84aeed5d4fd9fdd89d053fe,dcf039164e64e565c13873bd9e51a25adca327a1b615da2e87cedb49d23f0679,44456ea583de69659f8c6da2bd23bdedb70e2df9c78c51cd614c8a77f7b42368
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,204;204;204;204,182;159;182;182,204,176,0;0;0;0,6;17;17;17,204;182;204;159;204;159;204;182,82b0117cf13ba43da4c2b74ae20a584b2c8b9989c798762fa008b3c9354ce16e,dd1ac3f26da660a213101dbcc1a15ee18830e917caf1d6f5780961f92f048f9b,13167b9a73d77dd3d6d3647ab186d4a07b51de62b7d0491603cfa4a1cfd5f32b
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,182;182;182;182,182;182;182;182,182,182,0;0;0;0,0;0;0;0,182;182;182;182;182;159;182;182,33ce486e2820b1672007154f3b1ca686831c3c5a24414a9c75715fbc897643df,84a9449d85e2f656919095fd3208ccd2c0df69e4e241ab2d3888b3a218044d3c,5fe3d5d1f5489b2c4234afcdd937ea96b61f3451a511c19ae6188681a1deef8d
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,204;204;204;204,182;182;182;182,204,182,0;0;22;0,0;0;0;0,204;182;204;182;182;159;204;182,ce266de93a3db53bc3f84401415c9ac0938a831a467e8de98db4b1839f89808f,e9c2887f427be41f28c0796faf51307963d66ae54f4c8976f8a5aa4b610f8d1e,35d5691b5d69d54d9958709cf3dbfd225f6b1fbb706af0a2b669341f1e60219f
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,182;182;182;182,159;159;159;159,182,159,0;0;0;0,0;0;0;0,182;159;182;159;182;159;182;159,f2507997213bd89d62150eed225ca8bb21c81716c6809324cfb644894750052d,a81176228d031a0f69e8278dce010be8f02c97393c65e613f198607aa5efad9a,ec7bb7e7b75652cf1dfbc9e1e89c05cc59a36bc09eca7b6d8d1187fd8f3f38d8
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,182;182;204;182,159;159;159;159,187,159,5;5;5;5,0;0;0;0,182;159;182;159;182;159;182;159,88cd221eeb8a10abd0c8ba3b90c9831467e0268419b99ed194f71d346c229ffb,8fa00dc0d425a7b78d640d182bf4086c696edfedd4b8df47004d3d43ff76b6b2,0885c8f6fbed4d977eb7558b87c9ebcc70e4626bb35efb4aabc1adf1e7502771
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,182;182;182;182,159;159;159;159,182,159,0;0;0;0,0;0;0;0,182;159;182;159;182;135;182;159,aa2067b557cfa992e838f6624703a7842197bb0fd5ffdda41bd0f65517501dde,b8d91a75e7371159760f72931d7da567e5f49dd37df027b04ce57645877589ba,8660817e8651bd9299a3f5771f8e152a07174fe90d60722f3c6bc09a79257783
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,182;182;182;159,159;159;159;159,176,159,17;6;17;17,0;0;0;0,159;159;159;159;159;159;182;159,85d40fa576f5005b31f70835d2af3c099533410c55cd6b9c145403139adda248,66df15da3287cddb27c821d51b7f885afb2944168746e229e0641bd9e9ebe88e,27c98f38c35f3addc7708fd17fae40d99dacbd8c767b0824e630bf31c052681d
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,204;204;204;204,182;182;182;182,204,182,0;0;22;0,0;0;0;0,204;182;204;182;182;159;204;182,3f8c81c4c3eb98d829329e16c7f8b93735d04d55828766da1d8edb13b2af1b65,2bcd51d006775f6e70fa784c4a58589b7740a33293062fde9300ad28f26363ac,35d5691b5d69d54d9958709cf3dbfd225f6b1fbb706af0a2b669341f1e60219f
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,245;225;245;225,204;204;204;204,235,204,10;10;10;10,0;0;0;0,225;204;225;204;225;204;245;204,f618eab69cd68dfd1cf3963e4709408a5e5731c06705d4530533485bdf47d938,72c70c740fb2bb730a453bc8a0ea177a4aa43c80e4176e97b68a734e15f9aada,56d8767eaacdded7bed08c93fd9248bbb8f0c324202b8fb226d33285bc254bd7
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,182;182;182;182,159;159;159;159,182,159,0;0;0;0,0;0;0;0,182;159;182;159;182;159;182;159,13e3572877290558e95e41aedcc8a23db46e04bf310da09b03c6b35266b21c99,5faaf5eb7b3d7ca27696941caa4bf545f7b2ffc0ea3636c8d56af6be3eee5d1c,ec7bb7e7b75652cf1dfbc9e1e89c05cc59a36bc09eca7b6d8d1187fd8f3f38d8
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,204;204;204;204,159;159;159;159,204,159,0;0;0;0,0;0;0;0,204;159;204;159;204;159;204;159,44f543197cc7c51824f235926a127eae8502f76a43b1d7d31749338776fd0920,5bc3f9b053b918788bbec94ef18b65cf99300e235dfe937b7f38a68e6b75d0e4,43f6c3d17c7d92588beec33f87fb7d035e0ed0b4182a013fe368392ed6e53732
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,182;182;182;182,159;159;159;159,182,159,0;0;0;0,0;0;0;0,182;159;182;159;182;159;182;159,77d1f3d0df062696ba44742ad1f73b4ef854789578b22349aaf9933f96aaf0b4,abae67e6caa703c8923f9e35e97e7e62068fbc4baa670a4c5f1917e62068fb58,ec7bb7e7b75652cf1dfbc9e1e89c05cc59a36bc09eca7b6d8d1187fd8f3f38d8
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,204;204;204;182,182;159;182;159,198,170,16;6;16;16,12;11;11;11,182;182;182;159;182;159;204;159,09bd19200b307d7b57f213703b21d27df5e3266044ffcc64c74b58f496731637,3640f4744897736a2cfbc46ba1b61f91ff63221586d1672de02eb099db2ad1e0,ffe58e2244593b3361478d8f2576f59736bf258103447f56d7c93c866b1c8996
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,225;225;225;204,204;182;204;182,219,193,15;6;15;15,11;11;11;11,204;204;204;182;204;182;225;182,0c30797b4fc6048a880879a7a8cc6b0a9579fc15cce6c56298a104f88b0aec0d,46803d179993e1b0f3cff1a085feea0f537d53db1359b7cdde19bb329acfb2f6,83cd2e3facbc1271307a060d8f35305a684eaeee99b8103c96b31aaf6ef5046c
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,182;182;204;182,159;159;159;159,187,159,5;5;5;5,0;0;24;0,182;159;182;159;182;135;182;159,fd833d1552ff01e41da9b883c986aa6986d079c1e879c3d86d86700ce7dd96aa,0cd304b52f4fb3f8b19f6a80d52402271c0019d5e0a8379e97b3a7afd48c3dad,2f9e9d93e4760d55f81ddce1e21a22f61410025f89df15e2da51af28c940fc18
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,159;159;159;159,135;135;135;135,159,135,0;0;0;0,0;0;0;0,159;135;159;135;159;110;159;135,68f93643df9dc94c2e11d7d1a2b584572d3ce259d362d03365b97caa9c309b3f,5890f8b3511c74f1bf2e270624b9b6f27f4eba3a558927064e8c52ab87bc5ebd,e3c3fd0f466be570b525527170c11d309fc6218c8a526c749f3b9885f910481d
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,182;182;182;182,159;135;135;135,182,141,0;0;0;0,18;6;6;6,182;135;182;135;182;135;182;135,fbba19e372930bd7c8e4986898b14403fa5b65cabf56d27c1fc4bd705f89dd5b,cd4358a0d4c3ae43f09d185ec4f3ed4a9fa8c2a56e460c08bffc3f90edc5324c,9e2bc492e51035df6ddaba65dd8600e144977ebdf3b2e8075afffb9f6bc0640b
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,204;204;204;204,159;159;159;159,204,159,0;0;22;0,0;0;0;0,204;159;204;159;182;159;204;159,9422f4feb1caaf9b60d32f4119752086cbe2be4e0892adc0bc91852255510ae9,5d3a8fa442dea0a54f8730881e0ec238b2d0269868bad58d2869ca2a245cdba8,d7daa1702bff81545ef0373d19716e775a552acd5bb3d3edbe6889aba7e349bc
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,204;204;225;204,182;182;182;182,209,182,5;5;5;5,0;0;0;0,204;182;204;182;204;182;204;182,b3a750cfe0447bd43c177f44352a741ba472e170953b71d3d7b7accf93a79467,9b408ee7cceb63aaf1d32c1d40026ba134a62c0fc6e7e49cd8aa21b49befbb72,a63f3dcd638d885f9b3f6362cb53c4e71659bb7b144eec71c93217723b0a579f
41024,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,159;159;182;159,159;135;159;135,164,147,5;5;5;5,12;12;12;12,159;135;159;135;159;135;159;135,45374c81a75bac11d68a8fe093bb2f60c7440c46e4bd464c8bfbe84e80610750,6e77d838d99a187b518e5f864dbe5b1b0fa9fe0bb2cc8f0f7afa6d2f3224c347,8e62b276874eed8bc1cfd604e5e170c323e3efd93dc148f30feccb4c4d48f228
41025,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,225;225;225;225,204;204;204;204,225,204,0;0;21;0,0;0;0;0,225;204;225;204;204;182;225;204,c909e24ea721e53813bca7624fec8efb7d3d78fbc80e6608e589d677521e190f,2a4debd22eeb2a52bbff8b4c1b3fd32b53349196283d3d0b69ca188aeb3266fa,031ddd1b4aebb126b93e959849fd7c06972823413694c87f1dbd3011d49eefef
41026,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,159;159;182;159,159;135;159;159,164,153,5;5;5;5,6;6;6;6,159;159;159;159;159;135;159;159,d0c42045e046d71e33fa86b02c5b0174fdebae356163b14689cb4018a8424145,a4cebffe47686eb36608ce1a083002a89a8af0413965f43da18c1b688e127619,9d7d9071e77a56c903f77c8acb00a0226fb13645ed8306776546e3ed5ea76a1e
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,159;159;159;135,135;135;135;135,153,135,6;6;18;6,0;0;0;0,135;135;135;135;135;135;159;135,099f67758e2e974657d560d1a572e55eec7067f8e921a669acf5f549f0d64012,34ef52d95e63217a826903be99dee3a686598157933cb503920a7217b0e17b81,d1fcff7343e6104789a9f416b94d367a3847cc8b2013f33205cd281ce6cdb8e3
41028,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,204;204;204;204,182;159;182;182,204,176,0;0;0;0,6;6;17;6,204;182;204;182;204;159;204;182,f914348ee124bcd28f1757f249a49950535a8a38232094dc6828e42b62a5488d,ef7a48d0cf1bb66a665af4fced104e0472f1d480e2fc934dc3cebaa2b30dff05,16a0d9ef2586a95796e24f153bcba5736bb1235268081b6a5058e8d7eeb9b7ef
41029,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,159;159;159;159,159;135;159;159,159,153,0;0;0;0,6;6;18;18,159;159;159;159;159;135;159;159,6f1b530b26f7ecaa08afc16235a72380695bf0ab5fddd2c049770d72f9942e4b,cd9a5977462e68bf63a37eb6908af8368ad76861b7e92adb27bd0d2e302dd7c7,3a204029dda51c8889ff30846555e1891d15bb4ea2e93a89bccf946f0c88cefc
41030,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,204;204;204;182,182;182;182;182,198,182,6;6;16;6,0;0;0;0,182;182;182;182;182;182;204;182,ab4b4911dd042b9ae12cd5072e66e82ead41ed3b743764ee297852ba79408e8e,149eb713e2cc27677c8a528d92ed56f488a595654091c6e1573b8f65bab1eec6,2b69f36bb0e16a493e459c0eea42eca4b263ad1abf1608de1e4cb0a14a9abaa3
