time_s,segment,seed,n_bg_v,vdd_healthy_v
0.000000000000e+00,CAL,7300,-1.377768129874e-03,1.098622231870e+00
2.500000000000e-10,CAL,7300,-5.347223042613e-03,1.094652776957e+00
5.000000000000e-10,CAL,7300,-3.980059324177e-03,1.096019940676e+00
7.500000000000e-10,CAL,7300,-6.217596571535e-03,1.093782403428e+00
1.000000000000e-09,CAL,7300,-3.238694335380e-03,1.096761305665e+00
1.250000000000e-09,CAL,7300,-4.180760711680e-03,1.095819239288e+00
1.500000000000e-09,CAL,7300,-9.138231726159e-04,1.099086176827e+00
1.750000000000e-09,CAL,7300,-1.779802238480e-03,1.098220197762e+00
2.000000000000e-09,CAL,7300,-2.266349050115e-03,1.097733650950e+00
2.250000000000e-09,CAL,7300,-4.438441829650e-03,1.095561558170e+00
2.500000000000e-09,CAL,7300,-3.080323638405e-03,1.096919676362e+00
2.750000000000e-09,CAL,7300,-2.943231079162e-03,1.097056768921e+00
3.000000000000e-09,CAL,7300,-6.542220734951e-04,1.099345777927e+00
3.250000000000e-09,CAL,7300,-1.745462471887e-03,1.098254537528e+00
3.500000000000e-09,CAL,7300,-4.022764222464e-05,1.099959772358e+00
3.750000000000e-09,CAL,7300,-3.541487855177e-03,1.096458512145e+00
4.000000000000e-09,CAL,7300,-3.086684581313e-03,1.096913315419e+00
4.250000000000e-09,CAL,7300,-3.692048537814e-03,1.096307951462e+00
4.500000000000e-09,CAL,7300,-5.834810980327e-04,1.099416518902e+00
4.750000000000e-09,CAL,7300,8.253964229045e-04,1.100825396423e+00
5.000000000000e-09,CAL,7300,-1.668827285826e-04,1.099833117271e+00
5.250000000000e-09,CAL,7300,-3.194698968641e-03,1.096805301031e+00
5.500000000000e-09,CAL,7300,1.286026062253e-03,1.101286026062e+00
5.750000000000e-09,CAL,7300,-1.801996158934e-03,1.098198003841e+00
6.000000000000e-09,CAL,7300,5.810848656236e-04,1.100581084866e+00
6.250000000000e-09,CAL,7300,-9.503719279931e-05,1.099904962807e+00
6.500000000000e-09,CAL,7300,-4.602783832568e-04,1.099539721617e+00
6.750000000000e-09,CAL,7300,4.860243753075e-05,1.100048602438e+00
7.000000000000e-09,CAL,7300,-3.937371044267e-03,1.096062628956e+00
7.250000000000e-09,CAL,7300,-1.007574111997e-03,1.098992425888e+00
7.500000000000e-09,CAL,7300,-6.408050300778e-03,1.093591949699e+00
7.750000000000e-09,CAL,7300,-3.574958898804e-03,1.096425041101e+00
8.000000000000e-09,CAL,7300,-2.193597698850e-03,1.097806402301e+00
8.250000000000e-09,CAL,7300,-5.214085530925e-03,1.094785914469e+00
8.500000000000e-09,CAL,7300,-9.632584613266e-04,1.099036741539e+00
8.750000000000e-09,CAL,7300,-5.589998774080e-03,1.094410001226e+00
9.000000000000e-09,CAL,7300,-5.441751299127e-03,1.094558248701e+00
9.250000000000e-09,CAL,7300,-5.278930248793e-03,1.094721069751e+00
9.500000000000e-09,CAL,7300,-2.683263133836e-03,1.097316736866e+00
9.750000000000e-09,CAL,7300,-1.676585081061e-04,1.099832341492e+00
1.000000000000e-08,CAL,7300,-3.173553549812e-04,1.099682644645e+00
1.025000000000e-08,CAL,7300,-4.623739745682e-03,1.095376260254e+00
1.050000000000e-08,CAL,7300,-2.581963692799e-03,1.097418036307e+00
1.075000000000e-08,CAL,7300,-8.042577573094e-04,1.099195742243e+00
1.100000000000e-08,CAL,7300,-1.668572007957e-03,1.098331427992e+00
1.125000000000e-08,CAL,7300,-3.983373954927e-03,1.096016626045e+00
1.150000000000e-08,CAL,7300,-5.344923968393e-03,1.094655076032e+00
1.175000000000e-08,CAL,7300,-5.675335740955e-03,1.094324664259e+00
1.200000000000e-08,CAL,7300,-1.601758687235e-03,1.098398241313e+00
1.225000000000e-08,CAL,7300,-4.491114263355e-03,1.095508885737e+00
1.250000000000e-08,CAL,7300,-4.294880232650e-03,1.095705119767e+00
1.275000000000e-08,CAL,7300,-4.065882271179e-03,1.095934117729e+00
1.300000000000e-08,CAL,7300,-2.549334116551e-03,1.097450665883e+00
1.325000000000e-08,CAL,7300,-5.395477140441e-03,1.094604522860e+00
1.350000000000e-08,CAL,7300,-4.784801305581e-03,1.095215198694e+00
1.375000000000e-08,CAL,7300,-2.802566674799e-03,1.097197433325e+00
1.400000000000e-08,CAL,7300,1.629146332908e-03,1.101629146333e+00
1.425000000000e-08,CAL,7300,-2.751329514355e-03,1.097248670486e+00
1.450000000000e-08,CAL,7300,1.800502409008e-03,1.101800502409e+00
1.475000000000e-08,CAL,7300,-1.058624062763e-03,1.098941375937e+00
1.500000000000e-08,CAL,7300,1.851641126099e-03,1.101851641126e+00
1.525000000000e-08,CAL,7300,4.196041871190e-03,1.104196041871e+00
1.550000000000e-08,CAL,7300,2.010075711464e-03,1.102010075711e+00
1.575000000000e-08,CAL,7300,2.345304617452e-03,1.102345304617e+00
1.600000000000e-08,CAL,7300,2.718566560621e-03,1.102718566561e+00
1.625000000000e-08,CAL,7300,4.195525028742e-04,1.100419552503e+00
1.650000000000e-08,CAL,7300,8.812796185084e-04,1.100881279619e+00
1.675000000000e-08,CAL,7300,-1.215273169572e-03,1.098784726830e+00
1.700000000000e-08,CAL,7300,2.699360069722e-04,1.100269936007e+00
1.725000000000e-08,CAL,7300,-3.681900520987e-03,1.096318099479e+00
1.750000000000e-08,CAL,7300,-4.643147956531e-04,1.099535685204e+00
1.775000000000e-08,CAL,7300,-2.924148020584e-04,1.099707585198e+00
1.800000000000e-08,CAL,7300,-4.447422231981e-03,1.095552577768e+00
1.825000000000e-08,CAL,7300,-3.434587603859e-03,1.096565412396e+00
1.850000000000e-08,CAL,7300,5.639180860871e-04,1.100563918086e+00
1.875000000000e-08,CAL,7300,4.248806117175e-04,1.100424880612e+00
1.900000000000e-08,CAL,7300,-3.169900084495e-03,1.096830099916e+00
1.925000000000e-08,CAL,7300,-2.199186620133e-04,1.099780081338e+00
1.950000000000e-08,CAL,7300,-4.421723874160e-03,1.095578276126e+00
1.975000000000e-08,CAL,7300,-2.365980430025e-03,1.097634019570e+00
2.000000000000e-08,CAL,7300,-1.154707578507e-03,1.098845292421e+00
2.025000000000e-08,CAL,7300,-2.713633404835e-03,1.097286366595e+00
2.050000000000e-08,CAL,7300,2.283256277251e-04,1.100228325628e+00
2.075000000000e-08,CAL,7300,-5.067081361212e-03,1.094932918639e+00
2.100000000000e-08,CAL,7300,-1.741022398048e-03,1.098258977602e+00
2.125000000000e-08,CAL,7300,-1.380943040507e-03,1.098619056959e+00
2.150000000000e-08,CAL,7300,-2.020558037769e-03,1.097979441962e+00
2.175000000000e-08,CAL,7300,-5.064064665530e-03,1.094935935334e+00
2.200000000000e-08,CAL,7300,-3.278631695497e-03,1.096721368305e+00
2.225000000000e-08,CAL,7300,-4.853118252087e-03,1.095146881748e+00
2.250000000000e-08,CAL,7300,-1.205295082657e-03,1.098794704917e+00
2.275000000000e-08,CAL,7300,-4.014770310637e-03,1.095985229689e+00
2.300000000000e-08,CAL,7300,1.073825888272e-03,1.101073825888e+00
2.325000000000e-08,CAL,7300,4.670941161126e-04,1.100467094116e+00
2.350000000000e-08,CAL,7300,1.273219873319e-03,1.101273219873e+00
2.375000000000e-08,CAL,7300,2.891746905452e-03,1.102891746905e+00
2.400000000000e-08,CAL,7300,-6.117667023825e-04,1.099388233298e+00
