time_s,n_slow_v,n_fast_v,n_bg_v,vdd_healthy_v
0.000000000000e+00,3.024173214116e-03,1.758115088715e-04,3.199984722988e-03,1.103199984723e+00
2.500000000000e-10,2.680414539013e-03,1.527550385162e-03,4.207964924175e-03,1.104207964924e+00
5.000000000000e-10,2.336655863909e-03,-2.987671408895e-04,2.037888723020e-03,1.102037888723e+00
7.500000000000e-10,1.992897188806e-03,1.002390206072e-03,2.995287394878e-03,1.102995287395e+00
1.000000000000e-09,1.649138513703e-03,-6.631552309041e-04,9.859832827987e-04,1.100985983283e+00
1.250000000000e-09,1.305379838599e-03,1.448170211427e-04,1.450196859742e-03,1.101450196860e+00
1.500000000000e-09,9.616211634961e-04,-1.641927182329e-03,-6.803060188325e-04,1.099319693981e+00
1.750000000000e-09,6.178624883928e-04,-1.058927268999e-03,-4.410647806057e-04,1.099558935219e+00
2.000000000000e-09,2.741038132894e-04,6.674215109455e-04,9.415253242350e-04,1.100941525324e+00
2.250000000000e-09,-6.965486181389e-05,-1.792053565566e-03,-1.861708427380e-03,1.098138291573e+00
2.500000000000e-09,-4.134135369172e-04,-2.569299640039e-03,-2.982713176956e-03,1.097017286823e+00
2.750000000000e-09,-5.274906477303e-04,-6.052976044973e-04,-1.132788252228e-03,1.098867211748e+00
3.000000000000e-09,-6.415677585434e-04,1.238752538630e-03,5.971847800865e-04,1.100597184780e+00
3.250000000000e-09,-7.556448693564e-04,5.134265828415e-04,-2.422182865149e-04,1.099757781713e+00
3.500000000000e-09,-8.697219801695e-04,2.187326246589e-03,1.317604266420e-03,1.101317604266e+00
3.750000000000e-09,-9.837990909825e-04,-6.383013002644e-04,-1.622100391247e-03,1.098377899609e+00
4.000000000000e-09,-1.097876201796e-03,1.133077103342e-03,3.520090154671e-05,1.100035200902e+00
4.250000000000e-09,-1.211953312609e-03,6.717066254417e-04,-5.402466871669e-04,1.099459753313e+00
4.500000000000e-09,-1.326030423422e-03,-1.493628412119e-03,-2.819658835541e-03,1.097180341164e+00
4.750000000000e-09,-1.440107534235e-03,-2.926141530170e-03,-4.366249064404e-03,1.095633750936e+00
5.000000000000e-09,-1.554184645048e-03,1.915905900002e-03,3.617212549542e-04,1.100361721255e+00
5.250000000000e-09,-1.821108498963e-03,-1.950434747601e-03,-3.771543246564e-03,1.096228456753e+00
5.500000000000e-09,-2.088032352878e-03,-1.371947724469e-03,-3.459980077346e-03,1.096540019923e+00
5.750000000000e-09,-2.354956206792e-03,1.888778248536e-03,-4.661779582560e-04,1.099533822042e+00
6.000000000000e-09,-2.621880060707e-03,1.044457995216e-03,-1.577422065491e-03,1.098422577935e+00
6.250000000000e-09,-2.888803914622e-03,-1.593932792199e-03,-4.482736706821e-03,1.095517263293e+00
6.500000000000e-09,-3.155727768537e-03,-1.579533652545e-03,-4.735261421081e-03,1.095264738579e+00
6.750000000000e-09,-3.422651622452e-03,2.889046803934e-03,-5.336048185182e-04,1.099466395181e+00
7.000000000000e-09,-3.689575476367e-03,1.428945243557e-03,-2.260630232810e-03,1.097739369767e+00
7.250000000000e-09,-3.956499330281e-03,-1.043900611629e-03,-5.000399941911e-03,1.094999600058e+00
7.500000000000e-09,-4.223423184196e-03,1.933902522974e-03,-2.289520661222e-03,1.097710479339e+00
7.750000000000e-09,-4.262974953414e-03,-7.236095658114e-04,-4.986584519225e-03,1.095013415481e+00
8.000000000000e-09,-4.302526722632e-03,1.304458725287e-03,-2.998067997344e-03,1.097001932003e+00
8.250000000000e-09,-4.342078491850e-03,-2.367541096935e-03,-6.709619588785e-03,1.093290380411e+00
8.500000000000e-09,-4.381630261068e-03,-1.290554069840e-03,-5.672184330907e-03,1.094327815669e+00
8.750000000000e-09,-4.421182030285e-03,1.480360411408e-03,-2.940821618878e-03,1.097059178381e+00
9.000000000000e-09,-4.460733799503e-03,-2.486490683026e-03,-6.947224482529e-03,1.093052775517e+00
9.250000000000e-09,-4.500285568721e-03,-4.681936961090e-04,-4.968479264830e-03,1.095031520735e+00
9.500000000000e-09,-4.539837337939e-03,-2.925919045295e-04,-4.832429242468e-03,1.095167570758e+00
9.750000000000e-09,-4.579389107157e-03,5.513380823598e-04,-4.028051024797e-03,1.095971948975e+00
1.000000000000e-08,-4.618940876374e-03,2.090885727473e-03,-2.528055148902e-03,1.097471944851e+00
