seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,M_REF_FALL,D_M_D01,H_D_D01,D01_detected,locked_rise_margin,locked_fall_margin,pre_attack_alarm_count,pre_attack_polarities,pre_attack_D_M,pre_attack_margin_selected,pre_attack_alarm_vector,first_alarm_latency_ns,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41001,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,21 ns RISE,000000000000000000000111111111,225,198,176,27,5,1,22,24,0,RISE;FALL,16;17,22;24,0;0,20.534524618566998,True,3869302628e16280f1448b52d3bbb55778d9e57e7fef35f59a980fdfecfaf78e,b8e190abe3113b2512e494e5f90679dafa9b7df2074665b675cd97e4081dfa88,d9043eedd0f1b867e61bc76927754d818600da2b25240819a2ffd8e80ddcaf35
41002,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,21 ns RISE,000000000000000000000111111111,225,198,182,27,5,1,22,24,0,RISE;FALL,16;0,22;24,0;0,20.534524618566998,True,ad12ec6d2fddae411db0d2bf4e6205584f13f96acd14bb3eae61307bfd8bedc0,8c8ddc1e6a6394dad7a12e9af8cf97c9ec5fd39c4b6984def056e0db664fca98,27c7c8113e68077f41a2ed01d69421bf1745af06090b22cde28866bd18d39ac5
41003,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,21 ns RISE,000000000000000000000011111111,204,159,128,45,23,1,22,24,0,RISE;FALL,0;18,22;24,0;0,20.534524618566998,True,9e3908bad3689550e35fbc3af21a955ad3d24de79d272f84573e6e9f2202e478,44d148c28ff39fd4f5faeef047c8e8e5de19f30404bae050179797afcde3edc8,c2565f5eb0fa5162f4fa08d30841205b07e2dfa7edc53d2e28ed342158d7e994
41004,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,20.534524618566998,True,74f0aa714e0b1a3488d34b5cf86c86073dbf0d94535cb017ecf6d694ea34d848,1e629ccaf9f6976251a7102d54d824a5878171184af4c45bc2e670eb7459c5e8,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
41005,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,21 ns RISE,000000000000000000000111111111,225,204,176,21,-1,0,22,24,0,RISE;FALL,0;17,22;24,0;0,N/A,True,5452097dbf133eeb8887a4549f3e25b5305a035022d80c67a7b49b39cc2b085b,93cf87fa42f557e1fae87771addb146c5f196ab72f9e96d08e0cd97508c823fa,83c69fbf787c090dd494f16792e7648da780b3345aa83559c9abaf2a4828d56a
41006,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,21 ns RISE,000000000000000000000111111111,225,182,182,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,20.534524618566998,True,6637b1dc2f9156f01f5dc582da8c08511918386dfa339e9ff33527b51ca4f9df,fd527a70627d81dca5390023d71353d19039c4c52a7cc8b9ea64d4425cdb249b,27c7c8113e68077f41a2ed01d69421bf1745af06090b22cde28866bd18d39ac5
41007,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,21 ns RISE,000000000000000000000111111111,225,204,182,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,True,6a5d93db09105680153298e244b7cc9264ce01aca63684efe6bdd068336cd1fe,6b82c45efe62630bca1efcb0ec6104d7ca02c1b6057e27cbc1272708e0f848a0,a14df77954aa937a7ef2e6daf19b0b2b94080facf9533f3d1fa9fbb6ec57330e
41008,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,20.534524618566998,True,55189aeb7f15cb4321b8812b84a391dd42b1b67e2647e63f0698901f122929a5,920eb6388b6981f402606648a4ed2694ba1cf0fb42cad3eebc6ccc81db066d42,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
41009,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,20.534524618566998,True,5b7ec8e068bdc0a858b5a4b371e108fb286040419e024314b64541a0ad54d203,1614f650f644677371fade98eb32773cd3f908692e66dd8141000d314985bcb2,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
41010,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,20.534524618566998,True,c47ab915449304db0a42de5a5d2fae43c0bd904718b3100db56ed35a6904ba72,3d88774e26a641ef913e2528d995c21f6da6f9945779b1cc75cbb4de487259ef,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
