candidate_id,vdd_v,predicted_k,code,selected_tap,t_xor_rise_s,t_xor_fall_s,W_S_int_ps,t_ck_rise_s,D_code_ps,q_final_v,Q,readout_time_s,scenario,valid
primary,0.8,5,4,25,1.802717658e-09,2.587313404e-09,784.5957459999998,2.496245989e-09,693.528331,0.7999865589,1,3.5e-09,scenarios/cal_primary_v800mv_k5_code4,1
primary,0.8,5,5,30,1.802717658e-09,2.587686473e-09,784.9688150000001,2.606098917e-09,803.3812590000001,0.7999863148,1,3.5e-09,scenarios/cal_primary_v800mv_k5_code5,1
primary,0.8,5,6,31,1.802717658e-09,2.587602586e-09,784.8849280000001,2.631693518e-09,828.9758600000001,0.7999987041,1,3.5e-09,scenarios/cal_primary_v800mv_k5_code6,1
primary,0.8,5,7,32,1.802717658e-09,2.587484143e-09,784.7664850000001,2.651183993e-09,848.4663350000002,1.556053543e-07,0,3.5e-09,scenarios/cal_primary_v800mv_k5_code7,1
primary,0.85,5,4,25,1.685292211e-09,2.278752438e-09,593.4602270000001,2.275284149e-09,589.991938,0.8499996523,1,3.5e-09,scenarios/cal_primary_v850mv_k5_code4,1
primary,0.85,5,5,30,1.685292211e-09,2.278688827e-09,593.3966160000001,2.368508282e-09,683.2160709999998,1.01279785e-07,0,3.5e-09,scenarios/cal_primary_v850mv_k5_code5,1
primary,0.85,5,6,31,1.685292211e-09,2.278712465e-09,593.4202540000001,2.390433498e-09,705.141287,2.166251866e-08,0,3.5e-09,scenarios/cal_primary_v850mv_k5_code6,1
primary,0.85,5,7,32,1.685292211e-09,2.278748082e-09,593.4558709999999,2.407914086e-09,722.6218749999999,1.979153496e-07,0,3.5e-09,scenarios/cal_primary_v850mv_k5_code7,1
primary,0.9,4,3,21,1.59858808e-09,2.06656822e-09,467.98014000000006,2.045132992e-09,446.544912,0.8999996958,1,3.5e-09,scenarios/cal_primary_v900mv_k4_code3,1
primary,0.9,4,4,25,1.59858808e-09,2.066825974e-09,468.2378939999997,2.112067533e-09,513.479453,8.798409322e-08,0,3.5e-09,scenarios/cal_primary_v900mv_k4_code4,1
primary,0.9,4,5,30,1.59858808e-09,2.066704066e-09,468.1159859999998,2.193915041e-09,595.3269610000001,-5.706275454e-07,0,3.5e-09,scenarios/cal_primary_v900mv_k4_code5,1
primary,0.9,4,6,31,1.59858808e-09,2.066757508e-09,468.1694279999999,2.213134837e-09,614.5467569999997,-6.596531724e-07,0,3.5e-09,scenarios/cal_primary_v900mv_k4_code6,1
primary,0.95,3,2,17,1.533101844e-09,1.914782385e-09,381.6805410000001,1.87055214e-09,337.45029600000004,0.9499996995,1,3.5e-09,scenarios/cal_primary_v950mv_k3_code2,1
primary,0.95,3,3,21,1.533101844e-09,1.914737684e-09,381.6358400000002,1.92930816e-09,396.206316,0.9499996982,1,3.5e-09,scenarios/cal_primary_v950mv_k3_code3,1
