vdd_v,tap,t_xor_rise_s,t_xor_fall_s,W_S_int_ps,t_tap_rise_s,D_raw_ps,D_mux_est_ps,D_est_ps,valid
1.1,14,1.407400406e-09,1.647222099e-09,239.821693,1.570314452e-09,162.91404600000007,59.90238499999995,222.81643100000002,1
1.1,15,1.407400406e-09,1.647222099e-09,239.821693,1.58199067e-09,174.59026400000002,59.90238499999995,234.49264899999997,1
1.1,16,1.407400406e-09,1.647222099e-09,239.821693,1.594176857e-09,186.7764510000001,59.90238499999995,246.67883600000005,1
1.1,17,1.407400406e-09,1.647222099e-09,239.821693,1.605808435e-09,198.4080290000001,59.90238499999995,258.31041400000004,1
1.1,18,1.407400406e-09,1.647222099e-09,239.821693,1.618100704e-09,210.70029800000012,59.90238499999995,270.60268300000007,1
1.1,19,1.407400406e-09,1.647222099e-09,239.821693,1.629666026e-09,222.26562000000004,59.90238499999995,282.168005,1
1.1,20,1.407400406e-09,1.647222099e-09,239.821693,1.641802722e-09,234.40231600000016,59.90238499999995,294.30470100000014,1
1.1,21,1.407400406e-09,1.647222099e-09,239.821693,1.653573729e-09,246.17332300000012,59.90238499999995,306.0757080000001,1
1.1,22,1.407400406e-09,1.647222099e-09,239.821693,1.665788514e-09,258.38810800000016,59.90238499999995,318.2904930000001,1
1.1,23,1.407400406e-09,1.647222099e-09,239.821693,1.677345826e-09,269.9454200000002,59.90238499999995,329.8478050000001,1
1.1,24,1.407400406e-09,1.647222099e-09,239.821693,1.689608484e-09,282.20807800000006,59.90238499999995,342.110463,1
1.1,25,1.407400406e-09,1.647222099e-09,239.821693,1.701304496e-09,293.90409,59.90238499999995,353.806475,1
1.1,26,1.407400406e-09,1.647222099e-09,239.821693,1.712028213e-09,304.62780700000013,59.90238499999995,364.53019200000006,1
1.1,27,1.407400406e-09,1.647222099e-09,239.821693,1.72288384e-09,315.4834340000002,59.90238499999995,375.3858190000002,1
1.1,28,1.407400406e-09,1.647222099e-09,239.821693,1.733638507e-09,326.2381010000001,59.90238499999995,386.140486,1
1.1,29,1.407400406e-09,1.647222099e-09,239.821693,1.744448511e-09,337.04810500000013,59.90238499999995,396.95049000000006,1
