scenario,vdd_v,trajectory_kind,probe_index,protocol_phase,medium_code,fine_code,q_read_v,q_read_late_v,q_state,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,active_ck_edge_count,recovery_max_ratio,electrical_valid,reason
0p80_normal,0.8,paired_coarse_bounded_fine_branches,0,coarse_scan,0,0,0.7999996341,0.7999996631,stable_high,2.802185581e-09,3.585478042e-09,3.01743614e-09,1,1.0367338437499998e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,1,coarse_repeat,0,0,0.7999996326,0.7999996624,stable_high,9.001457329e-09,9.786566975e-09,9.216680927e-09,1,1.0499563582499999e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,2,coarse_scan,1,0,0.7999996166,0.7999996633,stable_high,1.671178051e-08,1.749710147e-08,1.699373143e-08,1,1.044508164125e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,3,coarse_repeat,1,0,0.7999996059,0.79999966,stable_high,2.291211376e-08,2.369680256e-08,2.319412114e-08,1,1.035221262125e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,4,coarse_scan,2,0,0.7999995975,0.7999997746,stable_high,3.062127476e-08,3.140610709e-08,3.097000218e-08,1,1.0268514608749998e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,5,coarse_repeat,2,0,0.7999995673,0.7999996508,stable_high,3.682187443e-08,3.760654277e-08,3.717086158e-08,1,1.00605196525e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,6,coarse_scan,3,0,0.7999990799,0.7999996371,stable_high,4.453180836e-08,4.531641693e-08,4.494798007e-08,1,3.6958518012499997e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,7,coarse_repeat,3,0,0.7999990534,0.7999996468,stable_high,5.073200978e-08,5.151652634e-08,5.11479578e-08,1,2.17469599625e-05,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,8,coarse_scan,4,0,0.7999963011,0.7999992273,stable_high,5.844214501e-08,5.922573811e-08,5.892498321e-08,1,3.73517485125e-05,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,9,coarse_repeat,4,0,0.7999963611,0.7999987875,stable_high,6.464146949e-08,6.542676776e-08,6.512429137e-08,1,3.8542807125e-05,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,10,coarse_scan,5,0,0.7999527049,0.8000000265,stable_high,7.235158298e-08,7.313628153e-08,7.290131916e-08,1,1.174801433375e-05,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,11,coarse_repeat,5,0,0.7998565955,0.7999995003,stable_high,7.855183607e-08,7.9335509e-08,7.910145454e-08,1,4.5500516337499995e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,12,coarse_scan,6,0,0.7999680058,0.7999986724,stable_high,8.626194226e-08,8.704642066e-08,8.687853835e-08,1,9.190589196249998e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,13,coarse_repeat,6,0,0.7999707005,0.7999986648,stable_high,9.246190613e-08,9.324628126e-08,9.307869281e-08,1,3.07375294125e-06,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,14,coarse_scan,7,0,0.8000037036,0.7999923483,stable_high,1.001718155e-07,1.009564745e-07,1.008552818e-07,1,0.000213855599375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,15,coarse_repeat,7,0,0.8000034201,0.7999936163,stable_high,1.063718594e-07,1.071557733e-07,1.070556056e-07,1,0.000210357584375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,16,coarse_scan,8,0,0.7999999521,0.80032165,stable_high,1.140817847e-07,1.148664081e-07,1.148320766e-07,1,0.0028082909525,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,17,coarse_repeat,8,0,0.7999999828,0.8000761646,stable_high,1.20281361e-07,1.210664636e-07,1.210318243e-07,1,0.0030486613787499995,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,18,coarse_scan,9,0,1.662953425e-07,1.810930647e-06,stable_low,1.279919956e-07,1.287766144e-07,1.288095119e-07,1,0.0406020552875,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,19,coarse_repeat,9,0,1.662838003e-07,2.15175514e-06,stable_low,1.341920718e-07,1.349766046e-07,1.350098238e-07,1,0.0434837978375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,20,coarse_scan,10,0,1.66353549e-07,4.127804295e-07,stable_low,1.419020117e-07,1.426861505e-07,1.427865346e-07,1,0.30378660474999997,0,recovery_tail_not_below_0p1_vdd
0p80_normal,0.8,paired_coarse_bounded_fine_branches,21,coarse_repeat,10,0,1.663307816e-07,3.223533427e-07,stable_low,1.481018154e-07,1.488865996e-07,1.489863068e-07,1,0.296440032125,0,recovery_tail_not_below_0p1_vdd
0p80_normal,0.8,paired_coarse_bounded_fine_branches,22,coarse_backoff,9,0,1.664271126e-07,3.773578103e-06,stable_low,1.558115833e-07,1.565965727e-07,1.566295056e-07,1,0.044406891587500004,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,23,coarse_backoff,8,0,0.7999998941,0.8001775193,stable_high,1.635216258e-07,1.643071435e-07,1.642721968e-07,1,0.00289424561875,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,24,fine_m7_scan,7,0,0.8000027268,0.7999883998,stable_high,1.712319735e-07,1.720171088e-07,1.719153449e-07,1,0.00022832213037499998,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,25,fine_m7_repeat,7,0,0.800003047,0.7999927402,stable_high,1.77431825e-07,1.782166035e-07,1.781158093e-07,1,0.000153327368,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,26,fine_m7_scan,7,1,0.8000024036,0.7999749441,stable_high,1.851414636e-07,1.8592635e-07,1.858304163e-07,1,0.000461540126625,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,27,fine_m7_repeat,7,1,0.8000035995,0.7999813645,stable_high,1.913421417e-07,1.921265116e-07,1.92031662e-07,1,0.000400291895375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,28,fine_m7_scan,7,2,0.8000031953,0.7999813182,stable_high,1.990517896e-07,1.998370967e-07,1.997475291e-07,1,0.000995249474875,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,29,fine_m7_repeat,7,2,0.800002918,0.7999861364,stable_high,2.052518479e-07,2.060364722e-07,2.05947742e-07,1,0.0009052105318749999,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,30,fine_m7_scan,7,3,0.8000023711,0.7999910521,stable_high,2.1296193e-07,2.137462511e-07,2.136642847e-07,1,0.0013315447775,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,31,fine_m7_repeat,7,3,0.8000029661,0.7999923902,stable_high,2.191620011e-07,2.199457276e-07,2.198640354e-07,1,0.001140744105875,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,32,fine_m7_scan,7,4,0.8000020884,0.7999942684,stable_high,2.268720503e-07,2.276563146e-07,2.275818239e-07,1,0.00227483754,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,33,fine_m7_repeat,7,4,0.8000024326,0.7999778533,stable_high,2.330721411e-07,2.338566483e-07,2.337815299e-07,1,0.0021723128612499997,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,34,fine_m7_scan,7,5,9.12244754e-07,3.21398539e-06,stable_low,2.407819397e-07,2.415659041e-07,2.414988187e-07,1,0.0033462016449999996,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,35,fine_m7_repeat,7,5,1.006338354e-06,-2.098685852e-07,stable_low,2.469819396e-07,2.477662952e-07,2.476988925e-07,1,0.00375900043,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,36,fine_m7_scan,7,6,8.11287376e-07,-6.807591399e-06,stable_low,2.546919554e-07,2.554762248e-07,2.554170671e-07,1,0.00481482833375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,37,fine_m7_repeat,7,6,9.470957161e-07,-1.731512944e-05,stable_low,2.60891801e-07,2.616761968e-07,2.616170106e-07,1,0.005277465607499999,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,38,fine_m7_scan,7,7,7.516411637e-07,-2.889321025e-05,stable_low,2.686012858e-07,2.693867399e-07,2.693350357e-07,1,0.007186205554999999,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,39,fine_m7_repeat,7,7,7.850032961e-07,-2.286778409e-05,stable_low,2.748020752e-07,2.755862788e-07,2.755356419e-07,1,0.007014696669999999,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,40,fine_m7_scan,7,8,6.382452448e-07,4.080975416e-06,stable_low,2.825120575e-07,2.832969671e-07,2.832554051e-07,1,0.010135168055,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,41,fine_m7_repeat,7,8,7.960714357e-07,-3.169736123e-05,stable_low,2.88712141e-07,2.894966899e-07,2.894553529e-07,1,0.01045609164375,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,42,fine_m7_scan,7,9,6.589299326e-07,2.491764657e-05,stable_low,2.964218904e-07,2.972065359e-07,2.971748027e-07,1,0.013840135637499999,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,43,fine_m7_repeat,7,9,7.139785067e-07,6.286305161e-05,stable_low,3.026217429e-07,3.034058255e-07,3.033749315e-07,1,0.014037135787499998,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,44,fine_m7_scan,7,10,5.925645281e-07,0.0001181967673,stable_low,3.103316018e-07,3.1111594e-07,3.110947254e-07,1,0.0189461799875,1,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,45,fine_m7_repeat,7,10,7.171181096e-07,9.072642242e-05,stable_low,3.165321393e-07,3.173152469e-07,3.172957295e-07,1,0.0199128438625,1,
