scenario,vdd_v,trajectory_kind,transition_index,transition_type,old_M,new_M,old_F,new_F,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
0p80_normal,0.8,paired_coarse_bounded_fine_branches,0,coarse_increment,0,1,0,0,1.3909999999999998e-08,1.5409999999999997e-08,2.07759484e-05,0.0003100445353,4.452466442e-06,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,1,coarse_increment,1,2,0,0,2.7820000000000004e-08,2.9320000000000004e-08,1.336806895e-06,1.410844341e-05,-1.887031467e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,2,coarse_increment,2,3,0,0,4.173e-08,4.323e-08,8.082458019e-07,8.638115781e-07,-4.826230429e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,3,coarse_increment,3,4,0,0,5.563999999999999e-08,5.713999999999999e-08,-7.718930243e-07,8.075695409e-07,-5.936476061e-08,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,4,coarse_increment,4,5,0,0,6.954999999999998e-08,7.104999999999998e-08,-7.477930383e-07,8.088831012e-07,-5.803459709e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,5,coarse_increment,5,6,0,0,8.345999999999998e-08,8.495999999999997e-08,-3.1428099e-06,7.332273218e-07,-7.393354901e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,6,coarse_increment,6,7,0,0,9.736999999999998e-08,9.886999999999997e-08,3.383142417e-07,7.658359309e-07,-8.53475788e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,7,coarse_increment,7,8,0,0,1.1127999999999997e-07,1.1277999999999997e-07,3.87651178e-07,7.705999628e-07,7.448939326e-06,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,8,coarse_increment,8,9,0,0,1.2518999999999997e-07,1.2668999999999998e-07,1.721142036e-06,8.242049905e-07,-9.242334686e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,9,coarse_increment,9,10,0,0,1.3909999999999997e-07,1.4059999999999998e-07,-3.014641402e-07,1.033092651e-06,-1.865227483e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,10,coarse_backoff_step,10,9,0,0,1.5300999999999997e-07,1.5450999999999997e-07,2.646040625e-06,9.078555881e-07,0.000177789156,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,11,coarse_backoff_step,9,8,0,0,1.6071999999999997e-07,1.6221999999999998e-07,3.980751145e-06,1.033424409e-06,3.098247547e-06,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,12,fine_branch_entry,8,7,0,0,1.6842999999999998e-07,1.6993e-07,-2.034000132e-06,8.794826537e-07,-7.271499638e-07,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,13,fine_increment,7,7,0,1,1.8233999999999998e-07,1.8383999999999998e-07,9.244993511e-06,0.0001748945982,0.03516438181,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,14,fine_increment,7,7,1,2,1.9624999999999997e-07,1.9774999999999998e-07,8.623257412e-06,0.0001724147753,0.03424575501,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,15,fine_increment,7,7,2,3,2.1015999999999997e-07,2.1165999999999998e-07,4.623063869e-06,0.0001726799261,0.03360656932,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,16,fine_increment,7,7,3,4,2.2406999999999997e-07,2.2556999999999997e-07,8.38800127e-06,0.000167013144,0.03290791478,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,17,fine_increment,7,7,4,5,2.3797999999999996e-07,2.3947999999999997e-07,7.801668254e-06,0.0001645997109,0.03215357612,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,18,fine_increment,7,7,5,6,2.5189000000000007e-07,2.533900000000001e-07,5.810081263e-06,0.0001613365442,0.03153049746,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,19,fine_increment,7,7,6,7,2.6580000000000017e-07,2.673000000000002e-07,1.181108745e-05,0.0001808764432,0.03081571559,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,20,fine_increment,7,7,7,8,2.7971000000000027e-07,2.812100000000003e-07,8.103068846e-06,0.0001570824615,0.03022681891,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,21,fine_increment,7,7,8,9,2.936200000000004e-07,2.951200000000004e-07,7.935304096e-06,0.0001552222743,0.02963048634,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,22,fine_increment,7,7,9,10,3.075300000000005e-07,3.090300000000005e-07,8.135864359e-06,0.0001545704192,0.02906342589,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,23,branch_fine_reset,7,7,10,9,3.214400000000006e-07,3.229400000000006e-07,7.532440087e-06,0.0001466248362,-1.676613321e-05,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,24,branch_fine_reset,7,7,9,8,3.2915000000000064e-07,3.3065000000000065e-07,1.008002228e-05,0.0001555455931,-1.948267818e-05,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,25,branch_fine_reset,7,7,8,7,3.368600000000007e-07,3.383600000000007e-07,1.28915639e-05,0.0001532107553,-2.020097675e-05,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,26,branch_fine_reset,7,7,7,6,3.4457000000000076e-07,3.4607000000000077e-07,9.540912686e-06,0.0001564716628,-2.222585596e-05,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,27,branch_fine_reset,7,7,6,5,3.522800000000008e-07,3.5378000000000083e-07,8.59405205e-06,0.0001602048069,-2.159254732e-05,0,PASS,
0p80_normal,0.8,paired_coarse_bounded_fine_branches,28,branch_fine_reset,7,7,5,4,3.599900000000009e-07,3.614900000000009e-07,7.626323058e-06,0.000181792859,-2.08696133e-05,0,PASS,
