episode_id,condition,probe_index,node,rise50_s,fall50_s,quiet_max_v,quiet_min_v,valid,reason
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,nclk,4.420069855e-09,3.639163671e-09,0.8138492489,-0.0108024546,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,bclk,3.673925699e-09,4.455237566e-09,0.8352113275,-0.03125122498,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,nd,3.676126481e-09,2.905957493e-09,0.8265334518,-0.05420789617,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,nm,4.481395391e-09,2.927501128e-09,0.8233258273,-0.02589854376,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,m,2.975979225e-09,4.520718694e-09,0.8146855179,-0.02753089686,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,s,3.699760059e-09,4.573795285e-09,0.8302073251,-0.02621950203,1,
E00,pred7_arm_0p0ns_pad_0p0ns_pre,0,ns,4.605647993e-09,3.74411568e-09,0.8332009774,-0.001596834986,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,nclk,1.170425932e-08,1.092289275e-08,0.813837234,-0.009889802074,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,bclk,1.095577729e-08,1.174022312e-08,0.8284986091,-0.00761836397,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,nd,1.089256835e-08,1.011642009e-08,0.8265184963,-0.03283228794,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,nm,1.092799856e-08,1.013798057e-08,0.8231446607,-0.03161868178,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,m,1.018615185e-08,1.178240088e-08,0.8720556963,-0.0272147323,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,s,1.131434363e-08,1.178224723e-08,0.8274578756,-0.02229004823,1,
E00,pred7_arm_0p0ns_pad_0p0ns,1,ns,1.181322496e-08,1.138621758e-08,0.8147667502,-0.001198893303,1,
E01,pred9_arm_0p0ns_pad_0p0ns_pre,2,nclk,2.463473681e-08,2.384539956e-08,0.8629544365,-0.01343475107,1,
E01,pred9_arm_0p0ns_pad_0p0ns_pre,2,bclk,2.38804946e-08,2.467174669e-08,0.8477216365,-0.03784256613,1,
