episode_id,kind,condition,predecessor_M,M,F,reset_release_s,reset_arm_s,timeline_pad_s,launch_time_s,q_read_time_s,measured_reset_release50_s,measured_sclk_launch50_s,measured_reset_arm_s,q_read_v,q_read_late_v,Q_logic,Q_late_logic,xor_rise50_s,medium_rise50_s,ck_rise50_s,D_medium_ps,D_fine_ps,D_total_ps,W_xor_ps,hold_margin_ps,active_window_start_s,active_window_end_s,extra_ck_edge,valid,reason
E00,predecessor,pred7_arm_0p0ns_pad_0p0ns_pre,7,7,0,1.57e-09,4.9e-10,0.0,2.06e-09,4.36e-09,1.57e-09,2.06e-09,4.9e-10,0.8000033322,0.8005396747,1,1,2.862235189e-09,3.418212033e-09,3.546079876e-09,555.9768440000001,127.86784299999981,683.8446869999999,784.0284450000003,100.18375800000035,2.06e-09,4.56e-09,False,1,
E00,target,pred7_arm_0p0ns_pad_0p0ns,7,8,0,9.270000000000001e-09,0.0,0.0,9.270000000000001e-09,1.157e-08,9.27e-09,9.27e-09,0.0,0.79999973,0.8004683768,1,1,1.007272707e-08,1.069569905e-08,1.082354751e-08,622.9719799999997,127.84845999999989,750.8204399999996,784.7157700000009,33.89533000000131,9.270000000000001e-09,1.177e-08,False,1,
E01,predecessor,pred9_arm_0p0ns_pad_0p0ns_pre,9,9,0,2.1640000000000024e-08,4.9e-10,0.0,2.2130000000000023e-08,2.4430000000000024e-08,2.164e-08,2.213e-08,4.899999999999998e-10,1.652431323e-07,0.0003491564011,0,0,2.293193952e-08,2.362124426e-08,2.374890906e-08,689.3047400000025,127.66479999999858,816.9695400000012,785.3452300000021,-31.624309999999127,2.2130000000000023e-08,2.4630000000000023e-08,False,1,
E01,target,pred9_arm_0p0ns_pad_0p0ns,9,8,0,2.9340000000000026e-08,0.0,0.0,2.9340000000000026e-08,3.1640000000000024e-08,2.934e-08,2.934e-08,0.0,0.7905551709,0.8004316842,1,1,3.014259222e-08,3.076519444e-08,3.08929753e-08,622.6022199999969,127.7808599999982,750.3830799999952,784.139629999995,33.756549999999834,2.9340000000000026e-08,3.1840000000000026e-08,False,1,
E02,predecessor,pred8_arm_0p0ns_pad_0p0ns_pre,8,8,0,4.169999999999999e-08,4.9e-10,0.0,4.218999999999999e-08,4.448999999999999e-08,4.17e-08,4.219e-08,4.899999999999998e-10,0.8000001491,0.8004120409,1,1,4.299195732e-08,4.361445989e-08,4.374224685e-08,622.5025699999942,127.7869600000018,750.2895299999959,784.7337299999941,34.444199999998204,4.218999999999999e-08,4.468999999999999e-08,False,1,
E02,target,pred8_arm_0p0ns_pad_0p0ns,8,8,0,4.938999999999999e-08,0.0,0.0,4.938999999999999e-08,5.168999999999999e-08,4.939e-08,4.939e-08,0.0,0.7999999802,0.8004772046,1,1,5.019306662e-08,5.081596682e-08,5.094356353e-08,622.900200000003,127.59670999999987,750.4969100000028,784.2465700000035,33.749660000000745,4.938999999999999e-08,5.188999999999999e-08,False,1,
E03,predecessor,pred7_arm_0p48999999999999994ns_pad_0p0ns_pre,7,7,0,6.173999999999996e-08,4.9e-10,0.0,6.222999999999996e-08,6.452999999999996e-08,6.174e-08,6.223e-08,4.899999999999998e-10,0.8000046525,0.8002919634,1,1,6.303206075e-08,6.358780968e-08,6.371569259e-08,555.748930000004,127.88290999999515,683.6318399999991,783.6350300000029,100.00319000000377,6.222999999999996e-08,6.472999999999996e-08,False,1,
E03,target,pred7_arm_0p48999999999999994ns_pad_0p0ns,7,8,0,6.943999999999995e-08,4.9e-10,0.0,6.992999999999995e-08,7.222999999999995e-08,6.944e-08,6.993e-08,4.899999999999998e-10,0.7999999124,0.800438215,1,1,7.073205601e-08,7.135534148e-08,7.148311356e-08,623.2854700000072,127.77207999999176,751.0575499999989,785.0921000000013,34.03455000000247,6.992999999999995e-08,7.242999999999995e-08,False,1,
E04,predecessor,pred9_arm_0p48999999999999994ns_pad_0p0ns_pre,9,9,0,8.229999999999991e-08,4.9e-10,0.0,8.278999999999991e-08,8.508999999999991e-08,8.23e-08,8.279e-08,4.899999999999998e-10,1.538686772e-07,0.0004427290732,0,0,8.359204351e-08,8.428165611e-08,8.440949186e-08,689.6125999999939,127.83574999999931,817.4483499999932,784.9338999999939,-32.51444999999933,8.278999999999991e-08,8.528999999999991e-08,False,1,
E04,target,pred9_arm_0p48999999999999994ns_pad_0p0ns,9,8,0,8.99999999999999e-08,4.9e-10,0.0,9.04899999999999e-08,9.27899999999999e-08,9e-08,9.049e-08,4.899999999999998e-10,0.7999998613,0.8004233753,1,1,9.129219815e-08,9.191455196e-08,9.204241677e-08,622.3538099999923,127.86481000000097,750.2186199999934,784.7563899999938,34.537770000000364,9.04899999999999e-08,9.298999999999991e-08,False,1,
E05,predecessor,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,8,8,0,1.0284999999999987e-07,4.9e-10,0.0,1.0333999999999987e-07,1.0563999999999987e-07,1.0285e-07,1.0334e-07,4.899999999999998e-10,0.7999976864,0.8004092748,1,1,1.041420197e-07,1.047644588e-07,1.048923157e-07,622.4391000000032,127.85689999998868,750.2959999999919,784.2357999999947,33.93980000000283,1.0333999999999987e-07,1.0583999999999987e-07,False,1,
E05,target,pred8_arm_0p48999999999999994ns_pad_0p0ns,8,8,0,1.1053999999999986e-07,4.9e-10,0.0,1.1102999999999986e-07,1.1332999999999986e-07,1.1054e-07,1.1103e-07,4.899999999999998e-10,0.7999997087,0.8003951591,1,1,1.118323573e-07,1.124549603e-07,1.125827626e-07,622.6029999999943,127.80230000000768,750.405300000002,785.4061999999972,35.00089999999523,1.1102999999999986e-07,1.1352999999999987e-07,False,1,
