scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,0,coarse_scan,0,0,xor_29,5e-09,5.824199238e-09,6.588652511e-09,1588.6525110000002,1.126572566e-08,False,8.293609878e-07,8.293654031e-07,8.293609878e-07,1,
recovery_v4_diagnostic_0p80,0,coarse_scan,0,0,medium_out,5e-09,5.947266814e-09,6.645607093e-09,1645.6070929999998,1.138061061e-08,False,7.68009967e-07,7.680154399e-07,7.68009967e-07,1,
recovery_v4_diagnostic_0p80,0,coarse_scan,0,0,dff_ck,5e-09,5.994059532e-09,6.810561316e-09,1810.5613159999996,1.142741409e-08,False,8.326767032e-07,8.342565323e-07,8.326767032e-07,1,
recovery_v4_diagnostic_0p80,1,coarse_repeat,0,0,xor_29,1.35e-08,1.432299739e-08,1.508820106e-08,1588.2010599999992,2.12759348e-08,False,8.404415833e-07,8.404448458e-07,8.404415833e-07,1,
recovery_v4_diagnostic_0p80,1,coarse_repeat,0,0,medium_out,1.35e-08,1.444616701e-08,1.514475022e-08,1644.7502200000004,2.145801431e-08,False,7.683184952e-07,7.68430344e-07,7.683184952e-07,1,
recovery_v4_diagnostic_0p80,1,coarse_repeat,0,0,dff_ck,1.35e-08,1.449289494e-08,1.53097454e-08,1809.745400000001,2.150464986e-08,False,4.576319419e-07,4.576319419e-07,4.464941571e-07,1,
recovery_v4_diagnostic_0p80,2,coarse_scan,1,0,xor_29,2.3510000000000003e-08,2.433361772e-08,2.509860944e-08,1588.6094399999959,2.977558672e-08,False,8.516984138e-07,8.516984138e-07,8.516906129e-07,1,
recovery_v4_diagnostic_0p80,2,coarse_scan,1,0,medium_out,2.3510000000000003e-08,2.452368991e-08,2.522898288e-08,1718.9828799999968,2.995753118e-08,False,7.655967526e-07,7.662996363e-07,7.655967526e-07,1,
recovery_v4_diagnostic_0p80,2,coarse_scan,1,0,dff_ck,2.3510000000000003e-08,2.457031995e-08,2.539437484e-08,1884.3748399999952,3.000434519e-08,False,2.073089009e-07,2.073089009e-07,1.988761112e-07,1,
recovery_v4_diagnostic_0p80,3,coarse_repeat,1,0,xor_29,3.201e-08,3.283361625e-08,3.359866869e-08,1588.6686900000022,3.97859614e-08,False,8.455085345e-07,8.455085345e-07,8.454783717e-07,1,
recovery_v4_diagnostic_0p80,3,coarse_repeat,1,0,medium_out,3.201e-08,3.302368474e-08,3.372809713e-08,1718.0971299999999,4.003474703e-08,False,7.913755168e-07,7.913755168e-07,7.818371895e-07,1,
recovery_v4_diagnostic_0p80,3,coarse_repeat,1,0,dff_ck,3.201e-08,3.307034076e-08,3.389316216e-08,1883.1621600000005,4.008153379e-08,False,-1.22819402e-08,-1.22819402e-08,-2.455205092e-08,1,
recovery_v4_diagnostic_0p80,4,coarse_scan,2,0,xor_29,4.2019999999999995e-08,4.284291298e-08,4.360830145e-08,1588.301450000005,4.828545832e-08,False,7.883458565e-07,7.92139928e-07,7.883458565e-07,1,
recovery_v4_diagnostic_0p80,4,coarse_scan,2,0,medium_out,4.2019999999999995e-08,4.31002016e-08,4.38117622e-08,1791.7622000000074,4.853444125e-08,False,7.981445377e-07,7.981445377e-07,7.832922407e-07,1,
recovery_v4_diagnostic_0p80,4,coarse_scan,2,0,dff_ck,4.2019999999999995e-08,4.314689723e-08,4.397693401e-08,1956.9340100000059,4.858099704e-08,False,1.095976173e-06,1.095976173e-06,-1.974590116e-07,1,
recovery_v4_diagnostic_0p80,5,coarse_repeat,2,0,xor_29,5.051999999999999e-08,5.134350447e-08,5.210814979e-08,1588.1497900000072,5.829588869e-08,False,8.061990673e-07,8.061990673e-07,8.046036011e-07,1,
