episode_id,transition_index,old_M,new_M,update_time_s,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
E00,0,0,1,0.0,1e-11,1.56e-09,2.489105489e-05,0.0002839145156,5.043282853e-06,0,PASS,
E00,1,1,2,1e-11,2e-11,1.56e-09,1.590207943e-05,0.0002839145156,5.043282853e-06,0,PASS,
E00,2,2,3,2e-11,3e-11,1.56e-09,1.070528516e-06,0.0002649715227,2.04904669e-06,0,PASS,
E00,3,3,4,3e-11,4e-11,1.56e-09,1.070528516e-06,0.0001195685585,1.39451164e-06,0,PASS,
E00,4,4,5,4e-11,4.9999999999999995e-11,1.56e-09,1.070528516e-06,5.637048511e-05,1.39451164e-06,0,PASS,
E00,5,5,6,4.9999999999999995e-11,6e-11,1.56e-09,9.731323697e-07,2.700353172e-05,1.39451164e-06,0,PASS,
E00,6,6,7,6e-11,7e-11,1.56e-09,9.129472456e-07,1.314271407e-05,1.39451164e-06,0,PASS,
E00,7,7,8,7.760000000000001e-09,7.770000000000001e-09,9.260000000000002e-09,-2.028043921e-06,8.953266466e-07,1.107613525e-06,0,PASS,
E00,8,8,7,1.497e-08,1.4980000000000002e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,9,7,6,1.4980000000000002e-08,1.4990000000000004e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,10,6,5,1.4990000000000004e-08,1.5000000000000005e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,11,5,4,1.5000000000000005e-08,1.5010000000000007e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,12,4,3,1.5010000000000007e-08,1.5020000000000008e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,13,3,2,1.5020000000000008e-08,1.503000000000001e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
E00,14,2,1,1.503000000000001e-08,1.504000000000001e-08,2.1630000000000022e-08,3.194565901e-05,0.003580738154,8.025945897e-06,0,PASS,
