probe_index,M,F,Q_2p5,Q_3p3,Q_changed,D_total_2p5_ps,D_total_3p3_ps,delta_D_total_ps,W_xor_2p5_ps,W_xor_3p3_ps,delta_W_xor_ps,launch_shift_ns
0,0,0,1,1,False,215.25055899999992,215.25055899999992,0.0,783.292461,783.292461,0.0,0.0
1,1,0,1,1,False,282.10475999999977,282.3177999999992,0.2130399999994097,784.53535,783.9819500000007,-0.5533999999993284,0.0
2,2,0,1,1,False,349.1838900000012,349.1114200000008,-0.07247000000040771,783.7112300000007,784.7155700000009,1.0043400000001839,-0.0
3,3,0,1,1,False,416.0344799999983,415.90848999999935,-0.12598999999897842,784.44328,783.9066100000005,-0.5366699999995035,-0.0
4,4,0,1,1,False,483.1139599999957,482.90151000000327,-0.21244999999242964,785.3595099999955,784.9160299999976,-0.44347999999786225,-0.0
5,5,0,1,1,False,549.7029099999994,549.6641600000044,-0.0387499999950478,784.0396499999991,784.932950000001,0.8933000000018865,-0.0
6,6,0,1,1,False,616.6940399999993,616.9093299999986,0.21528999999929965,784.3226599999982,784.5496200000017,0.22696000000348704,0.0
7,7,0,1,1,False,683.7504400000006,683.8636799999963,0.11323999999569878,785.3061699999972,784.8680499999986,-0.438119999998662,0.0
8,8,0,1,0,True,750.7104999999999,751.1294899999931,0.41898999999318676,784.2670599999938,784.411829999999,0.14477000000522366,0.0
9,9,0,0,0,False,817.2332800000003,817.6838099999944,0.4505299999941599,785.6140600000095,785.0986699999924,-0.5153900000171916,0.0
10,8,0,1,1,False,750.727560000011,750.7900799999959,0.06251999998494284,784.9970600000081,785.2659599999962,0.26889999998809344,0.0
11,8,1,0,0,False,756.6306099999944,756.1155099999972,-0.5150999999971191,784.3549299999991,785.0060600000011,0.6511300000020128,-0.0
12,8,1,0,0,False,756.4238699999903,756.3033000000092,-0.12056999998105766,784.3933399999896,784.1068000000032,-0.28653999998641666,-0.0
