episode_id,group,probe_index,M,F,protocol_phase,launch_time_s,q_read_time_s,xor_rise10_s,xor_rise50_s,xor_fall10_s,xor_fall50_s,medium_rise10_s,medium_rise50_s,medium_fall10_s,medium_fall50_s,ck_rise10_s,ck_rise50_s,ck_fall10_s,ck_fall50_s,q_read_v,Q_logic,W_xor_ps,W_medium_ps,W_ck_ps,D_medium_ps,D_fine_driver_ps,D_total_ps,extra_ck_edge,valid,reason
A1,A,0,7,0,active,3.86e-09,6.16e-09,4.625747088e-09,4.661992593e-09,5.490655555e-09,5.446645573e-09,5.209373153e-09,5.217970637e-09,6.060685501e-09,6.051241947e-09,5.25612111e-09,5.345840257e-09,6.228463366e-09,6.149196572e-09,0.8000035638,1,784.6529800000006,833.2713099999994,803.3563149999998,555.9780440000005,127.86961999999986,683.8476640000003,False,1,
A2,A,1,8,0,active,1.6999999999999997e-08,1.9299999999999997e-08,1.776557329e-08,1.780169392e-08,1.862962952e-08,1.858734234e-08,1.841572893e-08,1.842431249e-08,1.927387482e-08,1.926460813e-08,1.846242317e-08,1.855213884e-08,1.944013594e-08,1.936244832e-08,0.8000000398,1,785.6484200000014,840.2956400000005,810.30948,622.6185700000013,127.82634999999962,750.4449200000009,False,1,
A3,A,2,9,0,active,3.016000000000002e-08,3.246000000000002e-08,3.092578646e-08,3.096201678e-08,3.178810743e-08,3.174685085e-08,3.164311279e-08,3.165177689e-08,3.250843824e-08,3.249855312e-08,3.168991039e-08,3.17795566e-08,3.26740131e-08,3.259670494e-08,1.651132514e-07,0,784.834070000004,846.7762300000002,817.1483399999986,689.7601100000044,127.77970999999535,817.5398199999996,False,1,
B1,B,3,7,0,active,4.1509999999999986e-08,4.3809999999999987e-08,4.227569017e-08,4.231182486e-08,4.314084206e-08,4.309688439e-08,4.285878293e-08,4.286758512e-08,4.371107771e-08,4.370161325e-08,4.290565609e-08,4.299537781e-08,4.387801903e-08,4.379971735e-08,0.8000027915,1,785.0595299999954,834.0281300000046,804.3395399999985,555.7602599999972,127.79268999999981,683.5529499999969,False,1,
B1,B,4,8,0,active,4.920999999999998e-08,5.150999999999998e-08,4.997595327e-08,5.00122901e-08,5.083925016e-08,5.07969626e-08,5.062661186e-08,5.063524955e-08,5.148427148e-08,5.14743196e-08,5.067337515e-08,5.076306882e-08,5.164970186e-08,5.15725276e-08,0.7999998643,1,784.6724999999999,839.0700499999984,809.4587800000019,622.9594499999995,127.819270000002,750.7787200000015,False,1,
B2,B,5,9,0,active,6.056999999999994e-08,6.286999999999994e-08,6.133524422e-08,6.137144853e-08,6.219817638e-08,6.215717334e-08,6.205263679e-08,6.206115686e-08,6.29176837e-08,6.290718405e-08,6.209915016e-08,6.218890829e-08,6.308348532e-08,6.300582554e-08,1.664230475e-07,0,785.724810000001,846.0271899999971,816.917249999991,689.7083300000007,127.75143000000419,817.459760000005,False,1,
B2,B,6,8,0,active,6.826999999999994e-08,7.056999999999994e-08,6.903577497e-08,6.907195213e-08,6.989885079e-08,6.985653755e-08,6.968570252e-08,6.96943578e-08,7.054334804e-08,7.053419421e-08,6.973237411e-08,6.982209473e-08,7.070985436e-08,7.063207436e-08,0.7999999472,1,784.5854199999966,839.8364099999985,809.9796299999933,622.4056699999946,127.73693000000453,750.1425999999992,False,1,
B3,B,7,8,0,active,7.96199999999999e-08,8.19199999999999e-08,8.038561592e-08,8.042186456e-08,8.124908856e-08,8.120684613e-08,8.10359096e-08,8.104457189e-08,8.189447948e-08,8.188480972e-08,8.108268376e-08,8.117239156e-08,8.205968199e-08,8.19827928e-08,0.8000001057,1,784.9815699999964,840.2378300000005,810.4012400000001,622.7073300000005,127.81966999999551,750.5269999999961,False,1,
B3,B,8,8,0,active,8.73099999999999e-08,8.96099999999999e-08,8.807564314e-08,8.81118275e-08,8.89390335e-08,8.889674899e-08,8.87258124e-08,8.873463131e-08,8.958369958e-08,8.957367121e-08,8.877267618e-08,8.886240892e-08,8.975195471e-08,8.96723255e-08,0.7999999025,1,784.921490000005,839.039900000003,809.9165800000055,622.8038099999968,127.77760999999964,750.5814199999965,False,1,
C1,C,9,7,0,active,9.864999999999987e-08,1.0094999999999987e-07,9.941551223e-08,9.94517216e-08,1.002807756e-07,1.002368692e-07,9.999900322e-08,1.000075948e-07,1.008514789e-07,1.008420599e-07,1.000457085e-07,1.00135453e-07,1.010170241e-07,1.009398466e-07,0.8000039007,1,785.1476000000041,834.4650999999938,804.3935999999916,555.8732000000011,127.85820000000399,683.7314000000051,False,1,
