episode_id,group,condition,probe_index,node,rise10_s,rise50_s,fall10_s,fall50_s,quiet_peak_v,valid
A1,A,isolated_m7,0,x7,4.855131226e-09,4.862313564e-09,5.668692625e-09,5.660779417e-09,0.8359090039,1
A1,A,isolated_m7,0,x8,4.881224875e-09,4.888144434e-09,5.696095756e-09,5.688580222e-09,0.8354218869,1
A1,A,isolated_m7,0,x9,4.906653723e-09,4.913675529e-09,5.724188461e-09,5.71651319e-09,0.8355514662,1
A1,A,isolated_m7,0,x10,4.932195981e-09,4.939272419e-09,5.751455391e-09,5.743853336e-09,0.8418468262,1
A1,A,isolated_m7,0,my6,4.96279408e-09,4.971682392e-09,5.787582843e-09,5.778107273e-09,0.8251023331,1
A1,A,isolated_m7,0,my7,4.921486109e-09,4.930425974e-09,5.74168907e-09,5.732503354e-09,0.8262247775,1
A1,A,isolated_m7,0,my8,4.946983125e-09,4.955755111e-09,5.769727061e-09,5.760006002e-09,0.8260119527,1
A1,A,isolated_m7,0,my9,4.97237228e-09,4.981159533e-09,5.797340639e-09,5.787734434e-09,0.8267138443,1
A1,A,isolated_m7,0,medium_out,5.209373153e-09,5.217970637e-09,6.060685501e-09,6.051241947e-09,0.8244083692,1
A2,A,isolated_m8,1,x7,1.799451392e-08,1.80015856e-08,1.880852236e-08,1.880028235e-08,0.8452192485,1
A2,A,isolated_m8,1,x8,1.802022929e-08,1.802737125e-08,1.883625356e-08,1.882798855e-08,0.8431669722,1
A2,A,isolated_m8,1,x9,1.804601664e-08,1.80530957e-08,1.886369612e-08,1.885598314e-08,0.8443098114,1
A2,A,isolated_m8,1,x10,1.807156635e-08,1.80787574e-08,1.889161526e-08,1.888352123e-08,0.8446546843,1
A2,A,isolated_m8,1,my6,1.816877564e-08,1.817767044e-08,1.899995061e-08,1.899091857e-08,0.8249025626,1
A2,A,isolated_m8,1,my7,1.81277966e-08,1.813649379e-08,1.89543577e-08,1.89452924e-08,0.8245792889,1
A2,A,isolated_m8,1,my8,1.808662149e-08,1.809532707e-08,1.890864127e-08,1.889971247e-08,0.8262592186,1
A2,A,isolated_m8,1,my9,1.811194529e-08,1.812079414e-08,1.893748538e-08,1.892744781e-08,0.8261004555,1
A2,A,isolated_m8,1,medium_out,1.841572893e-08,1.842431249e-08,1.927387482e-08,1.926460813e-08,0.8250968183,1
A3,A,isolated_m9,2,x7,3.115529251e-08,3.116236459e-08,3.196831518e-08,3.196000981e-08,0.8436689546,1
A3,A,isolated_m9,2,x8,3.118074056e-08,3.118796586e-08,3.199615779e-08,3.19878247e-08,0.8442786352,1
A3,A,isolated_m9,2,x9,3.120625785e-08,3.121359791e-08,3.202377227e-08,3.201573029e-08,0.8438991173,1
A3,A,isolated_m9,2,x10,3.123237629e-08,3.123949697e-08,3.205164621e-08,3.204357236e-08,0.8437579271,1
A3,A,isolated_m9,2,my6,3.139626127e-08,3.140508202e-08,3.223334415e-08,3.222404291e-08,0.8253599207,1
A3,A,isolated_m9,2,my7,3.135514636e-08,3.136393593e-08,3.218775933e-08,3.21784455e-08,0.8250526148,1
A3,A,isolated_m9,2,my8,3.131390789e-08,3.132279304e-08,3.214213485e-08,3.213304864e-08,0.8249097542,1
A3,A,isolated_m9,2,my9,3.127278183e-08,3.128166748e-08,3.209661631e-08,3.20875176e-08,0.8263711847,1
A3,A,isolated_m9,2,medium_out,3.164311279e-08,3.165177689e-08,3.250843824e-08,3.249855312e-08,0.8247539632,1
B1,B,m7_to_m8_2p7,3,x7,4.250496464e-08,4.251222631e-08,4.331897048e-08,4.331115836e-08,0.8402558507,1
B1,B,m7_to_m8_2p7,3,x8,4.253070206e-08,4.253786501e-08,4.33465572e-08,4.333902133e-08,0.8376108034,1
B1,B,m7_to_m8_2p7,3,x9,4.25563438e-08,4.256337423e-08,4.337464154e-08,4.336695054e-08,0.8346712577,1
B1,B,m7_to_m8_2p7,3,x10,4.25818612e-08,4.258888171e-08,4.34019191e-08,4.339429707e-08,0.8420351656,1
B1,B,m7_to_m8_2p7,3,my6,4.261214698e-08,4.262107206e-08,4.343801902e-08,4.342855866e-08,0.8251197799,1
B1,B,m7_to_m8_2p7,3,my7,4.257109759e-08,4.257994977e-08,4.339214007e-08,4.338295355e-08,0.8262578074,1
B1,B,m7_to_m8_2p7,3,my8,4.259671466e-08,4.2605508e-08,4.342016381e-08,4.341045128e-08,0.826026435,1
B1,B,m7_to_m8_2p7,3,my9,4.262222138e-08,4.263100586e-08,4.344776771e-08,4.343818187e-08,0.8267077568,1
B1,B,m7_to_m8_2p7,3,medium_out,4.285878293e-08,4.286758512e-08,4.371107771e-08,4.370161325e-08,0.8245829807,1
B1,B,m7_to_m8_2p7,4,x7,5.020521794e-08,5.021227881e-08,5.101752166e-08,5.100965314e-08,0.8353967541,1
B1,B,m7_to_m8_2p7,4,x8,5.023103571e-08,5.023826086e-08,5.104486749e-08,5.103705478e-08,0.8402615602,1
B1,B,m7_to_m8_2p7,4,x9,5.02569018e-08,5.026408161e-08,5.10724538e-08,5.106491795e-08,0.8376168183,1
B1,B,m7_to_m8_2p7,4,x10,5.028251787e-08,5.028954481e-08,5.110053813e-08,5.109284715e-08,0.8346717009,1
B1,B,m7_to_m8_2p7,4,my6,5.037972438e-08,5.03886223e-08,5.120946067e-08,5.120017448e-08,0.8244597932,1
B1,B,m7_to_m8_2p7,4,my7,5.033868439e-08,5.034752655e-08,5.116401141e-08,5.115458545e-08,0.8254207604,1
B1,B,m7_to_m8_2p7,4,my8,5.0297433e-08,5.030630002e-08,5.111790645e-08,5.110887491e-08,0.8262577777,1
B1,B,m7_to_m8_2p7,4,my9,5.032278057e-08,5.033178748e-08,5.114646158e-08,5.113638161e-08,0.8262963737,1
B1,B,m7_to_m8_2p7,4,medium_out,5.062661186e-08,5.063524955e-08,5.148427148e-08,5.14743196e-08,0.8246823198,1
B2,B,m9_to_m8_2p7,5,x7,6.156441792e-08,6.157136827e-08,6.237813953e-08,6.237033811e-08,0.8350485586,1
B2,B,m9_to_m8_2p7,5,x8,6.158997315e-08,6.15972909e-08,6.240620985e-08,6.239844766e-08,0.8388559072,1
B2,B,m9_to_m8_2p7,5,x9,6.161588965e-08,6.16230191e-08,6.243410273e-08,6.242623436e-08,0.8354120048,1
B2,B,m9_to_m8_2p7,5,x10,6.16417835e-08,6.16487594e-08,6.246133249e-08,6.245367053e-08,0.8402539011,1
B2,B,m9_to_m8_2p7,5,my6,6.180576319e-08,6.181440488e-08,6.264331713e-08,6.26343885e-08,0.8250781866,1
B2,B,m9_to_m8_2p7,5,my7,6.176452279e-08,6.177331529e-08,6.259786793e-08,6.258889234e-08,0.8249966752,1
B2,B,m9_to_m8_2p7,5,my8,6.172336043e-08,6.173222775e-08,6.255269659e-08,6.254326252e-08,0.8251008118,1
B2,B,m9_to_m8_2p7,5,my9,6.168214834e-08,6.16909937e-08,6.250684818e-08,6.249764459e-08,0.82641423,1
B2,B,m9_to_m8_2p7,5,medium_out,6.205263679e-08,6.206115686e-08,6.29176837e-08,6.290718405e-08,0.8241132399,1
B2,B,m9_to_m8_2p7,6,x7,6.926498114e-08,6.927193063e-08,7.007812399e-08,7.007038123e-08,0.8390589726,1
B2,B,m9_to_m8_2p7,6,x8,6.929066326e-08,6.929775692e-08,7.01060077e-08,7.009814431e-08,0.8358401031,1
B2,B,m9_to_m8_2p7,6,x9,6.931659144e-08,6.932375634e-08,7.013324161e-08,7.012559405e-08,0.8401795676,1
B2,B,m9_to_m8_2p7,6,x10,6.934220195e-08,6.934914193e-08,7.016092578e-08,7.015321681e-08,0.8385862438,1
B2,B,m9_to_m8_2p7,6,my6,6.943924225e-08,6.94479805e-08,7.026979175e-08,7.026081222e-08,0.8249998631,1
B2,B,m9_to_m8_2p7,6,my7,6.939802358e-08,6.94068453e-08,7.022461905e-08,7.02151825e-08,0.8251031646,1
B2,B,m9_to_m8_2p7,6,my8,6.935678553e-08,6.936576882e-08,7.017877002e-08,7.016956469e-08,0.8264164271,1
B2,B,m9_to_m8_2p7,6,my9,6.938238198e-08,6.939131137e-08,7.020664437e-08,7.019713157e-08,0.8264203265,1
B2,B,m9_to_m8_2p7,6,medium_out,6.968570252e-08,6.96943578e-08,7.054334804e-08,7.053419421e-08,0.8252817391,1
B3,B,m8_to_m8_2p7,7,x7,8.061514838e-08,8.062221169e-08,8.142820921e-08,8.141986882e-08,0.8442865474,1
