vdd_v,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,valid,reason
0.8,0,coarse,0,0,xor_29,5e-09,5.824199238e-09,6.588652511e-09,1588.6525110000002,1.107605765e-08,False,1,
0.8,0,coarse,0,0,medium_out,5e-09,5.947266814e-09,6.645607093e-09,1645.6070929999998,1.125827266e-08,False,1,
0.8,0,coarse,0,0,dff_ck,5e-09,5.994059532e-09,6.810561316e-09,1810.5613159999996,1.130486224e-08,False,1,
0.8,1,coarse,1,0,xor_29,1.331e-08,1.413406965e-08,1.489764395e-08,1587.6439500000006,1.938566529e-08,False,1,
0.8,1,coarse,1,0,medium_out,1.331e-08,1.432457729e-08,1.502784229e-08,1717.8422900000005,1.96346026e-08,False,1,
0.8,1,coarse,1,0,dff_ck,1.331e-08,1.437133299e-08,1.519329965e-08,1883.2996499999997,1.968124065e-08,False,1,
0.8,2,coarse,2,0,xor_29,2.1620000000000004e-08,2.244344454e-08,2.320840377e-08,1588.403769999996,2.769572778e-08,False,1,
0.8,2,coarse,2,0,medium_out,2.1620000000000004e-08,2.270091851e-08,2.34114779e-08,1791.4778999999944,2.801134965e-08,False,1,
0.8,2,coarse,2,0,dff_ck,2.1620000000000004e-08,2.27474685e-08,2.357678745e-08,1956.7874499999948,2.805810646e-08,False,1,
0.8,3,coarse,3,0,xor_29,2.9930000000000004e-08,3.07539304e-08,3.151771658e-08,1587.7165799999968,3.600567659e-08,False,1,
0.8,3,coarse,3,0,medium_out,2.9930000000000004e-08,3.107779763e-08,3.17952079e-08,1865.2078999999956,3.638856965e-08,False,1,
0.8,3,coarse,3,0,dff_ck,2.9930000000000004e-08,3.112456708e-08,3.196062156e-08,2030.6215599999994,3.643510604e-08,False,1,
0.8,4,coarse,4,0,xor_29,3.8240000000000004e-08,3.906442308e-08,3.982863013e-08,1588.6301299999993,4.431560066e-08,False,1,
0.8,4,coarse,4,0,medium_out,3.8240000000000004e-08,3.945547545e-08,4.017892843e-08,1938.9284299999933,4.476515315e-08,False,1,
0.8,4,coarse,4,0,dff_ck,3.8240000000000004e-08,3.950210723e-08,4.034408906e-08,2104.089059999998,4.481177359e-08,False,1,
0.8,5,coarse,5,0,xor_29,4.655e-08,4.737316915e-08,4.81382006e-08,1588.2005999999951,5.262573205e-08,False,1,
0.8,5,coarse,5,0,medium_out,4.655e-08,4.78311262e-08,4.856092683e-08,2010.9268299999949,5.314247621e-08,False,1,
0.8,5,coarse,5,0,dff_ck,4.655e-08,4.787783295e-08,4.872914147e-08,2179.1414699999987,5.318913718e-08,False,1,
0.8,6,coarse,6,0,xor_29,5.486e-08,5.568315909e-08,5.644697797e-08,1586.977969999998,6.093574857e-08,False,1,
0.8,6,coarse,6,0,medium_out,5.486e-08,5.620797979e-08,5.69449522e-08,2084.9521999999965,6.151956414e-08,False,1,
0.8,6,coarse,6,0,dff_ck,5.486e-08,5.625452371e-08,5.711162364e-08,2251.6236399999975,6.156614385e-08,False,1,
0.8,7,coarse,7,0,xor_29,6.317e-08,6.399385826e-08,6.475641679e-08,1586.416789999994,6.924592957e-08,False,1,
0.8,7,coarse,7,0,medium_out,6.317e-08,6.458622801e-08,6.532897045e-08,2158.970450000001,6.989673316e-08,False,1,
0.8,7,coarse,7,0,dff_ck,6.317e-08,6.4632727e-08,6.549557711e-08,2325.577109999991,6.994360871e-08,False,1,
0.8,8,coarse,8,0,xor_29,7.147999999999999e-08,7.230361062e-08,7.306577948e-08,1585.7794800000095,7.755568273e-08,False,1,
0.8,8,coarse,8,0,medium_out,7.147999999999999e-08,7.296241496e-08,7.371115015e-08,2231.150150000009,7.827279189e-08,False,1,
0.8,8,coarse,8,0,dff_ck,7.147999999999999e-08,7.300918616e-08,7.387716079e-08,2397.1607900000117,7.831983531e-08,False,1,
0.8,9,coarse,9,0,xor_29,7.978999999999998e-08,8.061361143e-08,8.137625456e-08,1586.254560000024,8.586548635e-08,False,1,
0.8,9,coarse,9,0,medium_out,7.978999999999998e-08,8.133938334e-08,8.20962139e-08,2306.213900000021,8.651601636e-08,False,1,
0.8,9,coarse,9,0,dff_ck,7.978999999999998e-08,8.138605248e-08,8.226475678e-08,2474.7567800000193,8.65627361e-08,False,1,
0.8,10,fine_entry,8,0,xor_29,8.809999999999996e-08,8.892278171e-08,8.968505086e-08,1585.0508600000358,9.417531322e-08,False,1,
0.8,10,fine_entry,8,0,medium_out,8.809999999999996e-08,8.958147408e-08,9.032968847e-08,2229.688470000034,9.482557165e-08,False,1,
0.8,10,fine_entry,8,0,dff_ck,8.809999999999996e-08,8.962819195e-08,9.04975017e-08,2397.5017000000407,9.487269507e-08,False,1,
0.8,11,fine,8,1,xor_29,9.640999999999995e-08,9.723390637e-08,9.799596039e-08,1585.9603900000538,1.009759523e-07,False,1,
0.8,11,fine,8,1,medium_out,9.640999999999995e-08,9.789264395e-08,9.864193751e-08,2231.9375100000457,1.016259939e-07,False,1,
0.8,11,fine,8,1,dff_ck,9.640999999999995e-08,9.793996032e-08,9.881852689e-08,2408.5268900000497,1.016733832e-07,False,1,
0.8,12,lock_hold,8,1,xor_29,1.0320999999999994e-07,1.040344761e-07,1.04795624e-07,1585.6240000000507,,False,1,
0.8,12,lock_hold,8,1,medium_out,1.0320999999999994e-07,1.046931196e-07,1.054401835e-07,2230.1835000000574,,False,1,
0.8,12,lock_hold,8,1,dff_ck,1.0320999999999994e-07,1.047404571e-07,1.056185612e-07,2408.5612000000574,,False,1,
