vdd_v,probe_index,protocol_phase,medium_code,fine_code,launch_time_s,q_read_time_s,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,q_read_v,q_logic,D_code_ps,W_xor_ps,xor_peak_v,ck_peak_v,static_D_code_ps,dynamic_D_code_ps,delta_D_ps,static_W_xor_ps,dynamic_W_xor_ps,delta_W_ps,static_Q,dynamic_Q,valid,reason
0.95,0,coarse,0,0,1.9999999999999997e-09,4.3e-09,2.532031196e-09,2.913488112e-09,2.674974688e-09,0.9499996984,1,142.94349199999985,381.4569159999998,1.0052112097,0.9491274225,142.96548199999998,142.94349199999985,-0.021990000000130294,381.01022000000006,381.4569159999998,0.4466959999997471,1,1,1,
0.95,1,coarse,1,0,9.51e-09,1.1810000000000001e-08,1.004222582e-08,1.042377752e-08,1.022898457e-08,0.9499996989,1,186.7587500000003,381.5516999999991,1.0010399555,0.9491806352,186.72112400000017,186.7587500000003,0.037626000000130944,380.89897500000006,381.5516999999991,0.652724999999009,1,1,1,
0.95,2,coarse,2,0,1.7020000000000003e-08,1.9320000000000004e-08,1.755219263e-08,1.793345615e-08,1.77827416e-08,0.9499997054,1,230.5489700000012,381.26352000000117,1.0035603552,0.9491592701,230.60217800000012,230.5489700000012,-0.05320799999893211,380.864695,381.26352000000117,0.3988250000011817,1,1,1,
0.95,3,coarse,3,0,2.4530000000000005e-08,2.6830000000000006e-08,2.506198711e-08,2.544298791e-08,2.533632728e-08,0.9499997012,1,274.3401700000011,381.00080000000213,0.9964827919,0.949511005,274.33793900000006,274.3401700000011,0.0022310000010179465,381.00093000000027,381.00080000000213,-0.00012999999813700924,1,1,1,
0.95,4,coarse,4,0,3.204e-08,3.434e-08,3.257232278e-08,3.295360741e-08,3.289057585e-08,0.9499997523,1,318.2530699999951,381.28462999999783,0.9994711629,0.9494840314,318.10774700000013,318.2530699999951,0.1453229999949599,381.16704600000014,381.28462999999783,0.11758399999769154,1,1,1,
0.95,5,coarse,5,0,3.955e-08,4.185e-08,4.008217987e-08,4.046333686e-08,4.044432519e-08,0.9499992854,1,362.1453199999982,381.1569899999975,1.0038553208,0.9498673631,361.8638980000001,362.1453199999982,0.2814219999980878,381.26386600000006,381.1569899999975,-0.1068760000025577,1,1,1,
0.95,6,coarse,6,0,4.706e-08,4.936e-08,4.75918073e-08,4.797337523e-08,4.79975485e-08,1.004874563e-07,0,405.7412000000007,381.56792999999715,0.9957627858,0.9500399511,405.7418970000002,405.7412000000007,-0.0006969999995476428,381.36341500000026,381.56792999999715,0.2045149999968885,0,0,1,
0.95,7,fine_entry,5,0,5.457e-08,5.687e-08,5.510215108e-08,5.548354708e-08,5.546396207e-08,0.9499996288,1,361.810989999998,381.39599999999575,1.0036285173,0.9498127572,361.8638980000001,361.810989999998,-0.05290800000210538,381.26386600000006,381.39599999999575,0.13213399999568765,1,1,1,
0.95,8,fine,5,1,6.207999999999998e-08,6.437999999999998e-08,6.261203367e-08,6.299328408e-08,6.297965417e-08,-3.981783147e-08,0,367.6205000000068,381.2504100000005,1.0010976127,0.9485646401,367.44745700000004,367.6205000000068,0.1730430000067713,381.27310500000016,381.2504100000005,-0.02269499999965774,0,0,1,
0.95,9,lock_hold,5,1,6.807999999999998e-08,7.037999999999999e-08,6.861219741e-08,6.899352012e-08,6.897979496e-08,-2.628039303e-07,0,367.5975500000003,381.3227099999954,1.0050626596,0.9487754404,367.44745700000004,367.5975500000003,0.15009300000025405,381.27310500000016,381.3227099999954,0.04960499999526746,0,0,1,
1.1,0,coarse,0,0,1.9999999999999997e-09,4.3e-09,2.406870731e-09,2.64645966e-09,2.516881329e-09,1.0999996639,1,110.01059800000002,239.58892900000026,1.1580265882,1.0797171027,110.08479699999994,110.01059800000002,-0.07419899999992197,239.63893399999998,239.58892900000026,-0.05000499999971453,1,1,1,
1.1,1,coarse,1,0,9.51e-09,1.1810000000000001e-08,9.916535167e-09,1.015615495e-08,1.0059709e-08,1.0999996637,1,143.1738330000008,239.61978300000118,1.1561966173,1.0803829509,143.16814399999998,143.1738330000008,0.005689000000813849,239.622504,239.61978300000118,-0.0027209999988144773,1,1,1,
1.1,2,coarse,2,0,1.7020000000000003e-08,1.9320000000000004e-08,1.742683993e-08,1.766664224e-08,1.760305078e-08,1.0999996614,1,176.2108499999996,239.80231000000052,1.1586096011,1.0807402097,176.28546599999993,176.2108499999996,-0.07461600000033286,239.56472400000007,239.80231000000052,0.23758600000044794,1,1,1,
1.1,3,coarse,3,0,2.4530000000000005e-08,2.6830000000000006e-08,2.493666317e-08,2.517619305e-08,2.514581432e-08,1.0999996128,1,209.1511499999998,239.52987999999854,1.1578982867,1.0812357124,209.2701169999999,209.1511499999998,-0.11896700000011151,239.57401199999998,239.52987999999854,-0.04413200000144002,1,1,1,
1.1,4,coarse,4,0,3.204e-08,3.434e-08,3.244652595e-08,3.268644421e-08,3.268902529e-08,3.494703644e-08,0,242.49933999999783,239.91826000000026,1.1550402268,1.0809959184,242.43341899999996,242.49933999999783,0.06592099999787138,239.5830170000001,239.91826000000026,0.33524300000016183,0,0,1,
1.1,5,fine_entry,3,0,3.955e-08,4.185e-08,3.995658554e-08,4.019622258e-08,4.016589781e-08,1.0999996836,1,209.31226999999623,239.63704000000027,1.157829161,1.0810629255,209.2701169999999,209.31226999999623,0.042152999996318385,239.57401199999998,239.63704000000027,0.06302800000028697,1,1,1,
1.1,6,fine,3,1,4.706e-08,4.936e-08,4.746685489e-08,4.770679148e-08,4.768152159e-08,1.0999996563,1,214.66669999999692,239.93658999999897,1.1553711615,1.0755151087,214.70708099999993,214.66669999999692,-0.04038100000300915,239.56348299999996,239.93658999999897,0.37310699999900976,1,1,1,
1.1,7,fine,3,2,5.457e-08,5.687e-08,5.497662377e-08,5.521654486e-08,5.519721549e-08,1.0999996726,1,220.59171999999936,239.9210900000023,1.1579264052,1.068180066,220.6074400000001,220.59171999999936,-0.015720000000754908,239.5622170000001,239.9210900000023,0.35887300000220534,1,1,1,
1.1,8,fine,3,3,6.207999999999998e-08,6.437999999999998e-08,6.248664071e-08,6.272673283e-08,6.271353942e-08,1.0999995216,1,226.89871000000326,240.09212000000173,1.1578964981,1.0598214303,226.905802,226.89871000000326,-0.007091999996731602,239.56533900000002,240.09212000000173,0.526781000001705,1,1,1,
1.1,9,fine,3,4,6.958999999999998e-08,7.188999999999998e-08,6.999651037e-08,7.023630949e-08,7.022991582e-08,-1.068374196e-07,0,233.40544999999062,239.79911999999766,1.1570507046,1.0488492587,233.503808,233.40544999999062,-0.09835800000936956,239.5685480000001,239.79911999999766,0.23057199999755085,0,0,1,
1.1,10,lock_hold,3,4,7.558999999999998e-08,7.788999999999998e-08,7.599659583e-08,7.623609662e-08,7.623002756e-08,-6.76595464e-08,0,233.43172999999436,239.50079000000233,1.1580507631,1.0490400676,233.503808,233.43172999999436,-0.07207800000563225,239.5685480000001,239.50079000000233,-0.06775799999778087,0,0,1,
0.8,0,coarse,0,0,1.9999999999999997e-09,4.3e-09,2.802185581e-09,3.585478042e-09,3.01743614e-09,0.7999996341,1,215.25055899999992,783.292461,0.8500389472,0.8031497585,215.017507,215.25055899999992,0.23305199999992965,784.9355439999999,783.292461,-1.6430829999999332,1,1,1,
0.8,1,coarse,1,0,9.51e-09,1.1810000000000001e-08,1.031134965e-08,1.1095885e-08,1.059345441e-08,0.7999996129,1,282.10475999999977,784.53535,0.8491343389,0.8030187797,281.9396919999999,282.10475999999977,0.16506799999984878,784.9805110000001,784.53535,-0.4451610000000983,1,1,1,
0.8,2,coarse,2,0,1.7020000000000003e-08,1.9320000000000004e-08,1.782184241e-08,1.860555364e-08,1.81710263e-08,0.7999995048,1,349.1838900000012,783.7112300000007,0.8461276472,0.8031794705,348.8480639999999,349.1838900000012,0.3358260000013047,784.5465189999998,783.7112300000007,-0.8352889999990794,1,1,1,
0.8,3,coarse,3,0,2.4530000000000005e-08,2.6830000000000006e-08,2.533191826e-08,2.611636154e-08,2.574795274e-08,0.7999990102,1,416.0344799999983,784.44328,0.8477636574,0.8033930634,415.91187299999996,416.0344799999983,0.12260699999836788,784.284725,784.44328,0.15855499999997846,1,1,1,
0.8,4,coarse,4,0,3.204e-08,3.434e-08,3.284160036e-08,3.362695987e-08,3.332471432e-08,0.7999953016,1,483.1139599999957,785.3595099999955,0.8468816767,0.8031018247,482.7835089999998,483.1139599999957,0.33045099999588956,783.833181,785.3595099999955,1.526328999995485,1,1,1,
0.8,5,coarse,5,0,3.955e-08,4.185e-08,4.035194812e-08,4.113598777e-08,4.090165103e-08,0.7999392035,1,549.7029099999994,784.0396499999991,0.8466342278,0.8033376354,549.6177949999998,549.7029099999994,0.08511499999963235,783.7060299999998,784.0396499999991,0.33361999999931413,1,1,1,
0.8,6,coarse,6,0,4.706e-08,4.936e-08,4.786180854e-08,4.86461312e-08,4.847850258e-08,0.7999752507,1,616.6940399999993,784.3226599999982,0.8481883368,0.8032261642,616.481256,616.6940399999993,0.21278399999926023,784.210052,784.3226599999982,0.11260799999820392,1,1,1,
0.8,7,coarse,7,0,5.457e-08,5.687e-08,5.537136106e-08,5.615666723e-08,5.60551115e-08,0.8000029181,1,683.7504400000006,785.3061699999972,0.8465258266,0.8028446486,683.4808700000002,683.7504400000006,0.26957000000038533,784.41886,785.3061699999972,0.8873099999972283,1,1,1,
0.8,8,coarse,8,0,6.207999999999998e-08,6.437999999999998e-08,6.288210042e-08,6.366636748e-08,6.363281092e-08,0.7999965721,1,750.7104999999999,784.2670599999938,0.8504476177,0.8031327035,750.4130759999999,750.7104999999999,0.29742399999997815,784.4063389999999,784.2670599999938,-0.1392790000061268,1,1,1,
0.8,9,coarse,9,0,6.958999999999998e-08,7.188999999999998e-08,7.039133726e-08,7.117695132e-08,7.120857054e-08,1.651684181e-07,0,817.2332800000003,785.6140600000095,0.8522955345,0.803080458,817.5376780000001,817.2332800000003,-0.30439799999987827,784.664642,785.6140600000095,0.9494180000095866,0,0,1,
