vdd_v,transition_index,transition_type,old_M,new_M,old_F,new_F,update_time_s,next_reset_release_s,next_launch_s,medium_out_quiet_peak_v,dff_ck_quiet_peak_v,xor_quiet_peak_v,configuration_ck_edge_count,status,reason
0.95,0,coarse_increment,0,1,0,0,7.500000000000001e-09,9.02e-09,9.51e-09,0.0005582768964,6.565531268e-06,2.28854431e-05,0,PASS,
0.95,1,coarse_increment,1,2,0,0,1.501e-08,1.6530000000000003e-08,1.7020000000000003e-08,1.827944684e-05,1.740874124e-06,1.207961751e-06,0,PASS,
0.95,2,coarse_increment,2,3,0,0,2.2520000000000002e-08,2.4040000000000005e-08,2.4530000000000005e-08,1.056478623e-06,6.442596253e-07,8.009121535e-07,0,PASS,
0.95,3,coarse_increment,3,4,0,0,3.0030000000000005e-08,3.155e-08,3.204e-08,9.260703533e-07,1.222929943e-06,1.819414765e-06,0,PASS,
0.95,4,coarse_increment,4,5,0,0,3.7540000000000004e-08,3.906e-08,3.955e-08,1.069821252e-06,6.692340374e-07,7.967793187e-07,0,PASS,
0.95,5,coarse_increment,5,6,0,0,4.505e-08,4.657e-08,4.706e-08,1.558353402e-06,2.408691106e-06,3.50705345e-06,0,PASS,
0.95,6,coarse_backoff,6,5,0,0,5.256e-08,5.408e-08,5.457e-08,9.654588589e-07,1.071321726e-06,2.316770798e-06,0,PASS,
0.95,7,fine_increment,5,5,0,1,6.007e-08,6.158999999999998e-08,6.207999999999998e-08,0.0001579680316,0.0452591101,1.58989848e-05,0,PASS,
1.1,0,coarse_increment,0,1,0,0,7.500000000000001e-09,9.02e-09,9.51e-09,0.0005612217983,6.325733606e-06,1.849515216e-05,0,PASS,
1.1,1,coarse_increment,1,2,0,0,1.501e-08,1.6530000000000003e-08,1.7020000000000003e-08,1.869704556e-05,3.219328537e-06,1.203515208e-06,0,PASS,
1.1,2,coarse_increment,2,3,0,0,2.2520000000000002e-08,2.4040000000000005e-08,2.4530000000000005e-08,1.890344476e-06,1.950004333e-06,9.78157561e-07,0,PASS,
1.1,3,coarse_increment,3,4,0,0,3.0030000000000005e-08,3.155e-08,3.204e-08,2.441025107e-06,2.245899475e-06,3.92332967e-06,0,PASS,
1.1,4,coarse_backoff,4,3,0,0,3.7540000000000004e-08,3.906e-08,3.955e-08,1.815310135e-06,1.736113286e-05,7.66172375e-06,0,PASS,
1.1,5,fine_increment,3,3,0,1,4.505e-08,4.657e-08,4.706e-08,0.000140509641,0.05432992857,8.685919964e-06,0,PASS,
1.1,6,fine_increment,3,3,1,2,5.256e-08,5.408e-08,5.457e-08,0.0001541053209,0.05302777617,1.719877948e-05,0,PASS,
1.1,7,fine_increment,3,3,2,3,6.007e-08,6.158999999999998e-08,6.207999999999998e-08,0.0001517343979,0.05177000249,1.281504787e-05,0,PASS,
1.1,8,fine_increment,3,3,3,4,6.757999999999999e-08,6.909999999999998e-08,6.958999999999998e-08,0.0001486689658,0.05048165884,1.161423548e-05,0,PASS,
0.8,0,coarse_increment,0,1,0,0,7.500000000000001e-09,9.02e-09,9.51e-09,0.0003743996113,4.947670279e-06,2.342531435e-05,0,PASS,
0.8,1,coarse_increment,1,2,0,0,1.501e-08,1.6530000000000003e-08,1.7020000000000003e-08,1.800560965e-05,4.756812159e-07,1.365433529e-06,0,PASS,
0.8,2,coarse_increment,2,3,0,0,2.2520000000000002e-08,2.4040000000000005e-08,2.4530000000000005e-08,9.185917191e-07,6.325285402e-07,1.320823252e-06,0,PASS,
0.8,3,coarse_increment,3,4,0,0,3.0030000000000005e-08,3.155e-08,3.204e-08,6.199762361e-07,3.153998181e-10,2.042172832e-06,0,PASS,
0.8,4,coarse_increment,4,5,0,0,3.7540000000000004e-08,3.906e-08,3.955e-08,1.399970939e-06,6.532305828e-06,2.593310433e-06,0,PASS,
0.8,5,coarse_increment,5,6,0,0,4.505e-08,4.657e-08,4.706e-08,7.71199733e-07,4.669496972e-07,1.813109738e-07,0,PASS,
0.8,6,coarse_increment,6,7,0,0,5.256e-08,5.408e-08,5.457e-08,1.17187783e-07,1.191942879e-08,6.055923209e-06,0,PASS,
0.8,7,coarse_increment,7,8,0,0,6.007e-08,6.158999999999998e-08,6.207999999999998e-08,7.416871824e-07,6.866074923e-05,3.136897503e-06,0,PASS,
0.8,8,coarse_increment,8,9,0,0,6.757999999999999e-08,6.909999999999998e-08,6.958999999999998e-08,1.865924393e-06,0.001578742723,1.825060502e-05,0,PASS,
0.8,9,coarse_backoff,9,8,0,0,7.508999999999998e-08,7.660999999999997e-08,7.709999999999997e-08,1.154102476e-05,0.02160114976,0.0002448981413,0,PASS,
0.8,10,fine_increment,8,8,0,1,8.259999999999997e-08,8.411999999999996e-08,8.460999999999996e-08,0.0001974525856,0.03630120948,3.06661999e-05,0,PASS,
