scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,Delta_D_ref_ps,Delta_R_ps
m0_probe__b0p80__v0p80__m06__f03__d5da2e707d0fc7ab8dbd,0.8,0.8,6,3,2.291693281e-09,3.076951034e-09,2.926742527e-09,5.99291487e-09,785.257753,635.0492460000002,150.20850699999983,0.8000139445,0.799997933,1,stable_high,1,7.313585163749999e-05,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f03__d5da2e707d0fc7ab8dbd,deeb081d33942424f32c2082627f5c5dea38b2fb7c73e6292b88b26101384379,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-90.06219399999986,90.29195799999991
m0_probe__b0p80__v0p80__m06__f04__f40f847c5f4e879af143,0.8,0.8,6,4,2.291693282e-09,3.076869389e-09,2.933667415e-09,6.000986493e-09,785.1761070000002,641.974133,143.20197400000018,0.8000124093,0.7999974875,1,stable_high,1,0.00026273759175,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f04__f40f847c5f4e879af143,fe0db6b8567e6f02fbb1bb9973db33b86420bdbab75a7a8f2229dddd6b90ed5d,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-83.13730699999996,83.28542500000026
m0_probe__b0p80__v0p80__m06__f05__82ba66d3dd24cf5a2162,0.8,0.8,6,5,2.291693216e-09,3.076847323e-09,2.941304492e-09,6.007690252e-09,785.1541069999998,649.611276,135.54283099999986,0.8000089744,0.7999969236,1,stable_high,1,0.000357245404,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f05__82ba66d3dd24cf5a2162,bd2999cdfe9d7725ee51b3623c29dd7ba61b6a3ed8bbb29d0bfe84c0878adff0,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-75.50016400000004,75.62628199999995
m0_probe__b0p80__v0p80__m06__f06__681caf81dc4d76ac1a9a,0.8,0.8,6,6,2.291693126e-09,3.076896234e-09,2.949473122e-09,6.016084731e-09,785.2031080000003,657.779996,127.42311200000029,0.8000061925,0.7999961008,1,stable_high,1,0.00055728170425,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f06__681caf81dc4d76ac1a9a,6b94e29ffd05302b11c3006a290f444856e6ef8a3a349ca6e8ef35249c787310,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-67.33144400000003,67.50656300000037
m0_probe__b0p80__v0p80__m06__f07__e8bdcfe0680d5c291b01,0.8,0.8,6,7,2.291693233e-09,3.076945628e-09,2.958267007e-09,6.024872225e-09,785.252395,666.573774,118.67862100000002,0.8000041374,0.7999948319,1,stable_high,1,0.0006660171984999999,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f07__e8bdcfe0680d5c291b01,286575961a9239df84294d4ceca77e1c526b898c48029f7f0ba8166b9f5c5ddc,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-58.53766600000006,58.7620720000001
m0_probe__b0p80__v0p80__m06__f08__5176ac8596e5ee192dd3,0.8,0.8,6,8,2.29169318e-09,3.076974581e-09,2.967632662e-09,6.034217789e-09,785.2814009999997,675.9394820000001,109.34191899999962,0.8000026159,0.7999947473,1,stable_high,1,0.0012287880782499998,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f08__5176ac8596e5ee192dd3,c8fb47f9551bfb62fff0be8eb32a00be68ae684e265d29aba668f0c3d2e37d2b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-49.171957999999904,49.4253699999997
m0_probe__b0p80__v0p80__m06__f09__d4da300331b16f901a02,0.8,0.8,6,9,2.291693145e-09,3.076990746e-09,2.977436183e-09,6.043858661e-09,785.2976010000004,685.7430380000002,99.55456300000026,-0.0001706155053,4.178428676e-07,0,stable_low,1,0.00248394402875,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m06__f09__d4da300331b16f901a02,3fc7683f82729081cabd9ae092001f0ccb943ff3bd3438cc20e47378ffea3c90,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-39.36840199999983,39.63801400000034
m0_probe__b0p80__v0p80__m07__f03__ca005bc511262742bc1c,0.8,0.8,7,3,2.291693281e-09,3.076676041e-09,2.993983503e-09,6.059727743e-09,784.9827600000002,702.2902220000001,82.69253800000013,0.8000026441,0.7999970625,1,stable_high,1,0.0011373530223749999,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f03__ca005bc511262742bc1c,06fdbc1ddb93b54e55ebc06849fac672bcb9ac00bf41c067425afde6e0a910d2,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-22.82121799999993,22.77598900000021
m0_probe__b0p80__v0p80__m07__f04__c07ea8f185e3514184fa,0.8,0.8,7,4,2.291693282e-09,3.076699187e-09,3.001068982e-09,6.067489373e-09,785.0059049999998,709.3757000000002,75.63020499999959,0.8000025013,0.7999860852,1,stable_high,1,0.00221548654,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f04__c07ea8f185e3514184fa,c17cc154d605cfa7cb60cc18885793121300b44c4ecc46499e7fe7802e6bbecd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-15.73573999999985,15.713655999999673
m0_probe__b0p80__v0p80__m07__f05__227dc62a10d225219ef5,0.8,0.8,7,5,2.291693216e-09,3.076712659e-09,3.008617087e-09,6.074868161e-09,785.0194429999999,716.9238709999998,68.09557200000006,1.03068323e-06,-1.177693431e-06,0,stable_low,1,0.0029500017237499994,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m07__f05__227dc62a10d225219ef5,8aa5663c6cd0152514758f2b7b312455a27a5f63690c9ed7e9978c1570dd0add,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-8.187569000000167,8.179023000000143
