scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,margin_level,candidate_id,mechanism_candidate_pass,mechanism_reason
m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,0.95,0.95,4,9,2.02223944e-09,2.403550248e-09,2.405032501e-09,5.440725397e-09,381.310808,382.7930610000002,-1.4822530000001848,-1.729146219e-07,-3.027015705e-07,0,stable_low,1,1.9509414557894736e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,69993a30cdc18a2708225921503060621edf01922f49635e2724b9346cb973d1,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,1,
m0_probe__b0p95__v0p90__m04__f09__4bf421bd5bbb714a3076,0.95,0.9,4,9,2.087537894e-09,2.555733618e-09,2.512138317e-09,5.555332365e-09,468.1957239999998,424.6004229999998,43.595301000000006,-7.217172873e-08,2.44810412e-07,0,stable_low,1,2.8415028644444446e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m04__f09__4bf421bd5bbb714a3076,28a7fea3a1c7bb33f962d5eb29890bf2c488525b3d6d19a74bfc2a21d94aa0df,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,1,
m0_probe__b0p95__v0p85__m04__f09__d4b4d1846b7ae8b6f65b,0.95,0.85,4,9,2.173918459e-09,2.767783894e-09,2.652996401e-09,5.705649721e-09,593.8654350000002,479.0779420000002,114.78749299999998,0.8499996736,0.8499996631,1,stable_high,1,1.6615206517647057e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m04__f09__d4b4d1846b7ae8b6f65b,fc3932b3474af7392d21e72c505a3e175b0530f8ed9aa89e68b5ec8b852ab764,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,1,
m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,0.95,0.95,5,6,2.02223944e-09,2.403657567e-09,2.424512925e-09,5.46000342e-09,381.41812700000025,402.2734850000002,-20.855357999999967,2.122490955e-07,-4.817658767e-07,0,stable_low,1,2.745143234736842e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,6752adf242e4a3ca18e656ed93657925f5714c3243336e7b2309cfdb094ff256,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,1,
m0_probe__b0p95__v0p90__m05__f06__df7d538402f423570df3,0.95,0.9,5,6,2.087537894e-09,2.555759773e-09,2.536079801e-09,5.579369665e-09,468.22187899999983,448.54190699999975,19.679972000000078,-1.288425693e-07,-1.338404831e-07,0,stable_low,1,3.3006505866666667e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m05__f06__df7d538402f423570df3,f00b1daafa1042486a90a9d48364f6dcf094234f17915fbdf9256f3a20cedec0,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,1,
m0_probe__b0p95__v0p85__m05__f06__6a852672576381d8af6c,0.95,0.85,5,6,2.173918459e-09,2.767634179e-09,2.682640002e-09,5.736654098e-09,593.7157200000003,508.72154300000017,84.9941770000001,0.8499996722,0.8499995892,1,stable_high,1,3.176029285882353e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m05__f06__6a852672576381d8af6c,dde0effb0ddaa045e9fc2a891021c83d0856a6ad06bccff662b103fbc9e73a83,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,1,
m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,0.95,0.95,5,9,2.02223944e-09,2.403659815e-09,2.448830271e-09,5.484321565e-09,381.42037500000026,426.5908310000002,-45.170455999999945,-4.75975775e-07,3.883881569e-08,0,stable_low,1,2.085702907368421e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f09__4c08b96793444fb0c90a,fec0d4952b5b6396feb5bdbfcbe35433aa65af78f29783abf8714eb4eb20a62a,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,1,
m0_probe__b0p95__v0p90__m05__f09__a22db7466e4c25938603,0.95,0.9,5,9,2.087537894e-09,2.555765979e-09,2.561782963e-09,5.605095165e-09,468.2280849999998,474.2450689999997,-6.016983999999923,-2.998313858e-07,-3.008088749e-07,0,stable_low,1,2.2897167299999998e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m05__f09__a22db7466e4c25938603,1baa4d10bec906615bd2d69206f2c57d9da8e092e03f01f532a8bbbbe24be8f6,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,1,
m0_probe__b0p95__v0p85__m05__f09__9ac31309765fff265663,0.95,0.85,5,9,2.173918459e-09,2.76767222e-09,2.709732765e-09,5.76263502e-09,593.7537610000003,535.8143060000002,57.939455000000066,-1.634349351e-07,-1.625329013e-07,0,stable_low,1,5.117532165882354e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m05__f09__9ac31309765fff265663,5da796aa235bcfc9f30918ba442d4f596fd8256acda25668a7bccc0274fdef4c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,0p95_L3,1,
m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,1.1,1.1,2,10,1.896564865e-09,2.13602518e-09,2.138980399e-09,5.161868858e-09,239.46031500000018,242.415534,-2.955218999999829,1.109787209e-07,1.3438539e-07,0,stable_low,1,2.915727718181818e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m02__f10__8be2de7da7cbf606fe9b,6eec423619479ffa8a0df1ad4db5f9d0254149b3f2b32917562462f819d2fa9b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,1,
