scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,margin_level,candidate_id,sweep_stage
m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,0.95,0.95,4,9,2.02223944e-09,2.403550248e-09,2.405032501e-09,5.440725397e-09,381.310808,382.7930610000002,-1.4822530000001848,-1.729146219e-07,-3.027015705e-07,0,stable_low,1,1.9509414557894736e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f09__c137aba3461b78cdcd33,69993a30cdc18a2708225921503060621edf01922f49635e2724b9346cb973d1,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,coarse
m0_probe__b0p95__v0p90__m04__f09__4bf421bd5bbb714a3076,0.95,0.9,4,9,2.087537894e-09,2.555733618e-09,2.512138317e-09,5.555332365e-09,468.1957239999998,424.6004229999998,43.595301000000006,-7.217172873e-08,2.44810412e-07,0,stable_low,1,2.8415028644444446e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m04__f09__4bf421bd5bbb714a3076,28a7fea3a1c7bb33f962d5eb29890bf2c488525b3d6d19a74bfc2a21d94aa0df,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,coarse
m0_probe__b0p95__v0p89__m04__f09__98353c9fa9d3f751e26d,0.95,0.89,4,9,2.102993939e-09,2.592025205e-09,2.537398601e-09,5.581992621e-09,489.0312659999998,434.40466200000003,54.62660399999976,-4.914496965e-07,-2.912019108e-07,0,stable_low,1,1.7309307606741573e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p89__m04__f09__98353c9fa9d3f751e26d,8c1b47b61d950038488b4f14a9d64f9abde800b08aab5b043c2580444e18663a,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,fine
m0_probe__b0p95__v0p88__m04__f09__d2b4e20eeb66d55d97ea,0.95,0.88,4,9,2.118834395e-09,2.631874846e-09,2.563698416e-09,5.61071899e-09,513.040451,444.8640209999999,68.17643000000004,0.8799996817,0.8799996976,1,stable_high,1,1.5798321409090908e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p88__m04__f09__d2b4e20eeb66d55d97ea,038f21e07a91cfa01881108abffa7aa1e42bff0e720703be92df4adea361dcf4,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,fine
m0_probe__b0p95__v0p85__m04__f09__d4b4d1846b7ae8b6f65b,0.95,0.85,4,9,2.173918459e-09,2.767783894e-09,2.652996401e-09,5.705649721e-09,593.8654350000002,479.0779420000002,114.78749299999998,0.8499996736,0.8499996631,1,stable_high,1,1.6615206517647057e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p85__m04__f09__d4b4d1846b7ae8b6f65b,fc3932b3474af7392d21e72c505a3e175b0530f8ed9aa89e68b5ec8b852ab764,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,0p95_L1,coarse
m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,0.95,0.95,5,6,2.02223944e-09,2.403657567e-09,2.424512925e-09,5.46000342e-09,381.41812700000025,402.2734850000002,-20.855357999999967,2.122490955e-07,-4.817658767e-07,0,stable_low,1,2.745143234736842e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m05__f06__551d20db3f4f9a5fb066,6752adf242e4a3ca18e656ed93657925f5714c3243336e7b2309cfdb094ff256,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,coarse
m0_probe__b0p95__v0p90__m05__f06__df7d538402f423570df3,0.95,0.9,5,6,2.087537894e-09,2.555759773e-09,2.536079801e-09,5.579369665e-09,468.22187899999983,448.54190699999975,19.679972000000078,-1.288425693e-07,-1.338404831e-07,0,stable_low,1,3.3006505866666667e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p90__m05__f06__df7d538402f423570df3,f00b1daafa1042486a90a9d48364f6dcf094234f17915fbdf9256f3a20cedec0,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,coarse
m0_probe__b0p95__v0p89__m05__f06__e06f6c418455f760a678,0.95,0.89,5,6,2.102993939e-09,2.59195461e-09,2.561924938e-09,5.607227331e-09,488.960671,458.93099899999993,30.029672000000062,-2.05088727e-07,-4.80035999e-07,0,stable_low,1,1.8748460887640448e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p89__m05__f06__e06f6c418455f760a678,2abf525e5a267ba1b008d12f15913734f53b44252c9c79fc621cb6a87ed39e06,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,fine
m0_probe__b0p95__v0p88__m05__f06__79414b8f660e8848cf73,0.95,0.88,5,6,2.118834395e-09,2.63189568e-09,2.589464558e-09,5.635548311e-09,513.0612850000001,470.630163,42.43112200000013,-2.420272474e-07,-2.432747259e-07,0,stable_low,1,1.8088317431818182e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p88__m05__f06__79414b8f660e8848cf73,e1197d9e821b97af502651b89eb6d6ce39b8daabae4e712b92bcf0f009e9ba82,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,fine
m0_probe__b0p95__v0p87__m05__f06__ad9c820dccb50d90c1f4,0.95,0.87,5,6,2.136323584e-09,2.673419565e-09,2.619003164e-09,5.667994538e-09,537.0959810000002,482.67958000000004,54.41640100000012,7.585175265e-08,1.759925546e-08,0,stable_low,1,1.7324787218390805e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p87__m05__f06__ad9c820dccb50d90c1f4,d4de8a24883d97533e7e08e9ab2aac2195a1668001fb99711ecb767ea54bb7bd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,0p95_L2,fine
