vdd_v,code,selected_tap,scenario,t_xor_rise_s,t_xor_fall_s,w_s_int_ps,t_ck_rise_s,d_code_ps,q_final_v,q_final,w_s_frozen_ps,delta_w_load_ps,q_expected,q_matches_expected,valid
1.1,0,10,scenarios/000_tt25_v1p10_code0,1.407567106e-09,1.64707832e-09,239.51121400000014,1.583073678e-09,175.50657200000006,1.0999996645,1,242.236313,-2.725098999999858,1,1,1
1.1,1,12,scenarios/001_tt25_v1p10_code1,1.407567106e-09,1.647050649e-09,239.48354300000017,1.606574239e-09,199.00713300000018,1.0999996629,1,242.236313,-2.7527699999998276,1,1,1
1.1,2,14,scenarios/002_tt25_v1p10_code2,1.407567106e-09,1.64709989e-09,239.53278400000005,1.630418902e-09,222.8517960000001,1.0999996651,1,242.236313,-2.7035289999999463,1,1,1
1.1,3,16,scenarios/003_tt25_v1p10_code3,1.407567106e-09,1.647069257e-09,239.50215100000005,1.653940085e-09,246.37297900000016,1.0999996662,1,242.236313,-2.734161999999941,0,0,1
1.1,4,18,scenarios/004_tt25_v1p10_code4,1.407567106e-09,1.647040063e-09,239.47295700000012,1.678087097e-09,270.5199910000001,-3.249296704e-08,0,242.236313,-2.763355999999874,0,1,1
1.1,5,20,scenarios/005_tt25_v1p10_code5,1.407567106e-09,1.647078254e-09,239.511148,1.70162686e-09,294.059754,-6.912444698e-07,0,242.236313,-2.725165000000004,0,1,1
1.1,6,22,scenarios/006_tt25_v1p10_code6,1.407567106e-09,1.647075927e-09,239.5088210000002,1.725347444e-09,317.7803380000001,-1.501964099e-07,0,242.236313,-2.727491999999785,0,1,1
1.1,7,24,scenarios/007_tt25_v1p10_code7,1.407567106e-09,1.64705366e-09,239.4865540000001,1.746798286e-09,339.23118000000017,3.189602686e-07,0,242.236313,-2.749758999999898,0,1,1
0.9,0,10,scenarios/008_tt25_v0p90_code0,1.598519856e-09,2.066370755e-09,467.8508989999999,1.862313889e-09,263.79403299999996,0.8999996923,1,470.158019,-2.3071200000001113,1,1,1
0.9,1,12,scenarios/009_tt25_v0p90_code1,1.598519856e-09,2.066349098e-09,467.82924199999985,1.896621271e-09,298.1014149999998,0.8999996908,1,470.158019,-2.328777000000173,1,1,1
0.9,2,14,scenarios/010_tt25_v0p90_code2,1.598519856e-09,2.066336768e-09,467.8169120000001,1.93153428e-09,333.0144239999999,0.8999996902,1,470.158019,-2.3411069999999086,1,1,1
0.9,3,16,scenarios/011_tt25_v0p90_code3,1.598519856e-09,2.066322762e-09,467.8029060000001,1.96591627e-09,367.3964139999999,0.899999692,1,470.158019,-2.3551129999999034,1,1,1
0.9,4,18,scenarios/012_tt25_v0p90_code4,1.598519856e-09,2.066303343e-09,467.7834869999998,2.001545239e-09,403.02538300000015,0.8999996647,1,470.158019,-2.3745320000002152,1,1,1
0.9,5,20,scenarios/013_tt25_v0p90_code5,1.598519856e-09,2.06639552e-09,467.87566400000014,2.036016692e-09,437.496836,0.8999996764,1,470.158019,-2.282354999999882,1,1,1
0.9,6,22,scenarios/014_tt25_v0p90_code6,1.598519856e-09,2.06636252e-09,467.84266399999996,2.070783805e-09,472.2639490000001,0.8999996054,1,470.158019,-2.3153550000000678,0,0,1
0.9,7,24,scenarios/015_tt25_v0p90_code7,1.598519856e-09,2.066433977e-09,467.9141210000002,2.101756877e-09,503.23702100000014,1.07218968e-07,0,470.158019,-2.243897999999831,0,1,1
