stage,N,code,vdd_v,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
Stage-Count Scaling,16,0,1.1,27.96361999999997,29.0348940000001,7.244859000000064,7.390979999999725,1.0999949349,1.219788391e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c00__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,1,1.1,61.05789599999997,63.040914999999856,7.0700870000000124,7.4044970000007755,1.0999934285,1.219671263e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c01__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,7,1.1,259.6205289999999,267.39225299999976,7.314680000000012,8.851725999999898,1.0999937676,1.428554847e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c07__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,8,1.1,293.324291,301.62557299999986,7.769915999999942,7.627061000000188,1.0999926825,7.472626936e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c08__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,15,1.1,526.0021449999999,541.4076800000001,7.776758000000104,8.232221999999519,1.1000076841,1.989780632e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c15__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,16,1.1,536.2345690000001,554.0066309999996,7.344725999999895,7.624557000000448,1.0999907906,6.59440606e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c16__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,0,0.95,36.80341600000008,39.64730100000008,9.293000999999943,9.858321000000736,0.9499951776,9.191629174e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,1,0.95,80.59461999999994,85.9974359999995,8.907757000000041,9.777126000000413,0.9499951909,9.191416356e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c01__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,7,0.95,343.3973710000001,364.6896209999996,9.035788999999918,10.591957000000075,0.9499953239,9.71711633e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c07__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,8,0.95,387.46656599999994,411.35389299999963,9.23296799999988,10.147201000000509,0.9500054766,1.827955849e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c08__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Medium-Step Characterization,16,15,0.95,696.1466029999999,736.742272,9.403404999999957,9.861681999999309,0.9499775279,-1.869448687e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c15__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,16,0.95,709.355653,754.4393699999996,9.205130999999975,10.830599000000511,0.9499971166,-6.629222865e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c16__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
