stage,N,code,vdd_v,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
N8 Code Monotonicity,8,0,0.95,36.80341600000008,39.64732499999952,9.293000999999943,9.858362999999558,0.9499953922,9.191629239e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,1,0.95,80.59461999999994,85.9974359999995,8.907757000000041,9.777016000000543,0.9499951917,9.20060966e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c01__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,2,0.95,124.42178699999995,132.25445999999985,9.043369000000183,9.911699999999735,0.9499952034,9.319184185e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c02__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,3,0.95,168.34084800000002,178.78014399999964,9.242974000000036,9.463934000000203,0.9499939745,9.35471804e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c03__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,4,0.95,212.39593100000002,225.43683899999982,9.314252999999985,10.104371999999909,0.95000206,1.848807472e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c04__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,5,0.95,256.1524399999999,271.9787169999998,9.298372999999968,9.840374000000425,0.949993282,-2.851711179e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c05__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,6,0.95,300.19295299999993,318.1895899999993,9.164052000000138,10.796831000000301,0.9499949857,-9.936577448e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c06__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,7,0.95,344.20062399999995,365.57546299999956,9.196153999999916,10.827982999999776,0.9499944776,2.573543026e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c07__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,8,0.95,358.148712,381.9128390000001,9.204333000000018,10.546475999999988,0.9500037875,1.336759962e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c08__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,0,1.1,27.96361999999997,29.194898999999737,7.244859000000064,7.354551999999661,1.099994939,1.219780795e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c00__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
