stage,N,code,vdd_v,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
N8 Code Monotonicity,8,0,0.95,36.80341600000008,39.64732499999952,9.293000999999943,9.858362999999558,0.9499953922,9.191629239e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
N8 Code Monotonicity,8,8,0.95,358.148712,381.9128390000001,9.204333000000018,10.546475999999988,0.9500037875,1.336759962e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n08__c08__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,1,0,0.95,36.74088099999995,39.5675940000001,9.006910000000042,9.573005000000046,0.9499120857,-3.828503946e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n01__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,1,1,0.95,50.67479000000003,56.72726399999963,9.138910999999876,9.74366099999992,0.9500006934,5.657924202e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n01__c01__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,4,0,0.95,36.80341600000008,39.6473469999995,9.293000999999943,9.85896099999945,0.9499324158,-1.515399042e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n04__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,4,4,0.95,183.10994200000005,195.93761499999945,9.263007999999903,10.816754999999471,0.9500338033,2.203657185e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n04__c04__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,0,0.95,36.80341600000008,39.64730100000008,9.293000999999943,9.858321000000736,0.9499951776,9.191629174e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c00__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,16,0.95,709.355653,754.4393699999996,9.205130999999975,10.830599000000511,0.9499971166,-6.629222865e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c16__v0p95__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,0,1.1,27.96361999999997,29.0348940000001,7.244859000000064,7.390979999999725,1.0999949349,1.219788391e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c00__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,16,1.1,536.2345690000001,554.0066309999996,7.344725999999895,7.624557000000448,1.0999907906,6.59440606e-06,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c16__v1p10__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,0,0.8,55.85624400000003,62.166880999999904,12.976690999999974,14.387662999999938,0.799995559,7.668273699e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c00__v0p80__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
Stage-Count Scaling,16,16,0.8,1081.058544,1188.5535309999996,14.547549000000018,15.419717999999627,0.7999967424,7.606365446e-07,0,True,scenarios/path_selection_medium_stage__path_selection_medium_stage_v1__MXT2_X0P5M_A9TL40__BUF_X0P7M_A9TL40__n16__c16__v0p80__pulse_rise_fall_1ps_launch_1ns_period_6ns__intrinsic_y0_mux_output_no_external_receiver
