scenario,mode,vdd_v,initial_rvt_stages,initial_lvt_stages,capture_phase_s,sample_time_s,rvt_crossings_s,lvt_crossings_s,vdd_a_min_v,raw_xor_word,latch_word,captured_xor_word,corrected_xor_word,raw_bubble_count,start_index,end_index,one_run_length,valid,run_count,bubble_count,touches_left_boundary,touches_right_boundary,c,w
scenarios/000_fine_v1p100000000000,capture,1.1,4,0,3e-10,1.3e-09,"[1.069020134e-09,1.088269675e-09,1.107572288e-09,1.12688832e-09,1.146218733e-09,1.16553804e-09,1.184878294e-09,1.204218388e-09,1.223543704e-09,1.242899939e-09,1.26226352e-09,1.281639938e-09,1.300948554e-09,1.320312367e-09,1.339647566e-09,1.358983608e-09,1.378311366e-09,1.397629271e-09,1.416992927e-09,1.436376043e-09,1.455650451e-09,1.474995948e-09,1.494388778e-09,1.513709711e-09,1.533111566e-09,1.552438259e-09,1.571716952e-09,1.590927392e-09,1.610288725e-09,1.628390173e-09]","[1.010558565e-09,1.023283949e-09,1.036022632e-09,1.048775095e-09,1.061550847e-09,1.074298039e-09,1.087076059e-09,1.099810623e-09,1.112560234e-09,1.125318458e-09,1.13806122e-09,1.150811045e-09,1.16354372e-09,1.176295987e-09,1.189044266e-09,1.201730463e-09,1.214472561e-09,1.227249316e-09,1.239981027e-09,1.252704267e-09,1.265525025e-09,1.278199626e-09,1.290907729e-09,1.303574622e-09,1.316385506e-09,1.329155226e-09,1.341877345e-09,1.354592825e-09,1.3673704e-09,1.378848127e-09]",1.1,000000000000111111111000000000,000000000011111111100000000000,000000000011111111100000000000,000000000011111111100000000000,0,10,18,9,1,1,0,0,0,28,9
scenarios/001_fine_v1p090000000000,capture,1.09,4,0,3e-10,1.3e-09,"[1.070266672e-09,1.089863447e-09,1.109536752e-09,1.129252292e-09,1.148959479e-09,1.168678233e-09,1.188386808e-09,1.20810518e-09,1.227823744e-09,1.247522826e-09,1.267204378e-09,1.286923739e-09,1.306540671e-09,1.326347379e-09,1.346028427e-09,1.365746948e-09,1.385432791e-09,1.405082307e-09,1.424866172e-09,1.444507753e-09,1.464260825e-09,1.483999892e-09,1.503655029e-09,1.523443806e-09,1.54306582e-09,1.562760221e-09,1.582459858e-09,1.602067559e-09,1.621744686e-09,1.640139084e-09]","[1.010683344e-09,1.023607594e-09,1.03653704e-09,1.049473709e-09,1.062441626e-09,1.075376598e-09,1.08833782e-09,1.101269308e-09,1.11419064e-09,1.127142199e-09,1.140085098e-09,1.152990625e-09,1.165948943e-09,1.178898371e-09,1.191810193e-09,1.204750583e-09,1.217702517e-09,1.230636255e-09,1.243523688e-09,1.256468651e-09,1.269395265e-09,1.282275541e-09,1.295220559e-09,1.308059921e-09,1.321034142e-09,1.333987782e-09,1.34690459e-09,1.359811829e-09,1.372779352e-09,1.384459116e-09]",1.09,000000000000111111111000000000,000000000011111111100000000000,000000000011111111100000000000,000000000011111111100000000000,0,10,18,9,1,1,0,0,0,28,9
scenarios/002_fine_v1p080000000000,capture,1.08,4,0,3e-10,1.3e-09,"[1.071597886e-09,1.091568151e-09,1.111647322e-09,1.131759414e-09,1.15185231e-09,1.171950596e-09,1.192053143e-09,1.212147636e-09,1.232208301e-09,1.252298085e-09,1.272369812e-09,1.292458452e-09,1.312637212e-09,1.33274882e-09,1.352821511e-09,1.372905998e-09,1.392953301e-09,1.413059623e-09,1.433094378e-09,1.453070481e-09,1.473165426e-09,1.4931938e-09,1.513392259e-09,1.533455971e-09,1.553508446e-09,1.57352684e-09,1.593606638e-09,1.613709233e-09,1.633792592e-09,1.652487858e-09]","[1.010802593e-09,1.023946898e-09,1.037088181e-09,1.050216218e-09,1.06336274e-09,1.076498122e-09,1.08964431e-09,1.102777491e-09,1.115898117e-09,1.129034486e-09,1.142178874e-09,1.155302729e-09,1.168407707e-09,1.181571841e-09,1.194705864e-09,1.207819208e-09,1.220870781e-09,1.234023132e-09,1.247118376e-09,1.26023777e-09,1.273337316e-09,1.286471095e-09,1.299624307e-09,1.312706282e-09,1.325814739e-09,1.338954487e-09,1.352139912e-09,1.36524472e-09,1.378371451e-09,1.390204117e-09]",1.08,000000000001111111110000000000,000000000011111111000000000000,000000000011111111000000000000,000000000011111111000000000000,0,10,17,8,1,1,0,0,0,27,8
scenarios/003_fine_v1p070000000000,capture,1.07,4,0,3e-10,1.3e-09,"[1.072924712e-09,1.093340568e-09,1.113825957e-09,1.134330479e-09,1.154837346e-09,1.175331244e-09,1.195780146e-09,1.216282196e-09,1.236815723e-09,1.257353121e-09,1.277849596e-09,1.298346363e-09,1.318841561e-09,1.339324346e-09,1.359838999e-09,1.380310582e-09,1.400747045e-09,1.421234144e-09,1.441747099e-09,1.462091186e-09,1.482607441e-09,1.503001081e-09,1.523603034e-09,1.544006559e-09,1.564528897e-09,1.585016853e-09,1.605519624e-09,1.626009105e-09,1.646530588e-09,1.665709901e-09]","[1.010950753e-09,1.024271188e-09,1.037622331e-09,1.050990673e-09,1.064352867e-09,1.077699027e-09,1.091034369e-09,1.104376329e-09,1.117705576e-09,1.13102647e-09,1.144384948e-09,1.157721086e-09,1.171037742e-09,1.184356693e-09,1.197677273e-09,1.21105945e-09,1.224407806e-09,1.237666165e-09,1.251045958e-09,1.264419951e-09,1.277682414e-09,1.291033062e-09,1.304228217e-09,1.31762958e-09,1.33097304e-09,1.344299677e-09,1.357657292e-09,1.371003427e-09,1.384297036e-09,1.396282911e-09]",1.07,000000000001111111110000000000,000000000111111111000000000000,000000000011111111000000000000,000000000011111111000000000000,0,10,17,8,1,1,0,0,0,27,8
scenarios/004_fine_v1p060000000000,capture,1.06,4,0,3e-10,1.3e-09,"[1.074335714e-09,1.095208302e-09,1.116058725e-09,1.137010612e-09,1.157877372e-09,1.17881903e-09,1.1996957e-09,1.220620902e-09,1.241568575e-09,1.26246051e-09,1.283340606e-09,1.304205781e-09,1.325182381e-09,1.34609475e-09,1.367042894e-09,1.387961537e-09,1.408833229e-09,1.4298289e-09,1.450782678e-09,1.471719499e-09,1.492630315e-09,1.513637064e-09,1.534514013e-09,1.555408249e-09,1.57633799e-09,1.597259062e-09,1.618074958e-09,1.638867951e-09,1.659692352e-09,1.67929996e-09]","[1.011079005e-09,1.024607429e-09,1.038175524e-09,1.051755753e-09,1.065332507e-09,1.078890755e-09,1.09243645e-09,1.106003285e-09,1.119553479e-09,1.133099725e-09,1.146676395e-09,1.160210782e-09,1.173725202e-09,1.187208681e-09,1.200737428e-09,1.214316693e-09,1.227854225e-09,1.241365361e-09,1.254950267e-09,1.268466208e-09,1.281929319e-09,1.295513666e-09,1.308990852e-09,1.322595579e-09,1.336130502e-09,1.349690328e-09,1.363247966e-09,1.376789175e-09,1.390281774e-09,1.402564743e-09]",1.06,000000000001111111110000000000,000000000111111110000000000000,000000000111111111000000000000,000000000111111111000000000000,0,9,17,9,1,1,0,0,0,26,9
scenarios/005_fine_v1p050000000000,capture,1.05,4,0,3e-10,1.3e-09,"[1.075868526e-09,1.097165857e-09,1.118497235e-09,1.139809695e-09,1.161137848e-09,1.18254774e-09,1.203894382e-09,1.225252597e-09,1.246577432e-09,1.267943566e-09,1.289325209e-09,1.310663934e-09,1.332064516e-09,1.353478646e-09,1.374878564e-09,1.396219885e-09,1.417534307e-09,1.438923785e-09,1.460274444e-09,1.481627807e-09,1.502995264e-09,1.524471204e-09,1.54570901e-09,1.567103362e-09,1.588431026e-09,1.609787927e-09,1.63118151e-09,1.652581129e-09,1.673955104e-09,1.693968459e-09]","[1.011240238e-09,1.025034756e-09,1.038826309e-09,1.052609537e-09,1.066376534e-09,1.080138951e-09,1.093925378e-09,1.107714814e-09,1.121469175e-09,1.135220696e-09,1.149037826e-09,1.162809486e-09,1.176534772e-09,1.190341015e-09,1.204142695e-09,1.217874061e-09,1.231673576e-09,1.245395716e-09,1.259204184e-09,1.273000955e-09,1.28673594e-09,1.3004973e-09,1.314337122e-09,1.32808817e-09,1.341845188e-09,1.355607571e-09,1.369394771e-09,1.383163592e-09,1.396926294e-09,1.409307149e-09]",1.05,000000000011111111100000000000,000000000111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,25,8
scenarios/006_fine_v1p040000000000,capture,1.04,4,0,3e-10,1.3e-09,"[1.077524803e-09,1.099306562e-09,1.121099581e-09,1.142891113e-09,1.164726092e-09,1.186572131e-09,1.208362069e-09,1.230164653e-09,1.25196173e-09,1.27381735e-09,1.295687078e-09,1.317548952e-09,1.33938845e-09,1.361216373e-09,1.383072735e-09,1.404830777e-09,1.426674807e-09,1.448530615e-09,1.470478209e-09,1.4922229e-09,1.514152917e-09,1.53595064e-09,1.557733029e-09,1.579529572e-09,1.601253648e-09,1.623093699e-09,1.644976728e-09,1.666624435e-09,1.688438691e-09,1.708826476e-09]","[1.011417498e-09,1.025423923e-09,1.039444868e-09,1.053435832e-09,1.067478377e-09,1.081476806e-09,1.095438895e-09,1.109472676e-09,1.123477606e-09,1.137436844e-09,1.151484108e-09,1.165505952e-09,1.179462105e-09,1.193498198e-09,1.207527979e-09,1.221463456e-09,1.235420514e-09,1.249478376e-09,1.263393558e-09,1.277314642e-09,1.291335641e-09,1.305166291e-09,1.319210508e-09,1.333229342e-09,1.347241897e-09,1.36125622e-09,1.375241646e-09,1.389239163e-09,1.403284287e-09,1.415835819e-09]",1.04,000000000011111111100000000000,000000001111111110000000000000,000000000111111110000000000000,000000000111111110000000000000,0,9,16,8,1,1,0,0,0,25,8
scenarios/007_fine_v1p030000000000,capture,1.03,4,0,3e-10,1.3e-09,"[1.079127988e-09,1.101372272e-09,1.123663698e-09,1.14595004e-09,1.168223124e-09,1.190552629e-09,1.212889408e-09,1.235196927e-09,1.257439965e-09,1.2797233e-09,1.301997553e-09,1.324395512e-09,1.346732937e-09,1.369051202e-09,1.391382021e-09,1.41360538e-09,1.435965444e-09,1.458248017e-09,1.4804714e-09,1.502699087e-09,1.525160073e-09,1.547333908e-09,1.569720968e-09,1.591930193e-09,1.614239912e-09,1.636575875e-09,1.658910294e-09,1.681287209e-09,1.703520068e-09,1.72431902e-09]","[1.011533391e-09,1.025772176e-09,1.040020745e-09,1.0543026e-09,1.068566867e-09,1.082821292e-09,1.097001987e-09,1.111307935e-09,1.125485549e-09,1.139690909e-09,1.154006905e-09,1.16819497e-09,1.1824251e-09,1.196705707e-09,1.210906695e-09,1.22522013e-09,1.239424837e-09,1.253612419e-09,1.267883473e-09,1.282055423e-09,1.296232173e-09,1.310449739e-09,1.324698139e-09,1.338938082e-09,1.353198366e-09,1.367450747e-09,1.381689996e-09,1.395897611e-09,1.410058036e-09,1.423011795e-09]",1.03,000000000011111111100000000000,000000001111111100000000000000,000000001111111100000000000000,000000001111111100000000000000,0,8,15,8,1,1,0,0,0,23,8
scenarios/008_fine_v1p020000000000,capture,1.02,4,0,3e-10,1.3e-09,"[1.080909658e-09,1.103638331e-09,1.126450289e-09,1.149251275e-09,1.172079493e-09,1.194901338e-09,1.217730468e-09,1.240560955e-09,1.263370211e-09,1.286152397e-09,1.308917738e-09,1.331794788e-09,1.354648074e-09,1.377483733e-09,1.400302088e-09,1.423135281e-09,1.445955462e-09,1.46874703e-09,1.491585324e-09,1.51443946e-09,1.537198941e-09,1.560099437e-09,1.582939572e-09,1.605741636e-09,1.628570265e-09,1.651359882e-09,1.674237711e-09,1.697112143e-09,1.719881232e-09,1.741101799e-09]","[1.011700336e-09,1.026173077e-09,1.040686138e-09,1.055223081e-09,1.069709421e-09,1.084231843e-09,1.098662476e-09,1.113221614e-09,1.12768301e-09,1.14216286e-09,1.156658882e-09,1.171108896e-09,1.18563669e-09,1.200143566e-09,1.214603037e-09,1.229167005e-09,1.243636094e-09,1.258080146e-09,1.272600767e-09,1.287043367e-09,1.301385408e-09,1.315931908e-09,1.330464253e-09,1.344942077e-09,1.35944034e-09,1.37394874e-09,1.388424713e-09,1.402883097e-09,1.417323658e-09,1.430535174e-09]",1.02,000000000011111111000000000000,000000001111111100000000000000,000000001111111100000000000000,000000001111111100000000000000,0,8,15,8,1,1,0,0,0,23,8
scenarios/009_fine_v1p010000000000,capture,1.01,4,0,3e-10,1.3e-09,"[1.082762434e-09,1.106081711e-09,1.12942968e-09,1.152741212e-09,1.176113585e-09,1.199454655e-09,1.222805304e-09,1.246128274e-09,1.26949736e-09,1.292870309e-09,1.3162637e-09,1.339623233e-09,1.363071417e-09,1.386452467e-09,1.409861785e-09,1.433132337e-09,1.45658062e-09,1.48004268e-09,1.50324718e-09,1.526690031e-09,1.550089001e-09,1.573540454e-09,1.596791793e-09,1.620167309e-09,1.643584113e-09,1.666916046e-09,1.690318e-09,1.713614587e-09,1.737030923e-09,1.758973669e-09]","[1.011903751e-09,1.026655412e-09,1.041438851e-09,1.056217789e-09,1.070944602e-09,1.085761371e-09,1.100472492e-09,1.115183254e-09,1.129991044e-09,1.144678397e-09,1.159473323e-09,1.174165994e-09,1.188995961e-09,1.203751089e-09,1.218381702e-09,1.23320748e-09,1.247851696e-09,1.262511386e-09,1.277266576e-09,1.292028675e-09,1.306666393e-09,1.321487093e-09,1.336222981e-09,1.350956892e-09,1.36574916e-09,1.380464907e-09,1.39519992e-09,1.410010431e-09,1.424692173e-09,1.438079105e-09]",1.01,000000000111111111000000000000,000000011111111000000000000000,000000001111111100000000000000,000000001111111100000000000000,0,8,15,8,1,1,0,0,0,23,8
