baseline_vdd_v,attack_vdd_v,margin_code,lock_code,alarm_code,selected_tap,scan_phase,scenario,W_S_int_ps,D_alarm_ps,Q,alarm,valid
0.85,0.8,1,5,6,37,coarse,scenarios/v0_850mv_m1_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
0.85,0.8,2,5,7,38,coarse,scenarios/v0_850mv_m2_attack_800mv_coarse,784.869489,974.7578959999998,0,0,True
0.9,0.85,1,5,6,37,coarse,scenarios/v0_900mv_m1_attack_850mv_coarse,593.5625670000002,813.1156599999999,0,0,True
0.9,0.8,1,5,6,37,coarse,scenarios/v0_900mv_m1_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
0.9,0.85,2,5,7,38,coarse,scenarios/v0_900mv_m2_attack_850mv_coarse,593.4780420000002,830.7767849999999,0,0,True
0.9,0.8,2,5,7,38,coarse,scenarios/v0_900mv_m2_attack_800mv_coarse,784.869489,974.7578959999998,0,0,True
0.95,0.9,1,5,6,37,coarse,scenarios/v0_950mv_m1_attack_900mv_coarse,468.11788299999995,709.070882,0,0,True
0.95,0.85,1,5,6,37,coarse,scenarios/v0_950mv_m1_attack_850mv_coarse,593.5625670000002,813.1156599999999,0,0,True
0.95,0.8,1,5,6,37,coarse,scenarios/v0_950mv_m1_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
0.95,0.9,2,5,7,38,coarse,scenarios/v0_950mv_m2_attack_900mv_coarse,468.210108,724.476935,0,0,True
0.95,0.85,2,5,7,38,coarse,scenarios/v0_950mv_m2_attack_850mv_coarse,593.4780420000002,830.7767849999999,0,0,True
0.95,0.8,2,5,7,38,coarse,scenarios/v0_950mv_m2_attack_800mv_coarse,784.869489,974.7578959999998,0,0,True
1.0,0.95,1,5,6,37,coarse,scenarios/v0_1000mv_m1_attack_950mv_coarse,381.6298060000001,630.378004,0,0,True
1.0,0.9,1,5,6,37,coarse,scenarios/v0_1000mv_m1_attack_900mv_coarse,468.11788299999995,709.070882,0,0,True
1.0,0.85,1,5,6,37,coarse,scenarios/v0_1000mv_m1_attack_850mv_coarse,593.5625670000002,813.1156599999999,0,0,True
1.0,0.8,1,5,6,37,coarse,scenarios/v0_1000mv_m1_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
1.0,0.95,2,5,7,38,coarse,scenarios/v0_1000mv_m2_attack_950mv_coarse,381.62771100000015,644.2449080000001,0,0,True
1.0,0.9,2,5,7,38,coarse,scenarios/v0_1000mv_m2_attack_900mv_coarse,468.210108,724.476935,0,0,True
1.0,0.85,2,5,7,38,coarse,scenarios/v0_1000mv_m2_attack_850mv_coarse,593.4780420000002,830.7767849999999,0,0,True
1.0,0.8,2,5,7,38,coarse,scenarios/v0_1000mv_m2_attack_800mv_coarse,784.869489,974.7578959999998,0,0,True
1.05,1.0,1,4,5,36,coarse,scenarios/v0_1050mv_m1_attack_1000mv_coarse,319.60790899999995,553.4581969999999,0,0,True
1.05,0.95,1,4,5,36,coarse,scenarios/v0_1050mv_m1_attack_950mv_coarse,381.61210399999993,613.327763,0,0,True
1.05,0.9,1,4,5,36,coarse,scenarios/v0_1050mv_m1_attack_900mv_coarse,468.22336499999983,690.4239609999997,0,0,True
1.05,0.85,1,4,5,36,coarse,scenarios/v0_1050mv_m1_attack_850mv_coarse,593.5338150000002,790.935553,0,0,True
1.05,0.8,1,4,5,36,coarse,scenarios/v0_1050mv_m1_attack_800mv_coarse,784.68355,928.501621,0,0,True
1.05,1.0,2,4,6,37,coarse,scenarios/v0_1050mv_m2_attack_1000mv_coarse,319.64333899999997,568.6859439999997,0,0,True
1.05,0.95,2,4,6,37,coarse,scenarios/v0_1050mv_m2_attack_950mv_coarse,381.6298060000001,630.378004,0,0,True
1.05,0.9,2,4,6,37,coarse,scenarios/v0_1050mv_m2_attack_900mv_coarse,468.11788299999995,709.070882,0,0,True
1.05,0.85,2,4,6,37,coarse,scenarios/v0_1050mv_m2_attack_850mv_coarse,593.5625670000002,813.1156599999999,0,0,True
1.05,0.8,2,4,6,37,coarse,scenarios/v0_1050mv_m2_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
1.1,1.05,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_1050mv_coarse,274.12463499999996,505.8094660000001,0,0,True
1.1,1.0,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_1000mv_coarse,319.60790899999995,553.4581969999999,0,0,True
1.1,0.95,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_950mv_coarse,381.61210399999993,613.327763,0,0,True
1.1,0.9,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_900mv_coarse,468.22336499999983,690.4239609999997,0,0,True
1.1,0.85,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_850mv_coarse,593.5338150000002,790.935553,0,0,True
1.1,0.8,1,4,5,36,coarse,scenarios/v0_1100mv_m1_attack_800mv_coarse,784.68355,928.501621,0,0,True
1.1,1.05,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_1050mv_coarse,274.1331509999999,519.9536289999998,0,0,True
1.1,1.0,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_1000mv_coarse,319.64333899999997,568.6859439999997,0,0,True
1.1,0.95,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_950mv_coarse,381.6298060000001,630.378004,0,0,True
1.1,0.9,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_900mv_coarse,468.11788299999995,709.070882,0,0,True
1.1,0.85,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_850mv_coarse,593.5625670000002,813.1156599999999,0,0,True
1.1,0.8,2,4,6,37,coarse,scenarios/v0_1100mv_m2_attack_800mv_coarse,784.7353870000001,954.5016080000003,0,0,True
