scenario,probe_index,M,F,failure_reason,recovery_ratio,legacy_role,reachable,counterfactual_reason
0p80_normal,20,10,0,recovery_tail_not_below_0p1_vdd,0.30378660474999997,coarse_scan,False,not_in_replayed_operation_sequence
0p80_normal,21,10,0,recovery_tail_not_below_0p1_vdd,0.296440032125,coarse_repeat,False,not_in_replayed_operation_sequence
0p80_normal,76,8,10,recovery_tail_not_below_0p1_vdd,0.10202677931249998,fine_m8_scan,False,not_in_replayed_operation_sequence
0p80_normal,94,9,3,recovery_tail_not_below_0p1_vdd,0.11158930645,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,95,9,3,recovery_tail_not_below_0p1_vdd,0.10986415522499998,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,96,9,4,recovery_tail_not_below_0p1_vdd,0.141397164875,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,97,9,4,recovery_tail_not_below_0p1_vdd,0.13793557874999998,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,98,9,5,recovery_tail_not_below_0p1_vdd,0.170827235,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,99,9,5,recovery_tail_not_below_0p1_vdd,0.16981816399999997,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,100,9,6,recovery_tail_not_below_0p1_vdd,0.195493606,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,101,9,6,recovery_tail_not_below_0p1_vdd,0.19638539274999997,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,102,9,7,recovery_tail_not_below_0p1_vdd,0.228744621875,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,103,9,7,recovery_tail_not_below_0p1_vdd,0.225285925,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,104,9,8,recovery_tail_not_below_0p1_vdd,0.247081299,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,105,9,8,recovery_tail_not_below_0p1_vdd,0.25166911025,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,106,9,9,recovery_tail_not_below_0p1_vdd,0.271937447625,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,107,9,9,recovery_tail_not_below_0p1_vdd,0.275676801125,fine_m9_repeat,False,not_in_replayed_operation_sequence
0p80_normal,108,9,10,recovery_tail_not_below_0p1_vdd,0.293987319125,fine_m9_scan,False,not_in_replayed_operation_sequence
0p80_normal,109,9,10,recovery_tail_not_below_0p1_vdd,0.2932836495,fine_m9_repeat,False,not_in_replayed_operation_sequence
