operation_index,probe_index,operation_type,M,F,q_read_v,q_read_late_v,q_state,expected_q_state,active_ck_edge_count,recovery_guard_s,recovery_ok,status
1,0,coarse_probe_a,0,0,0.7999996281,0.7999996586,stable_high,stable_high,1,2.7e-09,True,PASS
2,1,coarse_probe_b,0,0,0.7999996331,0.7999996593,stable_high,stable_high,1,2.7e-09,True,PASS
4,2,coarse_probe_a,1,0,0.7999996066,0.7999996542,stable_high,stable_high,1,2.7e-09,True,PASS
5,3,coarse_probe_b,1,0,0.7999996061,0.7999996585,stable_high,stable_high,1,2.7e-09,True,PASS
7,4,coarse_probe_a,2,0,0.7999995975,0.7999997736,stable_high,stable_high,1,2.7e-09,True,PASS
8,5,coarse_probe_b,2,0,0.7999995513,0.7999996486,stable_high,stable_high,1,2.7e-09,True,PASS
10,6,coarse_probe_a,3,0,0.7999991697,0.7999993883,stable_high,stable_high,1,2.7e-09,True,PASS
11,7,coarse_probe_b,3,0,0.7999990848,0.7999996277,stable_high,stable_high,1,2.7e-09,True,PASS
13,8,coarse_probe_a,4,0,0.7999959153,0.7999995462,stable_high,stable_high,1,2.7e-09,True,PASS
14,9,coarse_probe_b,4,0,0.7999961828,0.7999996457,stable_high,stable_high,1,2.7e-09,True,PASS
16,10,coarse_probe_a,5,0,0.7999463654,0.7999992162,stable_high,stable_high,1,2.7e-09,True,PASS
17,11,coarse_probe_b,5,0,0.7999084042,0.799999479,stable_high,stable_high,1,2.7e-09,True,PASS
19,12,coarse_probe_a,6,0,0.7999828197,0.7999986799,stable_high,stable_high,1,2.7e-09,True,PASS
20,13,coarse_probe_b,6,0,0.7999793545,0.7999985739,stable_high,stable_high,1,2.7e-09,True,PASS
22,14,coarse_probe_a,7,0,0.8000033586,0.7999825814,stable_high,stable_high,1,2.7e-09,True,PASS
23,15,coarse_probe_b,7,0,0.8000035823,0.7999855299,stable_high,stable_high,1,2.7e-09,True,PASS
25,16,coarse_probe_a,8,0,0.8000000202,0.8001753425,stable_high,stable_high,1,2.7e-09,True,PASS
26,17,coarse_probe_b,8,0,0.8000001696,0.8000638326,stable_high,stable_high,1,2.7e-09,True,PASS
28,18,coarse_probe_a,9,0,1.658196398e-07,-5.083806241e-07,stable_low,stable_low,1,2.7e-09,True,PASS
29,19,coarse_probe_b,9,0,1.66246079e-07,4.17065402e-09,stable_low,stable_low,1,2.7e-09,True,PASS
32,20,fine_probe,7,0,0.8000035332,0.799982835,stable_high,stable_high,1,2.7e-09,True,PASS
34,21,fine_probe,7,1,0.8000035711,0.7999811628,stable_high,stable_high,1,2.7e-09,True,PASS
36,22,fine_probe,7,2,0.8000034312,0.799987662,stable_high,stable_high,1,2.7e-09,True,PASS
38,23,fine_probe,7,3,0.8000025919,0.7999888267,stable_high,stable_high,1,2.7e-09,True,PASS
40,24,fine_probe,7,4,0.8000021605,0.7999830438,stable_high,stable_high,1,2.7e-09,True,PASS
42,25,fine_probe,7,5,9.145848193e-07,1.495347428e-06,stable_low,stable_low,1,2.7e-09,True,PASS
44,26,guard_probe,7,6,8.18689438e-07,-6.310907833e-06,stable_low,stable_low,1,2.7e-09,True,PASS
45,27,lock_hold_probe,7,6,8.132596823e-07,-1.996595977e-05,stable_low,stable_low,1,2.7e-09,True,PASS
