scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,legacy_evidence_status,legacy_evidence_reason,reason,counted_operation
0p80_normal,0,initial_state,0,0,0,0,,True,False,,,,frozen_controller_initial_state,False
0p80_normal,1,coarse_probe_a,0,0,0,0,coarse_probe_a,True,True,probe:0p80_normal:0,,,replayed_frozen_protocol,True
0p80_normal,2,coarse_probe_b,0,0,0,0,coarse_probe_b,True,True,probe:0p80_normal:1,,,replayed_frozen_protocol,True
0p80_normal,3,coarse_increment,0,1,0,0,,True,True,transition:0p80_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,4,coarse_probe_a,1,1,0,0,coarse_probe_a,True,True,probe:0p80_normal:2,,,replayed_frozen_protocol,True
0p80_normal,5,coarse_probe_b,1,1,0,0,coarse_probe_b,True,True,probe:0p80_normal:3,,,replayed_frozen_protocol,True
0p80_normal,6,coarse_increment,1,2,0,0,,True,True,transition:0p80_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,7,coarse_probe_a,2,2,0,0,coarse_probe_a,True,True,probe:0p80_normal:4,,,replayed_frozen_protocol,True
0p80_normal,8,coarse_probe_b,2,2,0,0,coarse_probe_b,True,True,probe:0p80_normal:5,,,replayed_frozen_protocol,True
0p80_normal,9,coarse_increment,2,3,0,0,,True,True,transition:0p80_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,10,coarse_probe_a,3,3,0,0,coarse_probe_a,True,True,probe:0p80_normal:6,,,replayed_frozen_protocol,True
0p80_normal,11,coarse_probe_b,3,3,0,0,coarse_probe_b,True,True,probe:0p80_normal:7,,,replayed_frozen_protocol,True
0p80_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p80_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,13,coarse_probe_a,4,4,0,0,coarse_probe_a,True,True,probe:0p80_normal:8,,,replayed_frozen_protocol,True
0p80_normal,14,coarse_probe_b,4,4,0,0,coarse_probe_b,True,True,probe:0p80_normal:9,,,replayed_frozen_protocol,True
0p80_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p80_normal:coarse_increment:4:5:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,16,coarse_probe_a,5,5,0,0,coarse_probe_a,True,True,probe:0p80_normal:10,,,replayed_frozen_protocol,True
0p80_normal,17,coarse_probe_b,5,5,0,0,coarse_probe_b,True,True,probe:0p80_normal:11,,,replayed_frozen_protocol,True
0p80_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p80_normal:coarse_increment:5:6:0:0,PASS,,replayed_frozen_protocol,True
0p80_normal,19,coarse_probe_a,6,6,0,0,coarse_probe_a,True,True,probe:0p80_normal:12,,,replayed_frozen_protocol,True
