scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,legacy_evidence_status,legacy_evidence_reason,reason,counted_operation,transition_index,counterfactual_only,counterfactual_reason
0p80_normal,3,coarse_increment,0,1,0,0,,True,True,transition:0p80_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True,0,False,
0p80_normal,6,coarse_increment,1,2,0,0,,True,True,transition:0p80_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True,1,False,
0p80_normal,9,coarse_increment,2,3,0,0,,True,True,transition:0p80_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True,2,False,
0p80_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p80_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True,3,False,
0p80_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p80_normal:coarse_increment:4:5:0:0,PASS,,replayed_frozen_protocol,True,4,False,
0p80_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p80_normal:coarse_increment:5:6:0:0,PASS,,replayed_frozen_protocol,True,5,False,
0p80_normal,21,coarse_increment,6,7,0,0,,True,True,transition:0p80_normal:coarse_increment:6:7:0:0,PASS,,replayed_frozen_protocol,True,6,False,
0p80_normal,24,coarse_increment,7,8,0,0,,True,True,transition:0p80_normal:coarse_increment:7:8:0:0,PASS,,replayed_frozen_protocol,True,7,False,
0p80_normal,27,coarse_increment,8,9,0,0,,True,True,transition:0p80_normal:coarse_increment:8:9:0:0,PASS,,replayed_frozen_protocol,True,8,False,
0p80_normal,30,coarse_backoff_step_1,9,8,0,0,,True,True,transition:0p80_normal:coarse_backoff_step:9:8:0:0,PASS,,replayed_frozen_protocol,True,11,False,
0p80_normal,31,coarse_backoff_step_2,8,7,0,0,,True,True,,REQUIRES_EXACT_PATH_HSPICE,no_legacy_row_with_matching_complete_transition_identity,replayed_frozen_protocol,True,,False,
0p80_normal,33,fine_increment,7,7,0,1,,True,True,transition:0p80_normal:fine_increment:7:7:0:1,PASS,,replayed_frozen_protocol,True,13,False,
0p80_normal,35,fine_increment,7,7,1,2,,True,True,transition:0p80_normal:fine_increment:7:7:1:2,PASS,,replayed_frozen_protocol,True,14,False,
0p80_normal,37,fine_increment,7,7,2,3,,True,True,transition:0p80_normal:fine_increment:7:7:2:3,PASS,,replayed_frozen_protocol,True,15,False,
0p80_normal,39,fine_increment,7,7,3,4,,True,True,transition:0p80_normal:fine_increment:7:7:3:4,PASS,,replayed_frozen_protocol,True,16,False,
0p80_normal,41,fine_increment,7,7,4,5,,True,True,transition:0p80_normal:fine_increment:7:7:4:5,PASS,,replayed_frozen_protocol,True,17,False,
0p80_normal,43,fine_increment,7,7,5,6,,True,True,transition:0p80_normal:fine_increment:7:7:5:6,PASS,,frozen_guard_code_update,True,18,False,
0p95_normal,3,coarse_increment,0,1,0,0,,True,True,transition:0p95_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True,0,False,
0p95_normal,6,coarse_increment,1,2,0,0,,True,True,transition:0p95_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True,1,False,
0p95_normal,9,coarse_increment,2,3,0,0,,True,True,transition:0p95_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True,2,False,
0p95_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p95_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True,3,False,
0p95_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p95_normal:coarse_increment:4:5:0:0,PASS,,replayed_frozen_protocol,True,4,False,
0p95_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p95_normal:coarse_increment:5:6:0:0,PASS,,replayed_frozen_protocol,True,5,False,
0p95_normal,21,coarse_backoff_step_1,6,5,0,0,,True,True,transition:0p95_normal:coarse_backoff_step:6:5:0:0,PASS,,replayed_frozen_protocol,True,8,False,
0p95_normal,22,coarse_backoff_step_2,5,4,0,0,,True,True,,REQUIRES_EXACT_PATH_HSPICE,no_legacy_row_with_matching_complete_transition_identity,replayed_frozen_protocol,True,,False,
0p95_normal,24,fine_increment,4,4,0,1,,True,True,transition:0p95_normal:fine_increment:4:4:0:1,PASS,,replayed_frozen_protocol,True,10,False,
0p95_normal,26,fine_increment,4,4,1,2,,True,True,transition:0p95_normal:fine_increment:4:4:1:2,PASS,,replayed_frozen_protocol,True,11,False,
0p95_normal,28,fine_increment,4,4,2,3,,True,True,transition:0p95_normal:fine_increment:4:4:2:3,PASS,,replayed_frozen_protocol,True,12,False,
0p95_normal,30,fine_increment,4,4,3,4,,True,True,transition:0p95_normal:fine_increment:4:4:3:4,PASS,,replayed_frozen_protocol,True,13,False,
0p95_normal,32,fine_increment,4,4,4,5,,True,True,transition:0p95_normal:fine_increment:4:4:4:5,PASS,,replayed_frozen_protocol,True,14,False,
0p95_normal,34,fine_increment,4,4,5,6,,True,True,transition:0p95_normal:fine_increment:4:4:5:6,PASS,,frozen_guard_code_update,True,15,False,
1p10_normal,3,coarse_increment,0,1,0,0,,True,True,transition:1p10_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True,0,False,
1p10_normal,6,coarse_increment,1,2,0,0,,True,True,transition:1p10_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True,1,False,
1p10_normal,9,coarse_increment,2,3,0,0,,True,True,transition:1p10_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True,2,False,
1p10_normal,12,coarse_increment,3,4,0,0,,True,True,transition:1p10_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True,3,False,
1p10_normal,15,coarse_backoff_step_1,4,3,0,0,,True,True,transition:1p10_normal:coarse_backoff_step:4:3:0:0,PASS,,replayed_frozen_protocol,True,6,False,
1p10_normal,16,coarse_backoff_step_2,3,2,0,0,,True,True,,REQUIRES_EXACT_PATH_HSPICE,no_legacy_row_with_matching_complete_transition_identity,replayed_frozen_protocol,True,,False,
1p10_normal,18,fine_increment,2,2,0,1,,True,True,transition:1p10_normal:fine_increment:2:2:0:1,PASS,,replayed_frozen_protocol,True,8,False,
1p10_normal,20,fine_increment,2,2,1,2,,True,True,transition:1p10_normal:fine_increment:2:2:1:2,PASS,,replayed_frozen_protocol,True,9,False,
1p10_normal,22,fine_increment,2,2,2,3,,True,True,transition:1p10_normal:fine_increment:2:2:2:3,PASS,,replayed_frozen_protocol,True,10,False,
1p10_normal,24,fine_increment,2,2,3,4,,True,True,transition:1p10_normal:fine_increment:2:2:3:4,PASS,,replayed_frozen_protocol,True,11,False,
1p10_normal,26,fine_increment,2,2,4,5,,True,True,transition:1p10_normal:fine_increment:2:2:4:5,PASS,,replayed_frozen_protocol,True,12,False,
1p10_normal,28,fine_increment,2,2,5,6,,True,True,transition:1p10_normal:fine_increment:2:2:5:6,PASS,,replayed_frozen_protocol,True,13,False,
1p10_normal,30,fine_increment,2,2,6,7,,True,True,transition:1p10_normal:fine_increment:2:2:6:7,PASS,,replayed_frozen_protocol,True,14,False,
1p10_normal,32,fine_increment,2,2,7,8,,True,True,transition:1p10_normal:fine_increment:2:2:7:8,PASS,,replayed_frozen_protocol,True,15,False,
1p10_normal,34,fine_increment,2,2,8,9,,True,True,transition:1p10_normal:fine_increment:2:2:8:9,PASS,,frozen_guard_code_update,True,16,False,
0p80_normal,,legacy_unmapped_transition,9,10,0,0,,False,False,transition:0p80_normal:coarse_increment:9:10:0:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,9,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,10,9,0,0,,False,False,transition:0p80_normal:coarse_backoff_step:10:9:0:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,10,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,7,0,0,,False,False,transition:0p80_normal:fine_branch_entry:8:7:0:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,12,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,6,7,,False,False,transition:0p80_normal:fine_increment:7:7:6:7,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,19,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,7,8,,False,False,transition:0p80_normal:fine_increment:7:7:7:8,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,20,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,8,9,,False,False,transition:0p80_normal:fine_increment:7:7:8:9,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,21,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,9,10,,False,False,transition:0p80_normal:fine_increment:7:7:9:10,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,22,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,10,9,,False,False,transition:0p80_normal:branch_fine_reset:7:7:10:9,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,23,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,9,8,,False,False,transition:0p80_normal:branch_fine_reset:7:7:9:8,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,24,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,8,7,,False,False,transition:0p80_normal:branch_fine_reset:7:7:8:7,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,25,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,7,6,,False,False,transition:0p80_normal:branch_fine_reset:7:7:7:6,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,26,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,6,5,,False,False,transition:0p80_normal:branch_fine_reset:7:7:6:5,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,27,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,5,4,,False,False,transition:0p80_normal:branch_fine_reset:7:7:5:4,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,28,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,4,3,,False,False,transition:0p80_normal:branch_fine_reset:7:7:4:3,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,29,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,3,2,,False,False,transition:0p80_normal:branch_fine_reset:7:7:3:2,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,30,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,2,1,,False,False,transition:0p80_normal:branch_fine_reset:7:7:2:1,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,31,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,7,1,0,,False,False,transition:0p80_normal:branch_fine_reset:7:7:1:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,32,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,7,8,0,0,,False,False,transition:0p80_normal:fine_branch_entry:7:8:0:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,33,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,0,1,,False,False,transition:0p80_normal:fine_increment:8:8:0:1,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,34,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,1,2,,False,False,transition:0p80_normal:fine_increment:8:8:1:2,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,35,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,2,3,,False,False,transition:0p80_normal:fine_increment:8:8:2:3,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,36,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,3,4,,False,False,transition:0p80_normal:fine_increment:8:8:3:4,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,37,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,4,5,,False,False,transition:0p80_normal:fine_increment:8:8:4:5,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,38,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,5,6,,False,False,transition:0p80_normal:fine_increment:8:8:5:6,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,39,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,6,7,,False,False,transition:0p80_normal:fine_increment:8:8:6:7,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,40,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,7,8,,False,False,transition:0p80_normal:fine_increment:8:8:7:8,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,41,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,8,9,,False,False,transition:0p80_normal:fine_increment:8:8:8:9,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,42,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,9,10,,False,False,transition:0p80_normal:fine_increment:8:8:9:10,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,43,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,10,9,,False,False,transition:0p80_normal:branch_fine_reset:8:8:10:9,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,44,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,9,8,,False,False,transition:0p80_normal:branch_fine_reset:8:8:9:8,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,45,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,8,7,,False,False,transition:0p80_normal:branch_fine_reset:8:8:8:7,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,46,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,7,6,,False,False,transition:0p80_normal:branch_fine_reset:8:8:7:6,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,47,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,6,5,,False,False,transition:0p80_normal:branch_fine_reset:8:8:6:5,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,48,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,5,4,,False,False,transition:0p80_normal:branch_fine_reset:8:8:5:4,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,49,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,4,3,,False,False,transition:0p80_normal:branch_fine_reset:8:8:4:3,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,50,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,3,2,,False,False,transition:0p80_normal:branch_fine_reset:8:8:3:2,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,51,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,2,1,,False,False,transition:0p80_normal:branch_fine_reset:8:8:2:1,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,52,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,8,1,0,,False,False,transition:0p80_normal:branch_fine_reset:8:8:1:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,53,True,not_in_replayed_operation_sequence
0p80_normal,,legacy_unmapped_transition,8,9,0,0,,False,False,transition:0p80_normal:fine_branch_entry:8:9:0:0,PASS,,legacy_transition_not_in_replayed_operation_sequence,False,54,True,not_in_replayed_operation_sequence
