vdd_v,t_rvt29_s,t_lvt29_s,t_xor29_rise_s,t_xor29_fall_s,W_proxy_ps,W_real_ps,start_shift_ps,end_shift_ps,width_error_ps,width_ratio,xor29_peak_v,xor29_peak_ratio,valid
1.1,1.634283199e-09,1.378476434e-09,1.399698564e-09,1.641934877e-09,255.806765,242.236313,21.22213,7.651678,-13.570452,0.946950378736,1.1937320764,1.08521097855,1
1.09,1.646350452e-09,1.384154748e-09,1.405774135e-09,1.654182949e-09,262.195704,248.408814,21.619387,7.832497,-13.78689,0.947417559519,1.1837834674,1.08603987835,1
1.08,1.658658534e-09,1.390092392e-09,1.412160147e-09,1.666681434e-09,268.566142,254.521287,22.067755,8.0229,-14.044855,0.947704297737,1.1712058552,1.08444986593,1
1.07,1.67166601e-09,1.396162955e-09,1.418686091e-09,1.679975513e-09,275.503055,261.289422,22.523136,8.309503,-14.213633,0.948408437794,1.1656378611,1.0893811786,1
1.06,1.685135689e-09,1.402403694e-09,1.425443387e-09,1.693805557e-09,282.731995,268.36217,23.039693,8.669868,-14.369825,0.949175101318,1.1425981904,1.07792282113,1
1.05,1.699304375e-09,1.409003846e-09,1.432483826e-09,1.707903768e-09,290.300529,275.419942,23.47998,8.599393,-14.880587,0.948740751347,1.1423277297,1.08793117114,1
1.04,1.71556096e-09,1.415731488e-09,1.439905283e-09,1.72439103e-09,299.829472,284.485747,24.173795,8.83007,-15.343725,0.948825160857,1.1331496024,1.08956692538,1
1.03,1.731408829e-09,1.422784641e-09,1.447631959e-09,1.740476802e-09,308.624188,292.844843,24.847318,9.067973,-15.779345,0.948871975647,1.1190489298,1.08645527165,1
1.02,1.748301053e-09,1.430151034e-09,1.455555355e-09,1.757574543e-09,318.150019,302.019188,25.404321,9.27349,-16.130831,0.949298035403,1.1014202988,1.07982382235,1
1.01,1.765738671e-09,1.437920238e-09,1.463922494e-09,1.775312363e-09,327.818433,311.389869,26.002256,9.573692,-16.428564,0.949885173175,1.0975329384,1.08666627564,1
1,1.784913154e-09,1.445976257e-09,1.47251718e-09,1.794760911e-09,338.936897,322.243731,26.540923,9.847757,-16.693166,0.950748454512,1.093511847,1.093511847,1
0.99,1.803626586e-09,1.454720557e-09,1.481878274e-09,1.813643973e-09,348.906029,331.765699,27.157717,10.017387,-17.14033,0.950874079049,1.0751272299,1.08598710091,1
0.98,1.824696477e-09,1.463288621e-09,1.491372239e-09,1.83515964e-09,361.407856,343.787401,28.083618,10.463163,-17.620455,0.951244958549,1.069629788,1.09145896735,1
0.97,1.847064602e-09,1.472469724e-09,1.50145527e-09,1.857782685e-09,374.594878,356.327415,28.985546,10.718083,-18.267463,0.951234082277,1.0640243343,1.0969323034,1
0.96,1.870485132e-09,1.482047221e-09,1.511756033e-09,1.881572801e-09,388.437911,369.816768,29.708812,11.087669,-18.621143,0.952061468583,1.0522226651,1.09606527615,1
0.95,1.89483977e-09,1.492245622e-09,1.522789745e-09,1.906271106e-09,402.594148,383.481361,30.544123,11.431336,-19.112787,0.952525919478,1.0390618059,1.09374926937,1
0.94,1.921313489e-09,1.502922702e-09,1.534403134e-09,1.933200174e-09,418.390787,398.79704,31.480432,11.886685,-19.593747,0.953168789541,1.0244746524,1.08986665149,1
0.93,1.949235102e-09,1.514101652e-09,1.546531525e-09,1.961541117e-09,435.13345,415.009592,32.429873,12.306015,-20.123858,0.95375244537,1.0147916003,1.09117376376,1
0.92,1.978613694e-09,1.525857073e-09,1.559233058e-09,1.991291187e-09,452.756621,432.058129,33.375985,12.677493,-20.698492,0.954283402959,1.0125048422,1.10054874152,1
0.91,2.009514851e-09,1.538360164e-09,1.572898331e-09,2.022648182e-09,471.154687,449.749851,34.538167,13.133331,-21.404836,0.954569408751,0.9960397839,1.09454921308,1
0.9,2.043647515e-09,1.551514842e-09,1.587121012e-09,2.057279031e-09,492.132673,470.158019,35.60617,13.631516,-21.974654,0.95534810996,0.9918143354,1.10201592822,1
0.89,2.079324559e-09,1.565106234e-09,1.602089637e-09,2.093578862e-09,514.218325,491.489225,36.983403,14.254303,-22.7291,0.955798735877,0.9740511868,1.09443953573,1
0.88,2.117921933e-09,1.579673404e-09,1.617872838e-09,2.132722336e-09,538.248529,514.849498,38.199434,14.800403,-23.399031,0.956527459455,0.9630732145,1.09440138011,1
0.87,2.158708429e-09,1.594833839e-09,1.634465205e-09,2.17403623e-09,563.87459,539.571025,39.631366,15.327801,-24.303565,0.956898988834,0.9599621988,1.10340482621,1
0.86,2.202603765e-09,1.61113188e-09,1.652257033e-09,2.218573722e-09,591.471885,566.316689,41.125153,15.969957,-25.155196,0.957470174597,0.9480292691,1.10235961523,1
0.85,2.251135577e-09,1.628560038e-09,1.671296759e-09,2.267774004e-09,622.575539,596.477245,42.736721,16.638427,-26.098294,0.958080116604,0.9399343209,1.10580508341,1
0.84,2.302988308e-09,1.647071555e-09,1.691732311e-09,2.320551447e-09,655.916753,628.819136,44.660756,17.563139,-27.097617,0.958687414407,0.9322839447,1.10986183893,1
0.83,2.357155686e-09,1.666660395e-09,1.71326615e-09,2.375361056e-09,690.495291,662.094906,46.605755,18.20537,-28.400385,0.958869545716,0.9146708003,1.10201301241,1
0.82,2.4177952e-09,1.687243665e-09,1.735714448e-09,2.436892433e-09,730.551535,701.177985,48.470783,19.097233,-29.37355,0.959792638038,0.9032637115,1.10154111159,1
0.81,2.483950878e-09,1.709514091e-09,1.760256053e-09,2.504243701e-09,774.436787,743.987648,50.741962,20.292823,-30.449139,0.960682215113,0.8948446438,1.10474647383,1
0.8,2.553630012e-09,1.733194009e-09,1.786183194e-09,2.575187351e-09,820.436003,789.004157,52.989185,21.557339,-31.431846,0.961688850946,0.8821779875,1.10272248437,1
0.79,2.630993691e-09,1.758808615e-09,1.814411201e-09,2.653377845e-09,872.185076,838.966644,55.602586,22.384154,-33.218432,0.961913551477,0.8792063536,1.11291943494,1
0.78,2.715007229e-09,1.786261573e-09,1.845097262e-09,2.738934805e-09,928.745656,893.837543,58.835689,23.927576,-34.908113,0.962413699839,0.8638892106,1.10755027,1
