scenario_id,vdd_v,corner,temperature_c,t_rvt29_s,t_lvt29_s,t_xor29_rise_s,t_xor29_fall_s,W_proxy_ps,W_real_ps,start_shift_ps,end_shift_ps,width_error_ps,width_ratio,xor29_peak_v,xor29_peak_ratio,valid,source
tt_m40c_v1p10,1.1,tt,-40,1.61439992e-09,1.361790789e-09,1.381846533e-09,1.621767394e-09,252.609131,239.920861,20.055744,7.367474,-12.68827,0.949771134758,1.1976370882,1.08876098927,1,reused_temperature_screen
tt_25c_v1p10,1.1,tt,25,1.634283199e-09,1.378476434e-09,1.399698564e-09,1.641934877e-09,255.806765,242.236313,21.22213,7.651678,-13.570452,0.946950378736,1.1937320764,1.08521097855,1,reused_tt25_fine
tt_85c_v1p10,1.1,tt,85,1.649671855e-09,1.390629443e-09,1.412805006e-09,1.657920258e-09,259.042412,245.115252,22.175563,8.248403,-13.92716,0.94623598548,1.178944275,1.07176752273,1,reused_temperature_screen
tt_125c_v1p10,1.1,tt,125,1.659896859e-09,1.396905387e-09,1.419744083e-09,1.668152632e-09,262.991472,248.408549,22.838696,8.255773,-14.582923,0.944549825555,1.169196029,1.06290548091,1,reused_temperature_screen
ff_m40c_v1p10,1.1,ff,-40,1.48681941e-09,1.285256567e-09,1.299314706e-09,1.491647212e-09,201.562843,192.332506,14.058139,4.827802,-9.230337,0.954206157928,1.1992390397,1.09021730882,1,new_pvt_hspice
ff_25c_v1p10,1.1,ff,25,1.502801096e-09,1.297218903e-09,1.312275763e-09,1.507973554e-09,205.582193,195.697791,15.05686,5.172458,-9.884402,0.951919950577,1.1817060083,1.07427818936,1,reused_process_screen
ff_85c_v1p10,1.1,ff,85,1.516041492e-09,1.306130975e-09,1.321983872e-09,1.521498011e-09,209.910517,199.514139,15.852897,5.456519,-10.396378,0.950472333885,1.1743674005,1.06760672773,1,new_pvt_hspice
ff_125c_v1p10,1.1,ff,125,1.525123133e-09,1.311344384e-09,1.327767269e-09,1.530947921e-09,213.778749,203.180652,16.422885,5.824788,-10.598097,0.950424927409,1.1583520591,1.05304732645,1,new_pvt_hspice
ss_m40c_v1p10,1.1,ss,-40,1.788584279e-09,1.475261971e-09,1.503849268e-09,1.799327851e-09,313.322308,295.478583,28.587297,10.743572,-17.843725,0.943049937574,1.2129104812,1.102645892,1,new_pvt_hspice
ss_25c_v1p10,1.1,ss,25,1.81296488e-09,1.498978608e-09,1.529378074e-09,1.824251912e-09,313.986272,294.873838,30.399466,11.287032,-19.112434,0.939129714563,1.1916295259,1.083299569,1,reused_process_screen
ss_85c_v1p10,1.1,ss,85,1.833040248e-09,1.51519549e-09,1.547056325e-09,1.844705131e-09,317.844758,297.648806,31.860835,11.664883,-20.195952,0.936459697725,1.1708955168,1.06445046982,1,new_pvt_hspice
ss_125c_v1p10,1.1,ss,125,1.846097744e-09,1.523673928e-09,1.556154414e-09,1.85833844e-09,322.423816,302.184026,32.480486,12.240696,-20.23979,0.937226132204,1.1730783144,1.06643483127,1,new_pvt_hspice
tt_m40c_v0p90,0.9,tt,-40,2.081285399e-09,1.541585801e-09,1.577363355e-09,2.095008779e-09,539.699598,517.645424,35.777554,13.72338,-22.054174,0.959136204508,1.0016122698,1.112902522,1,reused_temperature_screen
tt_25c_v0p90,0.9,tt,25,2.043647515e-09,1.551514842e-09,1.587121012e-09,2.057279031e-09,492.132673,470.158019,35.60617,13.631516,-21.974654,0.95534810996,0.9918143354,1.10201592822,1,reused_tt25_fine
tt_85c_v0p90,0.9,tt,85,2.019498335e-09,1.555016028e-09,1.590580219e-09,2.033278168e-09,464.482307,442.697949,35.564191,13.779833,-21.784358,0.953099703322,0.9789277191,1.08769746567,1,reused_temperature_screen
tt_125c_v0p90,0.9,tt,125,2.009419134e-09,1.555163594e-09,1.591123613e-09,2.022962374e-09,454.25554,431.838761,35.960019,13.54324,-22.416779,0.950651611205,0.9679256718,1.07547296867,1,reused_temperature_screen
ff_m40c_v0p90,0.9,ff,-40,1.748857938e-09,1.389427588e-09,1.411265591e-09,1.756959994e-09,359.43035,345.694403,21.838003,8.102056,-13.735947,0.961784120345,0.9978281852,1.10869798356,1,new_pvt_hspice
