scenario_id,vdd_v,corner,temperature_c,source,needs_hspice
tt_25c_v1p10,1.1,tt,25,reused_tt25_fine,0
ff_25c_v1p10,1.1,ff,25,new_pvt_hspice,1
ss_25c_v1p10,1.1,ss,25,new_pvt_hspice,1
fnsp_25c_v1p10,1.1,fnsp,25,new_pvt_hspice,1
snfp_25c_v1p10,1.1,snfp,25,new_pvt_hspice,1
tt_25c_v0p90,0.9,tt,25,reused_tt25_fine,0
ff_25c_v0p90,0.9,ff,25,new_pvt_hspice,1
ss_25c_v0p90,0.9,ss,25,new_pvt_hspice,1
fnsp_25c_v0p90,0.9,fnsp,25,new_pvt_hspice,1
snfp_25c_v0p90,0.9,snfp,25,new_pvt_hspice,1
tt_25c_v0p75,0.75,tt,25,reused_tt25_fine,0
ff_25c_v0p75,0.75,ff,25,new_pvt_hspice,1
ss_25c_v0p75,0.75,ss,25,new_pvt_hspice,1
fnsp_25c_v0p75,0.75,fnsp,25,new_pvt_hspice,1
snfp_25c_v0p75,0.75,snfp,25,new_pvt_hspice,1
tt_m40c_v1p10,1.1,tt,-40,new_pvt_hspice,1
tt_85c_v1p10,1.1,tt,85,new_pvt_hspice,1
tt_125c_v1p10,1.1,tt,125,new_pvt_hspice,1
tt_m40c_v0p90,0.9,tt,-40,new_pvt_hspice,1
tt_85c_v0p90,0.9,tt,85,new_pvt_hspice,1
tt_125c_v0p90,0.9,tt,125,new_pvt_hspice,1
tt_m40c_v0p75,0.75,tt,-40,new_pvt_hspice,1
tt_85c_v0p75,0.75,tt,85,new_pvt_hspice,1
tt_125c_v0p75,0.75,tt,125,new_pvt_hspice,1
ff_m40c_v1p10,1.1,ff,-40,new_pvt_hspice,1
ff_85c_v1p10,1.1,ff,85,new_pvt_hspice,1
ff_125c_v1p10,1.1,ff,125,new_pvt_hspice,1
ss_m40c_v1p10,1.1,ss,-40,new_pvt_hspice,1
ss_85c_v1p10,1.1,ss,85,new_pvt_hspice,1
ss_125c_v1p10,1.1,ss,125,new_pvt_hspice,1
ff_m40c_v0p90,0.9,ff,-40,new_pvt_hspice,1
ff_85c_v0p90,0.9,ff,85,new_pvt_hspice,1
ff_125c_v0p90,0.9,ff,125,new_pvt_hspice,1
ss_m40c_v0p90,0.9,ss,-40,new_pvt_hspice,1
ss_85c_v0p90,0.9,ss,85,new_pvt_hspice,1
ss_125c_v0p90,0.9,ss,125,new_pvt_hspice,1
ff_m40c_v0p75,0.75,ff,-40,new_pvt_hspice,1
ff_85c_v0p75,0.75,ff,85,new_pvt_hspice,1
ff_125c_v0p75,0.75,ff,125,new_pvt_hspice,1
ss_m40c_v0p75,0.75,ss,-40,new_pvt_hspice,1
ss_85c_v0p75,0.75,ss,85,new_pvt_hspice,1
ss_125c_v0p75,0.75,ss,125,new_pvt_hspice,1
