scenario_id,vdd_v,corner,temperature_c,t_rvt29_s,t_lvt29_s,t_xor29_rise_s,t_xor29_fall_s,W_proxy_ps,W_real_ps,start_shift_ps,end_shift_ps,width_error_ps,width_ratio,xor29_peak_v,xor29_peak_ratio,valid,source
tt_m40c_v1p10,1.1,tt,-40,1.61439992e-09,1.361790789e-09,1.381846533e-09,1.621767394e-09,252.609131,239.920861,20.055744,7.367474,-12.68827,0.949771134758,1.1976370882,1.08876098927,1,new_pvt_hspice
tt_25c_v1p10,1.1,tt,25,1.634283199e-09,1.378476434e-09,1.399698564e-09,1.641934877e-09,255.806765,242.236313,21.22213,7.651678,-13.570452,0.946950378736,1.1937320764,1.08521097855,1,reused_tt25_fine
tt_85c_v1p10,1.1,tt,85,1.649671855e-09,1.390629443e-09,1.412805006e-09,1.657920258e-09,259.042412,245.115252,22.175563,8.248403,-13.92716,0.94623598548,1.178944275,1.07176752273,1,new_pvt_hspice
tt_125c_v1p10,1.1,tt,125,1.659896859e-09,1.396905387e-09,1.419744083e-09,1.668152632e-09,262.991472,248.408549,22.838696,8.255773,-14.582923,0.944549825555,1.169196029,1.06290548091,1,new_pvt_hspice
tt_m40c_v0p90,0.9,tt,-40,2.081285399e-09,1.541585801e-09,1.577363355e-09,2.095008779e-09,539.699598,517.645424,35.777554,13.72338,-22.054174,0.959136204508,1.0016122698,1.112902522,1,new_pvt_hspice
tt_25c_v0p90,0.9,tt,25,2.043647515e-09,1.551514842e-09,1.587121012e-09,2.057279031e-09,492.132673,470.158019,35.60617,13.631516,-21.974654,0.95534810996,0.9918143354,1.10201592822,1,reused_tt25_fine
tt_85c_v0p90,0.9,tt,85,2.019498335e-09,1.555016028e-09,1.590580219e-09,2.033278168e-09,464.482307,442.697949,35.564191,13.779833,-21.784358,0.953099703322,0.9789277191,1.08769746567,1,new_pvt_hspice
tt_125c_v0p90,0.9,tt,125,2.009419134e-09,1.555163594e-09,1.591123613e-09,2.022962374e-09,454.25554,431.838761,35.960019,13.54324,-22.416779,0.950651611205,0.9679256718,1.07547296867,1,new_pvt_hspice
tt_m40c_v0p75,0.75,tt,-40,3.438256853e-09,1.91080709e-09,1.989373224e-09,3.471743525e-09,1527.449763,1482.370301,78.566134,33.486672,-45.079462,0.970487106619,0.8583083654,1.14441115387,1,new_pvt_hspice
tt_25c_v0p75,0.75,tt,25,3.018190939e-09,1.88237033e-09,1.95105046e-09,3.046616618e-09,1135.820609,1095.566158,68.68013,28.425679,-40.254451,0.964559147209,0.8392620984,1.1190161312,1,reused_tt25_fine
tt_85c_v0p75,0.75,tt,85,2.7923736e-09,1.849578816e-09,1.912810274e-09,2.817779192e-09,942.794784,904.968918,63.231458,25.405592,-37.825866,0.959879003743,0.8186018663,1.09146915507,1,new_pvt_hspice
tt_125c_v0p75,0.75,tt,125,2.688881254e-09,1.827581647e-09,1.888144429e-09,2.712962059e-09,861.299607,824.81763,60.562782,24.080805,-36.481977,0.95764310502,0.8148471673,1.08646288973,1,new_pvt_hspice
