candidate_id,candidate_kind,vt_class,cell_names,logic_family,stage_count,overall_polarity,cdl_ports,fixed_logic_ties,source_cdl,source_verilog
buf_rvt,simple,RVT,['BUF_X0P7M_A9TR40'],BUF,1,non_inverting,Y|VDD|VNW|VPW|VSS|A,{},/home/zhupl25/chiplet_side_channel/chiplet_gds_data/chiplets/FIR/syn/runs/fir_smic40ll_tt_1310ps_spice_20260722_r1/spice/sc9mc_logic0040ll_base_rvt_c40.hspice.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_rvt_c40/r1p1/verilog/sc9mc_logic0040ll_base_rvt_c40.v
mux_rvt,simple,RVT,['MXT2_X0P5M_A9TR40'],MUX,1,non_inverting,Y|VDD|VNW|VPW|VSS|A|B|S0,"{""S0"": ""VSS_A""}",/home/zhupl25/chiplet_side_channel/chiplet_gds_data/chiplets/FIR/syn/runs/fir_smic40ll_tt_1310ps_spice_20260722_r1/spice/sc9mc_logic0040ll_base_rvt_c40.hspice.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_rvt_c40/r1p1/verilog/sc9mc_logic0040ll_base_rvt_c40.v
inv_rvt,simple,RVT,"['INV_X0P5M_A9TR40', 'INV_X0P5M_A9TR40']",INV,2,non_inverting,Y|VDD|VNW|VPW|VSS|A,"{""B"": ""VSS_A""}",/home/zhupl25/chiplet_side_channel/chiplet_gds_data/chiplets/FIR/syn/runs/fir_smic40ll_tt_1310ps_spice_20260722_r1/spice/sc9mc_logic0040ll_base_rvt_c40.hspice.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_rvt_c40/r1p1/verilog/sc9mc_logic0040ll_base_rvt_c40.v
nand2_rvt,simple,RVT,"['NAND2_X0P5M_A9TR40', 'NAND2_X0P5M_A9TR40']",NAND2,2,non_inverting,Y|VDD|VNW|VPW|VSS|A|B,"{""B"": ""VDD_A""}",/home/zhupl25/chiplet_side_channel/chiplet_gds_data/chiplets/FIR/syn/runs/fir_smic40ll_tt_1310ps_spice_20260722_r1/spice/sc9mc_logic0040ll_base_rvt_c40.hspice.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_rvt_c40/r1p1/verilog/sc9mc_logic0040ll_base_rvt_c40.v
nor2_rvt,simple,RVT,"['NOR2_X0P5M_A9TR40', 'NOR2_X0P5M_A9TR40']",NOR2,2,non_inverting,Y|VDD|VNW|VPW|VSS|A|B,"{""B"": ""VSS_A""}",/home/zhupl25/chiplet_side_channel/chiplet_gds_data/chiplets/FIR/syn/runs/fir_smic40ll_tt_1310ps_spice_20260722_r1/spice/sc9mc_logic0040ll_base_rvt_c40.hspice.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_rvt_c40/r1p1/verilog/sc9mc_logic0040ll_base_rvt_c40.v
buf_lvt,simple,LVT,['BUF_X0P7M_A9TL40'],BUF,1,non_inverting,Y|VDD|VNW|VPW|VSS|A,{},/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/cdl/sc9mc_logic0040ll_base_lvt_c40.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/verilog/sc9mc_logic0040ll_base_lvt_c40.v
mux_lvt,simple,LVT,['MXT2_X0P5M_A9TL40'],MUX,1,non_inverting,Y|VDD|VNW|VPW|VSS|A|B|S0,"{""S0"": ""VSS_A""}",/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/cdl/sc9mc_logic0040ll_base_lvt_c40.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/verilog/sc9mc_logic0040ll_base_lvt_c40.v
inv_lvt,simple,LVT,"['INV_X0P5M_A9TL40', 'INV_X0P5M_A9TL40']",INV,2,non_inverting,Y|VDD|VNW|VPW|VSS|A,"{""B"": ""VSS_A""}",/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/cdl/sc9mc_logic0040ll_base_lvt_c40.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/verilog/sc9mc_logic0040ll_base_lvt_c40.v
nand2_lvt,simple,LVT,"['NAND2_X0P5M_A9TL40', 'NAND2_X0P5M_A9TL40']",NAND2,2,non_inverting,Y|VDD|VNW|VPW|VSS|A|B,"{""B"": ""VDD_A""}",/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/cdl/sc9mc_logic0040ll_base_lvt_c40.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/verilog/sc9mc_logic0040ll_base_lvt_c40.v
nor2_lvt,simple,LVT,"['NOR2_X0P5M_A9TL40', 'NOR2_X0P5M_A9TL40']",NOR2,2,non_inverting,Y|VDD|VNW|VPW|VSS|A|B,"{""B"": ""VSS_A""}",/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/cdl/sc9mc_logic0040ll_base_lvt_c40.cdl,/host/data/libtech/SMIC_40LL/ARM_SMIC40LL_Library_20131105/SMIC_log40ll_sc9mc/arm/smic/logic0040ll/sc9mc_base_lvt_c40/r0p1/verilog/sc9mc_logic0040ll_base_lvt_c40.v
