stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
fine8,NOR2_X0P5M_A9TL40__signal_A,8,0,8,0.95,,413.22327700000005,437.06004499999943,25.46167799999998,16.28948499999983,0.9499937805,8.686816327e-07,0,True,scenarios/fine8__m08__k08__f00__v0p95__38d3311a8f2bc6ac03b1
fine8,NOR2_X0P5M_A9TL40__signal_A,8,1,8,0.95,,413.7536140000001,437.54567,28.03716199999989,17.326247000000404,0.9499972035,6.492594714e-07,0,True,scenarios/fine8__m08__k08__f01__v0p95__5040b17b75b73e683184
fine8,NOR2_X0P5M_A9TL40__signal_A,8,2,8,0.95,,414.2921529999999,437.63967699999955,30.1208870000001,18.084083000000014,0.9499936605,2.155645009e-06,0,True,scenarios/fine8__m08__k08__f02__v0p95__f0ede9bbc1ad01d00e93
fine8,NOR2_X0P5M_A9TL40__signal_A,8,3,8,0.95,,414.8348659999999,438.0020880000001,32.189495999999934,18.832196999999866,0.9499994249,2.155258919e-06,0,True,scenarios/fine8__m08__k08__f03__v0p95__28f338ef6ab80e1f15f2
fine8,NOR2_X0P5M_A9TL40__signal_A,8,4,8,0.95,,415.37846899999994,437.87261500000005,34.14633900000002,19.743709999999545,0.9499972207,1.947546801e-06,0,True,scenarios/fine8__m08__k08__f04__v0p95__282e8788a8c8e9b19f44
fine8,NOR2_X0P5M_A9TL40__signal_A,8,5,8,0.95,,415.9204849999999,437.97274500000003,35.97361600000005,20.700288000000103,0.9499961011,1.904250148e-06,0,True,scenarios/fine8__m08__k08__f05__v0p95__a2f5c3052bd0251012f8
fine8,NOR2_X0P5M_A9TL40__signal_A,8,6,8,0.95,,416.45944099999997,438.07261299999976,38.13083800000008,22.4169660000006,0.9499932454,2.70161738e-06,0,True,scenarios/fine8__m08__k08__f06__v0p95__40c6ac694a40c059f1e7
fine8,NOR2_X0P5M_A9TL40__signal_A,8,7,8,0.95,,416.994662,437.4618919999997,40.09318900000001,23.939418000000657,0.9499895254,1.739995348e-06,0,True,scenarios/fine8__m08__k08__f07__v0p95__a1fa28d69aed6e4294c1
fine8,NOR2_X0P5M_A9TL40__signal_A,8,8,8,0.95,,417.525782,438.0102679999997,41.96019699999996,25.588817999999524,0.9499916832,1.475759764e-06,0,True,scenarios/fine8__m08__k08__f08__v0p95__4cb2a658c0109cc792a3
fine8,NOR2_X0P5M_A9TL40__signal_A,8,0,8,1.1,,313.33412200000004,322.10769599999935,20.759342000000085,13.39687599999954,1.0999947108,2.237895758e-06,0,True,scenarios/fine8__m08__k08__f00__v1p10__f99eb9f6c303e13d4214
fine8,NOR2_X0P5M_A9TL40__signal_A,8,1,8,1.1,,313.79442000000006,322.2183109999996,22.81866299999999,14.252066999999496,1.0999953244,3.154879729e-06,0,True,scenarios/fine8__m08__k08__f01__v1p10__3efaf4f25afd294c3a4d
fine8,NOR2_X0P5M_A9TL40__signal_A,8,4,8,1.1,,315.238866,322.48960699999947,27.298995000000073,16.18510899999991,1.0999948335,3.065136294e-06,0,True,scenarios/fine8__m08__k08__f04__v1p10__d7224def65d9a79301a4
fine8,NOR2_X0P5M_A9TL40__signal_A,8,7,8,1.1,,317.0397040000001,322.78565799999967,31.873608000000083,20.25489299999949,1.0999945815,2.068844256e-06,0,True,scenarios/fine8__m08__k08__f07__v1p10__74a643078f45376210be
fine8,NOR2_X0P5M_A9TL40__signal_A,8,8,8,1.1,,317.6212509999999,322.8832630000001,33.306487000000004,21.56573399999994,1.0999941806,1.516526374e-06,0,True,scenarios/fine8__m08__k08__f08__v1p10__fa9fade081771414c731
fine8,NOR2_X0P5M_A9TL40__signal_A,8,0,8,0.8,,628.3350160000001,687.9634869999998,36.70380699999986,23.683308000000245,0.7999970133,-1.500918936e-06,0,True,scenarios/fine8__m08__k08__f00__v0p80__31841b0b29039d1a1edc
fine8,NOR2_X0P5M_A9TL40__signal_A,8,1,8,0.8,,628.92073,688.9623079999996,39.75059299999997,23.70548300000028,0.7999966847,6.602177819e-07,0,True,scenarios/fine8__m08__k08__f01__v0p80__35182a114645e4c17020
fine8,NOR2_X0P5M_A9TL40__signal_A,8,4,8,0.8,,630.685813,688.3778300000001,48.75669199999997,26.462691999999596,0.799995262,3.229590145e-06,0,True,scenarios/fine8__m08__k08__f04__v0p80__3e65750a39c17835f13e
fine8,NOR2_X0P5M_A9TL40__signal_A,8,7,8,0.8,,632.409947,689.3096680000001,56.756125000000125,30.93377600000054,0.7999943816,1.39776289e-06,0,True,scenarios/fine8__m08__k08__f07__v0p80__15039a6c76f4aca8d31d
fine8,NOR2_X0P5M_A9TL40__signal_A,8,8,8,0.8,,632.965295,688.696885,59.34897499999989,33.6179569999997,0.7999944847,2.144657495e-06,0,True,scenarios/fine8__m08__k08__f08__v0p80__b89b32e077b2a964314a
fine8_position,NOR2_X0P5M_A9TL40__signal_A,0,0,8,0.95,,62.564741999999946,65.72311099999979,25.931730999999928,16.260045000000204,0.9499964847,1.432034824e-06,0,True,scenarios/fine8_position__m00__k08__f00__v0p95__1d79b60f439847ac411c
fine8_position,NOR2_X0P5M_A9TL40__signal_A,0,1,8,0.95,,63.043789000000004,65.81078699999935,27.983561000000023,16.78483299999944,0.9499962354,1.441897245e-06,0,True,scenarios/fine8_position__m00__k08__f01__v0p95__b733259855f609eab548
fine8_position,NOR2_X0P5M_A9TL40__signal_A,0,8,8,0.95,,66.80673499999993,66.45183399999976,41.390068999999954,25.873879999999534,0.9499956017,1.521885056e-06,0,True,scenarios/fine8_position__m00__k08__f08__v0p95__8d4f039cc2632d075ebb
fine8_position,NOR2_X0P5M_A9TL40__signal_A,15,0,8,0.95,,721.845015,762.7865839999998,26.42197599999995,16.893352999999788,0.9499965674,1.684513981e-06,0,True,scenarios/fine8_position__m15__k08__f00__v0p95__df45af72b95487f984ae
