stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
single_driver_baseline,driver_only,8,0,0,1.1,,305.82145699999995,315.7270369999997,5.2793030000000245,5.172011000000101,1.0999977243,2.355100061e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v1p10__7596eab9ab1f503ef5a8
single_driver_baseline,driver_only,8,0,0,0.95,,403.99161599999996,429.05143299999986,6.398570999999878,6.334287999999908,0.9499930402,1.482465438e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v0p95__3bc01892cbef55aef005
single_driver_baseline,driver_only,8,0,0,0.8,,615.682627,678.315678,9.325644,9.481569999999603,0.7999921009,1.019045905e-06,0,True,scenarios/single_driver_baseline__m08__k00__f00__v0p80__234c51578fdd8e8cc958
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,1.1,0,307.35506300000003,316.4449899999999,7.375028000000133,6.976410999999574,1.1000009188,-2.895141751e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__39562676e1151c4975eb
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,1.1,1,307.5594509999999,317.29633099999944,9.346608000000083,7.157663000000574,1.0999945149,2.398396591e-05,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__5a588e5ee772d00005e4
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,0.95,0,405.8474159999999,430.98863399999965,9.31873199999994,7.980805000000388,0.9500049502,1.597983705e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__11d3ef475edd11f4f5e3
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,0.95,1,406.029172,431.4562699999994,11.516487000000023,9.00420800000033,0.9500075456,1.623825097e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__4b311aa7ae96b3f7a11e
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,0.8,0,617.975934,679.8650309999998,13.208349000000151,12.075412000000556,0.8000087184,-9.130825533e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__3f37bf7970e4a9d6d259
single_load_screen,NAND2_X0P5M_A9TL40__signal_A,8,1,1,0.8,1,618.175814,679.5886779999997,16.04859500000001,12.790662000000255,0.7999948926,1.474755268e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__d55f8c5f9c3b145c4fb0
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,1.1,0,307.58000899999996,316.9301869999994,8.216626000000106,6.903799999999605,1.0999905923,7.328205967e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__2591b3c9304093350843
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,1.1,1,307.62177899999995,316.8514419999999,8.858054999999823,6.979117999999825,1.0999927605,4.700274567e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__5e6557cf9ad26653f8fb
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,0.95,0,406.0777259999999,431.1105019999998,10.31145300000002,8.278612999999732,0.9499973356,2.237465116e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__726bbb24121303ba5657
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,0.95,1,406.103222,431.47556599999996,10.867149999999903,8.419315000000214,0.9499986781,4.362027993e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__717c055ef6dac0cc720e
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,0.8,0,618.2716599999999,679.9244369999998,14.58987999999993,12.454121000000194,0.7999960506,3.348029807e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__69d7f599d55fea3c2885
single_load_screen,NAND2_X0P5M_A9TL40__signal_B,8,1,1,0.8,1,618.290552,680.6874679999994,15.466310000000053,12.479699999999431,0.7999959476,7.044081357e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p80__868c8a2d5d7a09986a6e
single_load_screen,NOR2_X0P5M_A9TL40__signal_A,8,1,1,1.1,0,307.39064400000007,317.0377979999998,8.95989699999987,6.775199999999971,1.0999948482,3.350822926e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__289202ea9223900d4061
single_load_screen,NOR2_X0P5M_A9TL40__signal_A,8,1,1,1.1,1,306.9696349999999,316.519897,7.1432790000000255,6.164238000000296,1.1000024004,3.32889822e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v1p10__d1682fbc3a9687f9c049
single_load_screen,NOR2_X0P5M_A9TL40__signal_A,8,1,1,0.95,0,405.808827,431.1509539999998,11.20983699999988,8.239373999999614,0.9500008557,2.214782897e-06,0,True,scenarios/single_load_screen__m08__k01__f01__v0p95__f3cc37d0f95b9690e77f
