driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,0,10,0.95,0,436.15708800000004,436.401947,197.40696100000008,99.18382799999966,0.9500053498,8.916749001e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f00__v0p95__7238e380dc7b5d128e3a
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,1,10,0.95,0,440.8287890000001,437.84272999999934,200.84418800000006,105.15640799999971,0.9500046004,-3.676181487e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f01__v0p95__5713108fb74d1af029cd
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,2,10,0.95,0,446.9811450000001,438.32927299999955,213.82595900000013,112.89536299999993,0.9500034693,5.961052962e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f02__v0p95__3ba3783f2de320e1a862
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,3,10,0.95,0,453.599411,439.2518819999997,221.9890319999999,120.15225699999954,0.950002328,3.747129942e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f03__v0p95__61eae0616c46b3abc342
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,4,10,0.95,0,460.446638,440.408685,235.14061599999997,127.9741839999997,0.9500033051,5.459431087e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f04__v0p95__d97823c307cf70234764
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,5,10,0.95,0,467.590144,442.1798619999995,246.51305299999999,135.25303399999976,0.9500042926,6.251899365e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f05__v0p95__d7840944ebc058d8c1fd
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,6,10,0.95,0,475.3193009999999,443.36129200000005,260.6486000000001,142.41116699999932,0.9499998356,9.18826372e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f06__v0p95__87a140ce2f3a70b128c8
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,7,10,0.95,0,483.3141829999999,444.49299599999995,272.25781,149.95486300000047,0.949998557,1.156260032e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f07__v0p95__8449703ee2386c0652e7
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,8,10,0.95,0,491.528765,444.29266599999943,283.909685,157.26685899999973,0.9499978706,1.648290871e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f08__v0p95__07d367290c45f7028fa1
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,9,10,0.95,0,499.918984,445.47365699999983,293.0749559999999,165.01023900000013,0.9499968323,3.942310569e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f09__v0p95__163027c2f46747cb8695
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,10,10,0.95,0,508.222987,446.39533500000005,304.30164299999996,173.0662690000001,0.949995765,1.182948938e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f10__v0p95__b7627e8692435b114d26
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,0,10,1.1,0,333.06523000000004,325.60492099999954,150.0722080000001,82.68620800000024,1.1000054275,-1.29666017e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f00__v1p10__3dc58ca4feb55cc01849
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,1,10,1.1,0,338.46638399999995,326.6169169999997,160.76920799999996,87.0150039999998,1.1000047453,-8.557389545e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f01__v1p10__9a3d0c25f0de6f0b4ff1
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,2,10,1.1,0,344.12532,327.4419640000001,171.03973599999995,94.04876500000029,1.1000034408,-5.418977707e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f02__v1p10__c145e5a59c9aa3fb4121
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,5,10,1.1,0,363.860862,330.4539009999996,198.67499600000005,112.03829400000018,1.1000003972,2.011731751e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f05__v1p10__20fc871e5052d2f92c12
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,8,10,1.1,0,384.89249499999994,333.392108,230.90199000000007,131.2858999999998,1.0999962335,2.00520212e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f08__v1p10__55aca2e0551567824d68
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,9,10,1.1,0,391.88831100000004,334.545971,240.04302299999998,137.49505699999986,1.0999957402,1.365870114e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f09__v1p10__ef5998d5381d589f39c1
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,10,10,1.1,0,398.8326799999999,336.00660999999997,249.29817800000004,144.07128099999954,1.099987626,3.654476357e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f10__v1p10__69f103368b5cd3697d80
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,0,10,0.8,0,655.955084,676.2612260000001,266.31844700000005,134.0462830000004,0.7999866661,-4.15608167e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f00__v0p80__681bc123e7955830e3c7
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,1,10,0.8,0,660.448682,677.717248,279.4524910000002,143.96674399999958,0.7999969272,2.047177582e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f01__v0p80__a460b08b7aa38b57b68a
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,2,10,0.8,0,666.50781,678.7073269999999,294.67587600000013,154.98947600000008,0.7999921502,2.77274945e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f02__v0p80__51854acfd2b89fcaa4b8
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,5,10,0.8,0,688.2917,681.4252319999993,344.3325349999998,185.00799300000034,0.7999724557,4.036426476e-08,0,True,scenarios/phase4_final_monotonicity__m07__k10__f05__v0p80__73d01f97b941ad4d7af4
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,8,10,0.8,0,713.3799449999999,685.0884189999996,396.11316999999985,215.00353600000048,0.7998572286,1.100618778e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f08__v0p80__7f57ada03ecab626e706
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,9,10,0.8,0,723.2305439999999,686.8209899999999,411.42387399999984,224.71302699999976,0.7999187048,-8.69842081e-07,0,True,scenarios/phase4_final_monotonicity__m07__k10__f09__v0p80__871015c47be11f8b62cc
BUF_X0P8M_A9TL40,0P8,8.699999999999999e-07,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,10,10,0.8,0,733.369012,687.7030139999994,424.92972999999995,234.48363600000053,0.7998156051,1.676405654e-06,0,True,scenarios/phase4_final_monotonicity__m07__k10__f10__v0p80__cc3b01aba05756fb2f77
