driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,0,13,1.1,0,108.32231300000008,92.7945989999993,164.98918700000016,88.17594300000015,1.1000070002,-8.648121663e-07,0,True,scenarios/phase5_coupled_coverage__m00__k13__f00__v1p10__6f488358ce82f3d81f48
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,13,13,1.1,0,182.01912900000008,102.8687209999995,275.280411,158.20981799999973,1.099992194,2.107239473e-06,0,True,scenarios/phase5_coupled_coverage__m00__k13__f13__v1p10__1ceb4111cd05c4882cd5
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,1,0,13,1.1,0,141.42990600000005,126.95542799999997,165.20532099999986,88.17948799999971,1.1000071025,-1.319269658e-06,0,True,scenarios/phase5_coupled_coverage__m01__k13__f00__v1p10__7966fcbf64dc1d4e2f57
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,0,13,1.1,0,340.55644799999993,331.8327749999993,165.12218399999992,89.34107299999965,1.1000065379,-7.454188464e-07,0,True,scenarios/phase5_coupled_coverage__m07__k13__f00__v1p10__4e941653b57c0323cb71
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,13,13,1.1,0,413.432763,341.8393659999998,274.8392979999999,158.41365500000074,1.0999949587,2.246125983e-06,0,True,scenarios/phase5_coupled_coverage__m07__k13__f13__v1p10__f839c33cfb221c385779
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,8,0,13,1.1,0,374.3894229999999,365.64314299999995,171.9663350000001,90.757016,1.1000102047,-1.088412503e-06,0,True,scenarios/phase5_coupled_coverage__m08__k13__f00__v1p10__2c81c72b8a0de8bb7d0c
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,0,13,1.1,0,606.9688150000001,605.0591099999999,175.09967299999997,90.67203600000069,1.1000025771,-1.034993709e-06,0,True,scenarios/phase5_coupled_coverage__m15__k13__f00__v1p10__d6bc2de357d3b29d5228
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,13,13,1.1,0,679.8149459999998,617.012857,274.7804709999999,158.98710799999952,1.0999944555,1.87303344e-06,0,True,scenarios/phase5_coupled_coverage__m15__k13__f13__v1p10__5258732052ddcb163033
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,16,0,13,1.1,0,617.290759,618.4124359999996,170.83788599999994,89.22789899999971,1.1000042006,-1.185615464e-06,0,True,scenarios/phase5_coupled_coverage__m16__k13__f00__v1p10__ecff5e6697e956f547c8
BUF_X1M_A9TL40,1,9.849999999999999e-07,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,0,13,0.95,0,137.20358100000007,118.60580199999966,204.3678969999999,106.9835570000005,0.9500063521,-7.089551793e-08,0,True,scenarios/phase5_coupled_coverage__m00__k13__f00__v0p95__3e677407c12dd2ef9bf8
