driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,0,21,1.1,0,117.01345599999992,100.11356599999978,181.13946299999995,97.1299400000002,1.1000087405,-1.949617637e-06,0,True,scenarios/phase5_coupled_coverage__m00__k21__f00__v1p10__7d68e3e714f0f2041f5d
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,21,21,1.1,0,198.98636899999997,111.6895569999993,300.6041240000001,173.96713300000067,1.0999935123,2.036792787e-06,0,True,scenarios/phase5_coupled_coverage__m00__k21__f21__v1p10__c863a3f606b33637ebaf
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,1,0,21,1.1,0,150.113157,134.28643799999992,181.481319,97.13816299999964,1.1000085187,-1.485530716e-06,0,True,scenarios/phase5_coupled_coverage__m01__k21__f00__v1p10__27bf850bd106fa14781b
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,0,21,1.1,0,349.350837,339.1798649999998,185.44332999999986,99.9410619999996,1.1000078166,-1.941543103e-06,0,True,scenarios/phase5_coupled_coverage__m07__k21__f00__v1p10__364d0d9ddf9219c35537
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,7,21,21,1.1,0,430.4492849999999,352.09043399999956,300.86460399999993,175.25162800000075,1.0999902305,2.112813357e-06,0,True,scenarios/phase5_coupled_coverage__m07__k21__f21__v1p10__f20961e15d0be9bbd2a0
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,8,0,21,1.1,0,383.17555999999996,373.5621259999997,189.8933390000001,101.77946900000022,1.1000112141,-1.825150734e-06,0,True,scenarios/phase5_coupled_coverage__m08__k21__f00__v1p10__8abe254a7d2fdbefb357
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,0,21,1.1,0,615.66443,612.5202049999995,192.01481100000012,100.73679399999995,1.1000041609,-2.207074916e-06,0,True,scenarios/phase5_coupled_coverage__m15__k21__f00__v1p10__5d21980dee86befb39c2
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,15,21,21,1.1,0,696.7323729999999,624.518765,301.27787700000005,174.31218699999957,1.0999945587,6.294427403e-06,0,True,scenarios/phase5_coupled_coverage__m15__k21__f21__v1p10__322e37efbfc0a0cc5edb
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,16,0,21,1.1,0,625.8502399999999,625.5935310000001,193.42852599999992,99.08685399999992,1.1000051094,-2.158344657e-06,0,True,scenarios/phase5_coupled_coverage__m16__k21__f00__v1p10__fbaf1db13c44bd4e85b4
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,0,21,0.95,0,148.18532900000002,127.60423299999991,224.70489099999986,117.59999099999999,0.9500076748,-7.168041997e-07,0,True,scenarios/phase5_coupled_coverage__m00__k21__f00__v0p95__e57cf1842ad492b10056
BUF_X1P4M_A9TL40,1P4,1.32e-06,phase5_coupled_coverage,NOR2_X4A_A9TL40__signal_A,0,21,21,0.95,0,239.93045900000007,139.72488899999993,371.743613,208.39849499999983,0.949995507,1.990364054e-06,0,True,scenarios/phase5_coupled_coverage__m00__k21__f21__v0p95__723aa73b7585b91fb1a3
