driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,0,30,0.95,0,461.53232299999996,457.6387529999993,250.68414499999997,126.56408099999975,0.9500072319,1.010717251e-06,0,True,scenarios/phase4_final_monotonicity__m07__k30__f00__v0p95__d2af9fc436ea9e5ad70d
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,1,30,0.95,0,463.09930699999995,457.99570299999976,245.198735,127.62891299999984,0.9500079256,-3.100665401e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f01__v0p95__ba91d91ccfbfe7e1745c
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,2,30,0.95,0,465.53576699999996,458.4328769999996,250.686234,130.9483719999997,0.9500077433,-2.575111664e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f02__v0p95__b06a6a30a41e9141c88c
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,3,30,0.95,0,468.09816699999993,458.8774239999994,255.38863600000005,134.14592000000044,0.950007406,1.634993864e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f03__v0p95__9572e1f7b9d22b683dcd
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,4,30,0.95,0,470.82066199999997,459.28463499999935,260.18448100000006,137.67549400000004,0.9500050493,7.409916922e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f04__v0p95__dd56b642d012fb8ae698
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,5,30,0.95,0,473.616694,459.7285620000001,265.116933,140.7227079999999,0.9500048501,8.195497025e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f05__v0p95__e701f088c7e57c2dc2e5
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,6,30,0.95,0,476.480395,460.18122999999986,269.2885440000001,144.1725810000004,0.9500048295,1.021366751e-06,0,True,scenarios/phase4_final_monotonicity__m07__k30__f06__v0p95__9147162c998ffc0a1c98
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,7,30,0.95,0,479.4046100000001,460.6419049999999,276.63191299999994,147.67691400000075,0.9500040435,6.41408946e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f07__v0p95__69e4feee248134d4d2c2
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,8,30,0.95,0,482.37506700000006,461.19883699999934,282.1748040000001,150.47350600000016,0.9500018644,3.883193573e-07,0,True,scenarios/phase4_final_monotonicity__m07__k30__f08__v0p95__920ce19006d079085c3e
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase4_final_monotonicity,NOR2_X4A_A9TL40__signal_A,7,9,30,0.95,0,485.37909699999994,462.4148079999997,280.94138599999985,153.82029000000006,0.9500041983,1.520182665e-06,0,True,scenarios/phase4_final_monotonicity__m07__k30__f09__v0p95__7bdedbd75c9bb5b9cab2
