driver_cell,driver_size_tier,driver_total_width_m,stage,candidate_id,medium_code,fine_code,K,vdd_v,control_value,D_rise_ps,D_fall_ps,output_rise_time_ps,output_fall_time_ps,output_logic_high,output_logic_low,unexpected_transition_count,valid,scenario
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,0,8,0.95,0,435.92688200000003,457.640027,68.36476399999984,40.716621999999965,0.9499987096,1.262221059e-06,0,True,scenarios/phase2_fine8__m08__k08__f00__v0p95__5232cb0464ce2c3aaa4b
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,1,8,0.95,0,437.86107799999996,457.6511059999996,72.52395299999992,42.40091499999981,0.9499986071,1.88868043e-06,0,True,scenarios/phase2_fine8__m08__k08__f01__v0p95__8a86f4fc7d0bf3948a28
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,2,8,0.95,0,439.91812699999997,458.26031199999943,78.37613899999991,46.31016100000047,0.9499973904,1.700234199e-06,0,True,scenarios/phase2_fine8__m08__k08__f02__v0p95__b95c1cefc3d58854a7fe
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,3,8,0.95,0,441.93928299999993,458.32176499999963,83.983935,50.157610999999385,0.9499967617,2.711183307e-06,0,True,scenarios/phase2_fine8__m08__k08__f03__v0p95__2b6a27bef5cc66866bee
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,4,8,0.95,0,443.88486000000006,458.6586399999999,88.97692499999988,53.79490899999968,0.9499964267,1.840714119e-06,0,True,scenarios/phase2_fine8__m08__k08__f04__v0p95__2129e4a6de0d36ebd2ee
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,5,8,0.95,0,445.734045,458.995148,93.573762,57.46639499999998,0.9499959674,2.248013487e-06,0,True,scenarios/phase2_fine8__m08__k08__f05__v0p95__f61052724358f555b3f7
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,6,8,0.95,0,448.42489000000006,459.2225759999997,98.86434699999991,60.87740400000008,0.94999644,3.930422279e-06,0,True,scenarios/phase2_fine8__m08__k08__f06__v0p95__f994eddf42a0ea79f8e0
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,7,8,0.95,0,451.06669299999993,459.66413699999987,103.65756900000002,63.55488399999943,0.9499949667,1.924563065e-06,0,True,scenarios/phase2_fine8__m08__k08__f07__v0p95__381059199f2ebb95ec86
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,8,8,0.95,0,453.688098,459.99559199999953,108.80547899999993,67.02099599999936,0.9499937133,1.753326494e-06,0,True,scenarios/phase2_fine8__m08__k08__f08__v0p95__6f5999bb59b94d0eafee
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,0,8,1.1,0,331.31571900000006,337.9542879999996,56.772959999999955,32.194603000000335,1.0999975176,1.290120339e-06,0,True,scenarios/phase2_fine8__m08__k08__f00__v1p10__a6e61e72ee242fc97463
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,1,8,1.1,0,333.05011199999996,338.727923,59.50735699999993,34.80017000000047,1.0999969557,1.698870258e-06,0,True,scenarios/phase2_fine8__m08__k08__f01__v1p10__5f788858c9fde8342491
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,4,8,1.1,0,339.22254999999996,339.610783,71.00458300000003,44.013734999999926,1.099996174,2.080680597e-06,0,True,scenarios/phase2_fine8__m08__k08__f04__v1p10__2247084201a2c3b54289
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,7,8,1.1,0,346.23496100000006,340.7340549999999,84.27818999999984,52.562148999999785,1.1000012765,2.695200073e-06,0,True,scenarios/phase2_fine8__m08__k08__f07__v1p10__09615ad90ffdefb9b2cc
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,8,8,1.1,0,348.96128500000003,341.05278899999985,88.19966599999997,54.75499999999998,1.0999981297,3.672465161e-06,0,True,scenarios/phase2_fine8__m08__k08__f08__v1p10__5c502ae6fc74f40798cf
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,0,8,0.8,0,660.298752,716.7793809999995,94.2900679999999,56.077664000000176,0.7999990082,2.416926698e-07,0,True,scenarios/phase2_fine8__m08__k08__f00__v0p80__2c4bf3368df360a05a58
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,1,8,0.8,0,662.340682,716.7514799999996,101.95518199999985,59.39257899999949,0.7999982588,2.482609359e-06,0,True,scenarios/phase2_fine8__m08__k08__f01__v0p80__a40c400f9c508abf7909
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,4,8,0.8,0,668.1110020000001,717.930264,124.84522499999997,74.98771500000065,0.7999975762,1.711823375e-06,0,True,scenarios/phase2_fine8__m08__k08__f04__v0p80__7d30e3adb8f498d08c4a
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,7,8,0.8,0,675.810076,718.4981579999998,146.89209800000006,89.8419619999997,0.7999955887,2.169753881e-06,0,True,scenarios/phase2_fine8__m08__k08__f07__v0p80__cd5c6661d07e6308a897
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_fine8,NOR2_X4A_A9TL40__signal_A,8,8,8,0.8,0,678.378188,718.8209309999993,154.16493600000013,94.22687499999982,0.7999951793,1.72865497e-06,0,True,scenarios/phase2_fine8__m08__k08__f08__v0p80__878b9600c23570c2365f
BUF_X2M_A9TL40,2,1.8299999999999998e-06,phase2_position,NOR2_X4A_A9TL40__signal_A,0,0,8,0.95,0,85.068093,85.77943799999979,66.96849799999987,38.64886999999979,0.9499987214,1.321731673e-06,0,True,scenarios/phase2_position__m00__k08__f00__v0p95__41153ad9a868520c7b0d
